stock_id,name,period,market,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
5016,松和,2015Q4,tpex,2238314,1975332,262982,,,262982,149202,,113780,-7369,106411,22007,84404,,,84404,-1434,,82970,84161,,243,82811,,159,1.70
5201,凱衛,2015Q4,tpex,258255,128280,129975,,,129975,113350,0,16625,22164,38789,1778,37011,,,37011,1862,,38873,37011,,0,38873,0,0,1.26
5202,力新,2015Q4,tpex,296527,103145,193382,,,193382,186657,,6725,18604,25329,2052,23277,,,23277,77,,23354,22749,,528,22749,,605,0.38
5205,中茂,2015Q4,tpex,2065,904,1161,,,1161,21012,540,-19311,9023,-10288,0,-10288,,,-10288,-5374,,-15662,-10288,,0,-15662,,0,-0.60
5206,坤悅,2015Q4,tpex,1703277,1121868,581409,,,581409,107455,,473954,26353,500307,89174,411133,,,411133,,,411133,411133,,,411133,,,2.75
5209,新鼎,2015Q4,tpex,1445914,1253142,192772,,,192772,105656,,87116,11429,98545,18796,79749,,,79749,-15418,,64331,79749,,,64331,,,3.40
5210,寶碩,2015Q4,tpex,305722,75936,229786,,,229786,233189,,-3403,5529,2126,443,1683,,,1683,-5866,,-4183,1845,,-162,-4021,,-162,0.03
5211,蒙恬,2015Q4,tpex,265823,84628,181195,,,181195,162862,,18333,6032,24365,4326,20039,,,20039,1753,,21792,20039,0,0,21792,0,0,0.63
5212,凌網,2015Q4,tpex,658156,309639,348517,,,348517,297583,,50934,-13263,37671,6479,31192,,,31192,-1870,,29322,30676,,516,27918,,1404,0.89
5213,亞昕,2015Q4,tpex,4611256,2778807,1832449,,,1832449,521943,3363,1313869,-184423,1129446,215500,913946,,,913946,-64738,,849208,913853,,93,866688,,-17480,2.40
5220,萬達光電,2015Q4,tpex,911346,691686,219660,,,219660,120103,,99557,-1403,98154,19587,78567,,,78567,-23,,78544,,,,,,,2.24
5227,立凱-KY,2015Q4,tpex,1094651,795197,299454,,,299454,687697,,-388243,-42537,-430780,0,-430780,,,-430780,1253,,-429527,-430783,,3,-429530,,3,-2.65
