rank,idx,cell,n_cond,A,D,ratio,A_p10,A_p90,vol_med,expo_med,A_minus_0050,ratio_minus_0050,label,cand_order,luck_q,標記
23,83,F05+F09,2,0.1048027174008523,-0.326669538314166,0.3208218248377386,0.04390819914544964,0.18273485406666437,0.19028755848151455,0.9184668989547038,-0.003087921425606585,0.003094630361046513,F,,7.683142684158591e-12,探索，非結論
24,131,F09+F15,2,0.09554908856198291,-0.3035124893018777,0.31481106026891853,0.04564977842138952,0.14255481318763982,0.18385237777495986,0.9184668989547038,-0.012341550264475976,-0.0029161342077735353,F,,2.323836766065931e-12,探索，非結論
25,62,F03+F15,2,0.11485342989342405,-0.3659031360371138,0.3138902583272049,0.037885147165417146,0.20108960126676775,0.2340809184314459,0.9184668989547038,0.0069627910669651655,-0.003836936149487158,R,20.0,1.9023739389615372e-12,探索，非結論
26,104,F06+F18,2,0.1313011360519661,-0.42426090711389663,0.3094820518467358,0.05142453256469899,0.23481991449421843,0.2549772636995228,0.9182107590264366,0.023410497225507226,-0.008245142629956292,R,21.0,1.0422088926481122e-12,探索，非結論
27,150,F12+F13,2,0.11002645301139645,-0.35942831503248973,0.30611515122688887,0.04717982181051621,0.20198619844625476,0.2335393614779971,0.9184668989547038,0.002135814184937565,-0.011612043249803194,R,22.0,5.697583988918707e-13,探索，非結論
28,73,F04+F12,2,0.13115503295046155,-0.43094908394836484,0.3043399738753736,0.04784959894453111,0.22811805544135022,0.2710907351570764,0.9420722151586249,0.023264394124002663,-0.013387220601318472,R,23.0,3.8048021616102534e-13,探索，非結論
29,71,F04+F10,2,0.14164168282212292,-0.46775801816806173,0.30280973777178993,0.05682797591235235,0.2415480256697288,0.2967827176489226,0.9419168785522452,0.03375104399566403,-0.014917456704902132,R,24.0,3.1081160814563976e-13,探索，非結論
30,75,F04+F14,2,0.12685320548895762,-0.4203634311260996,0.3017703161027452,0.05713177140508906,0.21417975854722035,0.254290783854192,0.9420753577661523,0.018962566662498737,-0.01595687837394688,R,25.0,2.5383901449323567e-13,探索，非結論
31,114,F07+F17,2,0.1031550050353483,-0.3437783399787132,0.300062549146452,0.05421169770553449,0.16694494390445302,0.216180153294914,0.918154054160744,-0.004735633791110583,-0.017664645330240092,F,,1.3807507297985179e-13,探索，非結論
32,84,F05+F10,2,0.1281578079939672,-0.4306654098784748,0.2975809179337871,0.04137675917754185,0.22949579896288658,0.28147243900519275,0.9184263569514566,0.020267169167508314,-0.02014627654290496,R,26.0,6.11017032771557e-14,探索，非結論
33,139,F10+F15,2,0.11562495411236634,-0.3934557803244225,0.29387026419342016,0.027029839579179663,0.19225435035559887,0.2508496246272305,0.9184433468505881,0.007734315285907456,-0.023856930283271904,R,27.0,4.980505706919608e-14,探索，非結論
34,12,F13,1,0.0852529414447137,-0.29434020296804564,0.28964083256397355,0.03276964681151835,0.15578528768384345,0.18797865523495988,0.9184668989547038,-0.02263769738174519,-0.028086361912718516,F,,9.620277292483201e-15,探索，非結論
35,142,F10+F18,2,0.11803754663158415,-0.407771401928542,0.2894698992458257,0.04446100526653855,0.21599416865500767,0.2558120650917262,0.9184668989547038,0.010146907805125269,-0.02825729523086634,R,28.0,9.620277292483201e-15,探索，非結論
36,57,F03+F10,2,0.12523422480961685,-0.4339056538109879,0.28862086425859224,0.01954285008398351,0.21042260412966754,0.28789618679810036,0.9184668989547038,0.017343585983157966,-0.02910633021809983,R,29.0,9.620277292483201e-15,探索，非結論
37,99,F06+F13,2,0.10732364588979965,-0.37448607757496616,0.28658914794586765,0.042070437634869604,0.17751158522451418,0.24371216060944312,0.9184668989547038,-0.0005669929366592386,-0.031138046530824415,F,,6.361918361593671e-15,探索，非結論
38,135,F10+F11,2,0.08556279077150769,-0.29942186814445293,0.28575999242055633,0.03839478747863074,0.13369123724993595,0.16316781626131036,0.9184668989547038,-0.022327848054951194,-0.031967202056135735,F,,6.361918361593671e-15,探索，非結論
39,132,F09+F16,2,0.0908812465837809,-0.31907714927404723,0.2848253056997363,0.053044440562856274,0.14614273923344878,0.1679641468898818,0.9184668989547038,-0.017009392242677987,-0.03290188877695577,F,,3.4148514907578926e-15,探索，非結論
