=== researchExplore 2026-09-25 22:47（台北）out=backtest/resultsExplore stage=all reps=200 s0=1000 perturb=None leak=False procs=1
[切點] 日曆 2015-01-05～2022-12-30（1958 根）；探索窗 [523, 1957] ＝ 2017-03-02～2022-12-30（1435 根）
[面板] gate3 2099 檔｜量測日 72 個（2017-01-03～2022-12-01）｜120,756 列、eligible 31,106｜139s
[0050 同窗] 年化 +10.7891%｜回落 -33.9570%｜比值 0.3177
[特徵] 31,106 股-月｜覆蓋率 F01 96.2% F02 96.3% F03 96.4% F04 94.6% F05 100.0% F06 100.0% F07 100.0% F08 99.1% F09 99.0% F10 100.0% F11 100.0% F12 100.0% F13 100.0% F14 100.0% F15 96.5% F16 90.4% F17 100.0% F18 100.0%｜236s
[S0 候選母體] P7 ALL 28,856 列＋尾段（CUT 收盤計值）2,245 列 ＝ 31,101
[候選] 171 格｜每月平均 k 37.5～43.6｜訊號列 2,699～3,139｜245s
[參照 W1ref 門檻B] 1,777＋尾段 148 ＝ 1,925 列（⛔ 不排名、不計 N）
[引擎輸入] tradable 1,296 檔｜官方下市日 ≤ CUT 389 筆｜312s
[引擎] 待跑 173 組（已完成 0）
  F07+F14  年化中位 +11.1410% 回落中位 -44.2977%｜1101s
  F07+F15  年化中位 +10.2436% 回落中位 -40.6420%｜1107s
  F07+F16  年化中位 +3.9001% 回落中位 -41.9260%｜1113s
  F07+F17  年化中位 +10.3155% 回落中位 -34.3778%｜1118s
  F07+F18  年化中位 +11.0343% 回落中位 -42.6300%｜1124s
  F08+F09  年化中位 +6.5196% 回落中位 -49.7546%｜1130s
  F08+F10  年化中位 +6.7022% 回落中位 -53.5762%｜1136s
  F08+F11  年化中位 +7.2877% 回落中位 -29.2158%｜1141s
  F08+F12  年化中位 +6.0144% 回落中位 -53.0299%｜1147s
  F08+F13  年化中位 +9.8246% 回落中位 -40.6341%｜1153s
  F08+F14  年化中位 +5.4930% 回落中位 -49.5681%｜1159s
  F08+F15  年化中位 +5.9243% 回落中位 -46.2998%｜1165s
  F08+F16  年化中位 -3.3934% 回落中位 -49.9513%｜1172s
  F08+F17  年化中位 +3.8127% 回落中位 -40.0138%｜1178s
  F08+F18  年化中位 +9.4081% 回落中位 -41.9783%｜1183s
  F09+F10  年化中位 +9.5663% 回落中位 -48.0989%｜1189s
  F09+F11  年化中位 +10.2495% 回落中位 -25.3896%｜1194s
  F09+F12  年化中位 +7.6292% 回落中位 -42.4537%｜1200s
  F09+F13  年化中位 +13.2399% 回落中位 -29.2210%｜1205s
  F09+F14  年化中位 +9.2057% 回落中位 -35.9819%｜1211s
  F09+F15  年化中位 +9.5549% 回落中位 -30.3512%｜1216s
  F09+F16  年化中位 +9.0881% 回落中位 -31.9077%｜1222s
  F09+F17  年化中位 +13.9552% 回落中位 -27.7742%｜1227s
  F09+F18  年化中位 +12.1557% 回落中位 -28.9506%｜1233s
  F10+F11  年化中位 +8.5563% 回落中位 -29.9422%｜1238s
  F10+F12  年化中位 +6.4651% 回落中位 -48.7345%｜1244s
  F10+F13  年化中位 +9.2336% 回落中位 -39.2035%｜1250s
  F10+F14  年化中位 +9.1808% 回落中位 -42.5780%｜1255s
  F10+F15  年化中位 +11.5625% 回落中位 -39.3456%｜1261s
  F10+F16  年化中位 +1.6733% 回落中位 -41.3045%｜1266s
  F10+F17  年化中位 +9.2047% 回落中位 -35.5333%｜1272s
  F10+F18  年化中位 +11.8038% 回落中位 -40.7771%｜1277s
  F11+F12  年化中位 +6.5093% 回落中位 -27.5764%｜1283s
  F11+F13  年化中位 +12.0810% 回落中位 -26.5446%｜1288s
  F11+F14  年化中位 +6.1384% 回落中位 -30.7248%｜1294s
  F11+F15  年化中位 +5.9245% 回落中位 -26.6195%｜1299s
  F11+F16  年化中位 +4.3997% 回落中位 -31.6647%｜1305s
  F11+F17  年化中位 +7.0979% 回落中位 -25.7855%｜1310s
  F11+F18  年化中位 +7.2156% 回落中位 -28.7859%｜1316s
  F12+F13  年化中位 +11.0026% 回落中位 -35.9428%｜1321s
  F12+F14  年化中位 +7.3812% 回落中位 -41.4584%｜1327s
  F12+F15  年化中位 +8.4843% 回落中位 -37.5622%｜1332s
  F12+F16  年化中位 +0.6703% 回落中位 -41.0836%｜1338s
  F12+F17  年化中位 +8.1358% 回落中位 -35.0081%｜1344s
  F12+F18  年化中位 +12.9399% 回落中位 -37.1314%｜1350s
  F13+F14  年化中位 +9.0055% 回落中位 -33.8451%｜1355s
  F13+F15  年化中位 +8.2123% 回落中位 -34.7594%｜1361s
  F13+F16  年化中位 +9.2664% 回落中位 -33.5229%｜1367s
  F13+F17  年化中位 +10.4957% 回落中位 -32.0546%｜1372s
  F13+F18  年化中位 +13.0695% 回落中位 -31.9906%｜1378s
  F14+F15  年化中位 +7.6185% 回落中位 -36.0486%｜1383s
  F14+F16  年化中位 +4.2556% 回落中位 -38.6640%｜1389s
  F14+F17  年化中位 +8.8076% 回落中位 -33.3235%｜1395s
  F14+F18  年化中位 +12.8267% 回落中位 -34.9986%｜1401s
  F15+F16  年化中位 +2.8962% 回落中位 -37.8261%｜1406s
  F15+F17  年化中位 +6.9802% 回落中位 -33.7481%｜1412s
  F15+F18  年化中位 +9.1444% 回落中位 -33.8381%｜1417s
  F16+F17  年化中位 +2.2216% 回落中位 -36.4930%｜1423s
  F16+F18  年化中位 +3.1665% 回落中位 -34.7914%｜1428s
  F17+F18  年化中位 +8.0342% 回落中位 -29.7797%｜1434s
  S0       年化中位 +5.3097% 回落中位 -41.4779%｜1469s
  W1ref    年化中位 +24.2017% 回落中位 -39.2858%｜1477s
[0050] +10.7891%／-33.9570%／0.3177｜年化>0050 40 格｜標籤 {'F': 131, 'R': 21, 'Q': 19}
[線索] 1. F09+F17 +13.96%／-27.77%／0.502 運氣分位 0.003；2. F11+F13 +12.08%／-26.54%／0.455 運氣分位 0.000；3. F09+F13 +13.24%／-29.22%／0.453 運氣分位 0.000；4. F06+F11 +10.98%／-28.01%／0.392 運氣分位 0.000；5. F04+F18 +14.40%／-36.84%／0.391 運氣分位 0.000
完成｜1479s
