cell,sig_rows,months,selected,dropped_entry_open,avg_eligible,avg_valid,avg_k,min_valid
F01+F11,3026,72,3026,0,432.02777777777777,415.7083333333333,42.02777777777778,252
F01+F12,3026,72,3026,0,432.02777777777777,415.7083333333333,42.02777777777778,252
F01+F13,3026,72,3026,0,432.02777777777777,415.7083333333333,42.02777777777778,252
F01+F14,3026,72,3026,0,432.02777777777777,415.7083333333333,42.02777777777778,252
F01+F15,2928,72,2928,0,432.02777777777777,402.27777777777777,40.666666666666664,247
F01+F16,2749,72,2749,0,432.02777777777777,377.4861111111111,38.18055555555556,228
F01+F17,3026,72,3026,0,432.02777777777777,415.7083333333333,42.02777777777778,252
F01+F18,3026,72,3026,0,432.02777777777777,415.7083333333333,42.02777777777778,252
F02+F03,3028,72,3029,1,432.02777777777777,415.9166666666667,42.06944444444444,252
F02+F04,2970,70,2970,0,432.02777777777777,408.2361111111111,41.25,0
F02+F05,3029,72,3030,1,432.02777777777777,416.2361111111111,42.083333333333336,252
F02+F06,3028,72,3030,2,432.02777777777777,416.2361111111111,42.083333333333336,252
F02+F07,3028,72,3030,2,432.02777777777777,416.2361111111111,42.083333333333336,252
F02+F08,3006,72,3006,0,432.02777777777777,412.55555555555554,41.75,251
F02+F09,3004,72,3005,1,432.02777777777777,412.3611111111111,41.736111111111114,251
F02+F10,3028,72,3030,2,432.02777777777777,416.2361111111111,42.083333333333336,252
F02+F11,3030,72,3030,0,432.02777777777777,416.2361111111111,42.083333333333336,252
F02+F12,3030,72,3030,0,432.02777777777777,416.2361111111111,42.083333333333336,252
F02+F13,3030,72,3030,0,432.02777777777777,416.2361111111111,42.083333333333336,252
F02+F14,3030,72,3030,0,432.02777777777777,416.2361111111111,42.083333333333336,252
F02+F15,2929,72,2929,0,432.02777777777777,402.44444444444446,40.68055555555556,247
F02+F16,2749,72,2749,0,432.02777777777777,377.5833333333333,38.18055555555556,228
F02+F17,3030,72,3030,0,432.02777777777777,416.2361111111111,42.083333333333336,252
F02+F18,3030,72,3030,0,432.02777777777777,416.2361111111111,42.083333333333336,252
F03+F04,2970,70,2970,0,432.02777777777777,408.1666666666667,41.25,0
F03+F05,3032,72,3034,2,432.02777777777777,416.47222222222223,42.138888888888886,253
F03+F06,3032,72,3034,2,432.02777777777777,416.47222222222223,42.138888888888886,253
F03+F07,3032,72,3034,2,432.02777777777777,416.4583333333333,42.138888888888886,253
F03+F08,3005,72,3007,2,432.02777777777777,412.6111111111111,41.763888888888886,252
F03+F09,3005,72,3005,0,432.02777777777777,412.375,41.736111111111114,252
F03+F10,3032,72,3034,2,432.02777777777777,416.47222222222223,42.138888888888886,253
F03+F11,3034,72,3034,0,432.02777777777777,416.47222222222223,42.138888888888886,253
F03+F12,3034,72,3034,0,432.02777777777777,416.47222222222223,42.138888888888886,253
F03+F13,3034,72,3034,0,432.02777777777777,416.47222222222223,42.138888888888886,253
F03+F14,3034,72,3034,0,432.02777777777777,416.47222222222223,42.138888888888886,253
F03+F15,2930,72,2930,0,432.02777777777777,402.65277777777777,40.69444444444444,247
F03+F16,2751,72,2751,0,432.02777777777777,377.69444444444446,38.208333333333336,228
F03+F17,3034,72,3034,0,432.02777777777777,416.4583333333333,42.138888888888886,253
F03+F18,3034,72,3034,0,432.02777777777777,416.4583333333333,42.138888888888886,253
F04+F05,2974,70,2975,1,432.02777777777777,408.75,41.31944444444444,0
F04+F06,2974,70,2975,1,432.02777777777777,408.75,41.31944444444444,0
F04+F07,2974,70,2975,1,432.02777777777777,408.75,41.31944444444444,0
F04+F08,2954,70,2955,1,432.02777777777777,405.52777777777777,41.041666666666664,0
F04+F09,2952,70,2953,1,432.02777777777777,405.34722222222223,41.013888888888886,0
F04+F10,2974,70,2975,1,432.02777777777777,408.75,41.31944444444444,0
F04+F11,2975,70,2975,0,432.02777777777777,408.75,41.31944444444444,0
F04+F12,2975,70,2975,0,432.02777777777777,408.75,41.31944444444444,0
F04+F13,2975,70,2975,0,432.02777777777777,408.75,41.31944444444444,0
F04+F14,2975,70,2975,0,432.02777777777777,408.75,41.31944444444444,0
F04+F15,2873,70,2873,0,432.02777777777777,394.77777777777777,39.90277777777778,0
F04+F16,2699,70,2699,0,432.02777777777777,370.40277777777777,37.486111111111114,0
F04+F17,2975,70,2975,0,432.02777777777777,408.75,41.31944444444444,0
F04+F18,2975,70,2975,0,432.02777777777777,408.75,41.31944444444444,0
F05+F06,3137,72,3139,2,432.02777777777777,432.02777777777777,43.59722222222222,270
F05+F07,3137,72,3139,2,432.02777777777777,432.0138888888889,43.59722222222222,270
F05+F08,3111,72,3113,2,432.02777777777777,428.02777777777777,43.236111111111114,268
F05+F09,3113,72,3113,0,432.02777777777777,427.77777777777777,43.236111111111114,268
F05+F10,3138,72,3139,1,432.02777777777777,432.02777777777777,43.59722222222222,270
F05+F11,3139,72,3139,0,432.02777777777777,432.02777777777777,43.59722222222222,270
F05+F12,3136,72,3139,3,432.02777777777777,432.02777777777777,43.59722222222222,270
F05+F13,3138,72,3139,1,432.02777777777777,432.02777777777777,43.59722222222222,270
F05+F14,3139,72,3139,0,432.02777777777777,432.02777777777777,43.59722222222222,270
F05+F15,3035,72,3035,0,432.02777777777777,416.8888888888889,42.15277777777778,265
F05+F16,2840,72,2840,0,432.02777777777777,390.34722222222223,39.44444444444444,243
F05+F17,3139,72,3139,0,432.02777777777777,432.0138888888889,43.59722222222222,270
F05+F18,3139,72,3139,0,432.02777777777777,432.0138888888889,43.59722222222222,270
F06+F07,3136,72,3139,3,432.02777777777777,432.0138888888889,43.59722222222222,270
F06+F08,3110,72,3113,3,432.02777777777777,428.02777777777777,43.236111111111114,268
F06+F09,3112,72,3113,1,432.02777777777777,427.77777777777777,43.236111111111114,268
F06+F10,3137,72,3139,2,432.02777777777777,432.02777777777777,43.59722222222222,270
F06+F11,3139,72,3139,0,432.02777777777777,432.02777777777777,43.59722222222222,270
F06+F12,3138,72,3139,1,432.02777777777777,432.02777777777777,43.59722222222222,270
F06+F13,3138,72,3139,1,432.02777777777777,432.02777777777777,43.59722222222222,270
F06+F14,3138,72,3139,1,432.02777777777777,432.02777777777777,43.59722222222222,270
F06+F15,3035,72,3035,0,432.02777777777777,416.8888888888889,42.15277777777778,265
F06+F16,2838,72,2840,2,432.02777777777777,390.34722222222223,39.44444444444444,243
F06+F17,3139,72,3139,0,432.02777777777777,432.0138888888889,43.59722222222222,270
F06+F18,3139,72,3139,0,432.02777777777777,432.0138888888889,43.59722222222222,270
F07+F08,3110,72,3113,3,432.02777777777777,428.02777777777777,43.236111111111114,268
F07+F09,3112,72,3113,1,432.02777777777777,427.77777777777777,43.236111111111114,268
F07+F10,3137,72,3139,2,432.02777777777777,432.0138888888889,43.59722222222222,270
F07+F11,3139,72,3139,0,432.02777777777777,432.0138888888889,43.59722222222222,270
F07+F12,3138,72,3139,1,432.02777777777777,432.0138888888889,43.59722222222222,270
F07+F13,3138,72,3139,1,432.02777777777777,432.0138888888889,43.59722222222222,270
F07+F14,3138,72,3139,1,432.02777777777777,432.0138888888889,43.59722222222222,270
F07+F15,3035,72,3035,0,432.02777777777777,416.875,42.15277777777778,265
F07+F16,2839,72,2840,1,432.02777777777777,390.34722222222223,39.44444444444444,243
F07+F17,3138,72,3139,1,432.02777777777777,432.0,43.59722222222222,270
F07+F18,3139,72,3139,0,432.02777777777777,432.0,43.59722222222222,270
F08+F09,3112,72,3113,1,432.02777777777777,427.77777777777777,43.236111111111114,268
F08+F10,3112,72,3113,1,432.02777777777777,428.02777777777777,43.236111111111114,268
F08+F11,3113,72,3113,0,432.02777777777777,428.02777777777777,43.236111111111114,268
F08+F12,3112,72,3113,1,432.02777777777777,428.02777777777777,43.236111111111114,268
F08+F13,3112,72,3113,1,432.02777777777777,428.02777777777777,43.236111111111114,268
F08+F14,3112,72,3113,1,432.02777777777777,428.02777777777777,43.236111111111114,268
F08+F15,3013,72,3013,0,432.02777777777777,414.2916666666667,41.84722222222222,264
F08+F16,2822,72,2823,1,432.02777777777777,386.68055555555554,39.208333333333336,242
F08+F17,3113,72,3113,0,432.02777777777777,428.02777777777777,43.236111111111114,268
F08+F18,3113,72,3113,0,432.02777777777777,428.02777777777777,43.236111111111114,268
F09+F10,3112,72,3113,1,432.02777777777777,427.77777777777777,43.236111111111114,268
F09+F11,3113,72,3113,0,432.02777777777777,427.77777777777777,43.236111111111114,268
F09+F12,3113,72,3113,0,432.02777777777777,427.77777777777777,43.236111111111114,268
F09+F13,3113,72,3113,0,432.02777777777777,427.77777777777777,43.236111111111114,268
F09+F14,3113,72,3113,0,432.02777777777777,427.77777777777777,43.236111111111114,268
F09+F15,3012,72,3012,0,432.02777777777777,414.06944444444446,41.833333333333336,264
F09+F16,2819,72,2819,0,432.02777777777777,386.4583333333333,39.15277777777778,242
F09+F17,3113,72,3113,0,432.02777777777777,427.77777777777777,43.236111111111114,268
F09+F18,3113,72,3113,0,432.02777777777777,427.77777777777777,43.236111111111114,268
F10+F11,3139,72,3139,0,432.02777777777777,432.02777777777777,43.59722222222222,270
F10+F12,3139,72,3139,0,432.02777777777777,432.02777777777777,43.59722222222222,270
F10+F13,3139,72,3139,0,432.02777777777777,432.02777777777777,43.59722222222222,270
F10+F14,3138,72,3139,1,432.02777777777777,432.02777777777777,43.59722222222222,270
F10+F15,3035,72,3035,0,432.02777777777777,416.8888888888889,42.15277777777778,265
F10+F16,2838,72,2840,2,432.02777777777777,390.34722222222223,39.44444444444444,243
F10+F17,3139,72,3139,0,432.02777777777777,432.0138888888889,43.59722222222222,270
F10+F18,3139,72,3139,0,432.02777777777777,432.0138888888889,43.59722222222222,270
F11+F12,3139,72,3139,0,432.02777777777777,432.02777777777777,43.59722222222222,270
F11+F13,3139,72,3139,0,432.02777777777777,432.02777777777777,43.59722222222222,270
F11+F14,3139,72,3139,0,432.02777777777777,432.02777777777777,43.59722222222222,270
F11+F15,3035,72,3035,0,432.02777777777777,416.8888888888889,42.15277777777778,265
F11+F16,2840,72,2840,0,432.02777777777777,390.34722222222223,39.44444444444444,243
F11+F17,3139,72,3139,0,432.02777777777777,432.0138888888889,43.59722222222222,270
F11+F18,3139,72,3139,0,432.02777777777777,432.0138888888889,43.59722222222222,270
F12+F13,3139,72,3139,0,432.02777777777777,432.02777777777777,43.59722222222222,270
F12+F14,3139,72,3139,0,432.02777777777777,432.02777777777777,43.59722222222222,270
F12+F15,3034,72,3035,1,432.02777777777777,416.8888888888889,42.15277777777778,265
F12+F16,2839,72,2840,1,432.02777777777777,390.34722222222223,39.44444444444444,243
F12+F17,3139,72,3139,0,432.02777777777777,432.0138888888889,43.59722222222222,270
F12+F18,3139,72,3139,0,432.02777777777777,432.0138888888889,43.59722222222222,270
F13+F14,3139,72,3139,0,432.02777777777777,432.02777777777777,43.59722222222222,270
F13+F15,3035,72,3035,0,432.02777777777777,416.8888888888889,42.15277777777778,265
F13+F16,2839,72,2840,1,432.02777777777777,390.34722222222223,39.44444444444444,243
F13+F17,3139,72,3139,0,432.02777777777777,432.0138888888889,43.59722222222222,270
F13+F18,3139,72,3139,0,432.02777777777777,432.0138888888889,43.59722222222222,270
F14+F15,3035,72,3035,0,432.02777777777777,416.8888888888889,42.15277777777778,265
F14+F16,2840,72,2840,0,432.02777777777777,390.34722222222223,39.44444444444444,243
F14+F17,3139,72,3139,0,432.02777777777777,432.0138888888889,43.59722222222222,270
F14+F18,3139,72,3139,0,432.02777777777777,432.0138888888889,43.59722222222222,270
F15+F16,2785,72,2786,1,432.02777777777777,382.4166666666667,38.69444444444444,240
F15+F17,3035,72,3035,0,432.02777777777777,416.8888888888889,42.15277777777778,265
F15+F18,3035,72,3035,0,432.02777777777777,416.8888888888889,42.15277777777778,265
F16+F17,2840,72,2840,0,432.02777777777777,390.34722222222223,39.44444444444444,243
F16+F18,2840,72,2840,0,432.02777777777777,390.34722222222223,39.44444444444444,243
F17+F18,3139,72,3139,0,432.02777777777777,432.0138888888889,43.59722222222222,270
