cell,seed,cagr,mdd,tr,expo,vol,trades,eq_sha
F14+F15,102037,0.07690566727619585,-0.3255480999771794,0.5433668431693528,0.911887570956569,0.1994233263210397,95,69c695fe61e4ecd8
F14+F15,102038,0.07387223641759011,-0.3698123234949204,0.5180772933019482,0.9184668989547038,0.20526968923062655,96,977a3b20554940b3
F14+F15,102039,0.12321342590379714,-0.33657631759092166,0.9749896223063097,0.9181208380211506,0.21234902221819618,96,98a3ad348e7ccd00
F14+F15,102040,0.04173260033686477,-0.3363363052690755,0.2705768087683229,0.9184668989547038,0.20966083867438307,96,2d2f510418631355
F14+F15,102041,-0.019739733174706342,-0.4543781262902555,-0.11021446641289079,0.9184668989547038,0.20483751787061374,96,d8acf85b42fe50e3
F14+F15,102042,0.08684582179975253,-0.3138705881249807,0.6286988594361691,0.9184668989547038,0.21381421475878407,96,79361e6ef43c3ba8
F14+F15,102043,0.07972586776326107,-0.3136107653431106,0.567191129695938,0.9184668989547038,0.20899983610937922,96,a29f26771c0446be
F14+F15,102044,0.1123774713664778,-0.3343440434497872,0.8659742786259153,0.9184668989547038,0.20973146536170295,96,d8dbb076f7eb209b
F14+F15,102045,0.06274336559749427,-0.3536868349510097,0.4282194026647561,0.9184668989547038,0.20205780551934102,96,84ac8dd810d6afec
F14+F15,102046,0.07810003653846853,-0.3842330865636501,0.5534196141532413,0.908806566897739,0.20327922567083456,95,0182dfdda9378493
F14+F15,102047,0.013968521594881933,-0.414125055041674,0.08464144935817153,0.9184668989547038,0.2290015519249598,96,bef9ff1d66b23994
F14+F15,102048,0.1563264211445896,-0.3990487167757863,1.341376211199254,0.9184668989547038,0.21672562136679538,96,58e260c38e4fdf69
F14+F15,102049,0.10977802682705584,-0.3166738851859122,0.840578849348794,0.9094370974075418,0.21087377072095945,95,092dbfaac58aad8e
F14+F15,102050,0.05562056410486371,-0.3557138526312605,0.3730577016832093,0.9184668989547038,0.20886525324590904,96,a88eb712b7c59512
