r,n_E1,n_R1,D_signed
129,753.0,759.0,0.00796812749003984
130,756.0,765.0,0.011904761904761904
131,751.0,761.0,0.013315579227696404
132,751.0,758.5,0.009986684420772303
133,751.0,759.5,0.011318242343541944
134,756.0,761.5,0.007275132275132275
135,755.0,766.0,0.01456953642384106
136,765.0,771.0,0.00784313725490196
137,763.0,768.0,0.00655307994757536
138,755.0,764.5,0.012582781456953643
139,748.0,751.0,0.004010695187165776
140,752.0,758.0,0.007978723404255319
141,750.0,759.5,0.012666666666666666
142,759.0,766.5,0.009881422924901186
143,754.0,761.0,0.009283819628647215
144,759.0,764.5,0.007246376811594203
145,760.0,765.5,0.007236842105263158
146,752.0,760.5,0.011303191489361703
147,749.0,756.0,0.009345794392523364
148,755.0,760.0,0.006622516556291391
149,756.0,760.0,0.005291005291005291
150,764.0,766.0,0.002617801047120419
151,759.0,767.0,0.010540184453227932
152,752.0,762.5,0.013962765957446808
153,767.0,775.0,0.010430247718383311
154,747.0,756.5,0.012717536813922356
155,756.0,760.0,0.005291005291005291
156,749.0,754.5,0.007343124165554072
157,756.0,767.0,0.01455026455026455
158,758.0,764.5,0.008575197889182058
159,749.0,758.0,0.012016021361815754
160,760.0,767.0,0.009210526315789473
161,757.0,766.0,0.011889035667107
162,763.0,773.0,0.01310615989515072
163,755.0,764.0,0.011920529801324504
164,757.0,760.0,0.003963011889035667
165,750.0,757.0,0.009333333333333334
166,757.0,764.5,0.009907529722589167
167,761.0,768.0,0.009198423127463863
168,752.0,763.0,0.014627659574468085
169,753.0,758.5,0.0073041168658698535
170,757.0,762.5,0.00726552179656539
171,761.0,767.0,0.00788436268068331
172,757.0,762.5,0.00726552179656539
173,751.0,760.5,0.012649800266311585
174,761.0,764.0,0.003942181340341655
175,748.0,757.0,0.012032085561497326
176,754.0,764.0,0.013262599469496022
177,753.0,763.5,0.013944223107569721
178,760.0,768.0,0.010526315789473684
179,751.0,759.5,0.011318242343541944
180,759.0,764.0,0.006587615283267457
181,751.0,763.0,0.015978695073235686
182,759.0,764.0,0.006587615283267457
183,754.0,761.0,0.009283819628647215
184,752.0,759.0,0.009308510638297872
185,753.0,762.0,0.01195219123505976
186,747.0,757.0,0.013386880856760375
187,750.0,758.0,0.010666666666666666
188,752.0,756.5,0.005984042553191489
189,754.0,762.0,0.010610079575596816
190,756.0,761.5,0.007275132275132275
191,751.0,760.0,0.011984021304926764
192,751.0,759.0,0.010652463382157125
193,757.0,763.5,0.008586525759577279
194,762.0,768.5,0.00853018372703412
195,756.0,767.0,0.01455026455026455
196,756.0,766.0,0.013227513227513227
197,759.0,769.5,0.01383399209486166
198,747.0,755.0,0.0107095046854083
199,759.0,765.5,0.008563899868247694
