arm,r,seed,eq_sha,tr,tr_prev,cagr,mdd,expo,slot,trades
E1,31,102031,97447e7d8524758f984a46c5f1c3e00cd7d0d69a2105349f216512244a836d93,-0.7627023426434175,-0.7652416514620831,-0.14132428396819152,-0.7831367173688343,0.29015601452037443,0.30679754879709487,761
E1,32,102032,306cc94eb9a25d4c5f4ae0b7e1c34e77eaab799aebfc9fc968a102c81ba67ff8,-0.6630605137444128,-0.6666660841421002,-0.1088375880227932,-0.7459300499889171,0.3129795714818964,0.331025873808443,744
E1,33,102033,0df3af2dd08828f5718b7186398c19e6cbaff8f0cbaed205e32a3afe3eec6e55,-0.7349539821478427,-0.7377902246037589,-0.13120675581878438,-0.7889958120112041,0.2980831204762202,0.31542215161143894,755
E1,34,102034,4dc4ef85fbffce1611cc918b952ae0a3e942058ba0cc0a7063b8bfec0c0f8313,-0.6505813272855657,-0.6543204367521918,-0.10539807152675251,-0.7087937600303186,0.2971680800827095,0.3142873354516568,757
E1,35,102035,1b63771cc1b93aa1483f217611b80f99b9e0f964270c56afe04f4f186f468673,-0.6220571910963555,-0.6261015357320807,-0.09793115256414042,-0.6828710669161983,0.30540519620261813,0.3230821606899682,755
E1,36,102036,7d9f8d463ec0acac46ce261a0499ccb8c1b2c47c02408bba4f8b8d4eccefac53,-0.7177161986825449,-0.7207369016849969,-0.12538890035772132,-0.7544299223629162,0.2985528835435271,0.31752156150703587,744
E1,37,102037,59f9c6fa95b7e9d277f250cbfe0468da06321ab77d65df495eb2a4bda7a38102,-0.6003799036807684,-0.6046562157438689,-0.09258642577541598,-0.7085010564638836,0.29854537714205875,0.3161597821152973,759
E1,38,102038,6a7021132aeb6b68751688dca04bc09335132e629b913778dec2a58e4b9541c5,-0.6503856237174441,-0.654126827396891,-0.10534501189854217,-0.7624180905685743,0.3055115694382522,0.3230821606899682,751
E1,39,102039,f187f618e54c6ba1fad8306fb8ecb29e3d18ddafdf185ee0e9096be216ddf963,-0.7461221877974661,-0.7488389199159828,-0.13515945638848292,-0.7637331486554036,0.2982196613810073,0.31581933726736267,758
E1,40,102040,509b9932dcadb40661fd7134051e89f9cad1924037340bf42efef798f848550c,-0.6878500086296323,-0.6911903080437225,-0.1160220651556021,-0.7286802971991522,0.29351973426487776,0.31042896050839763,758
E1,41,102041,fa929fa8b54cdcf75d26f1d0b9e20ad5d29ff509af3a3e92fb73febbdc76caae,-0.639446706444641,-0.6433049668595268,-0.10242063965072801,-0.737522845530711,0.3008699903219322,0.31786200635497047,760
