stage,cell,mode,r,seed,first,end,trades,eq_sha,cagr,mdd,vol,win_a,win_b,w_mean
main,1,win,33,1033,526,2859,163,6cca80647609c5a0,0.4215599460264172,-0.42577004442063615,0.29206595577610295,523.0,2836.0,
main,1,win,34,1034,526,2859,163,28db727af98557ae,0.39702816977922883,-0.3588803502593409,0.28561852045725816,523.0,2836.0,
main,1,win,35,1035,526,2859,163,3de97583e70e4d91,0.42343511573457016,-0.3970528048285723,0.2930322487111597,523.0,2836.0,
main,1,win,36,1036,526,2859,163,7b14ad4ba6a6c744,0.4271333104611841,-0.4329756263125232,0.2896033410552039,523.0,2836.0,
main,1,win,37,1037,526,2859,163,39d1c1c1c089282b,0.37796915516605467,-0.39068135332705417,0.28439696338185094,523.0,2836.0,
main,1,win,38,1038,526,2859,163,8ccdd6bd4f5e1c45,0.39208533284509706,-0.37059674547117777,0.2837932120650375,523.0,2836.0,
main,1,win,39,1039,526,2859,163,155ece17d76fb127,0.36877193430758726,-0.4216248963005491,0.28479442869934407,523.0,2836.0,
main,1,win,40,1040,526,2859,163,9902bbd930286e25,0.3974993551344461,-0.4059352952614233,0.2835004785348461,523.0,2836.0,
main,1,win,41,1041,526,2859,163,ec0de3090fedb168,0.4533261510203894,-0.38090826838756897,0.290665906433766,523.0,2836.0,
main,1,win,42,1042,526,2859,163,9595e9ae24d4c884,0.39898854774768755,-0.39080119670206603,0.28766451384038305,523.0,2836.0,
main,1,win,43,1043,526,2859,163,93bc4073ff9aa4ca,0.4086067155157891,-0.3980265724527522,0.28423897082185806,523.0,2836.0,
main,1,win,44,1044,526,2859,163,ff5a2b16dd00ea7c,0.4060113668203926,-0.4209455718467745,0.2864373427596021,523.0,2836.0,
main,1,win,45,1045,526,2859,163,2872ea2191a37709,0.39548143653661394,-0.39087574520906415,0.28456204613825187,523.0,2836.0,
main,1,win,46,1046,526,2859,163,b30d77ffc4fd0edc,0.4258251689933077,-0.41314821296108645,0.2885131747229391,523.0,2836.0,
