stage,cell,mode,r,seed,first,end,trades,eq_sha,cagr,mdd,vol,win_a,win_b
dataonly,1,orig,50,1050,511,2859,166,6c9fd187a1727240,0.48474867171574765,-0.3594902100768368,0.28838679805381884,511,2859
dataonly,1,orig,51,1051,511,2859,166,ae3a256de639e3eb,0.4746764146126301,-0.42266574195927087,0.29085907528292737,511,2859
dataonly,1,orig,52,1052,511,2859,166,0454c8ebf782bf37,0.46615624183441917,-0.4078405057973892,0.28962341571222044,511,2859
dataonly,1,orig,53,1053,511,2859,166,ccdb240f6e21520e,0.4205560619921189,-0.4291360721940321,0.284020212288502,511,2859
dataonly,1,orig,54,1054,511,2859,166,59fe8000376b6ee3,0.4637792661751272,-0.40319127942902494,0.2901823897227365,511,2859
dataonly,1,orig,55,1055,511,2859,166,1a548fded511e7b2,0.4639625903420239,-0.4287088255999253,0.2885630889229256,511,2859
dataonly,1,orig,56,1056,511,2859,166,d8149b6b694fd9f7,0.516426727315767,-0.35443847058737366,0.2937057743711785,511,2859
dataonly,1,orig,57,1057,511,2859,166,95a1b1c5b590b700,0.5144016972349739,-0.37061017062743246,0.29123303582934745,511,2859
dataonly,1,orig,58,1058,511,2859,166,0b37cfb5f3a27687,0.43387562414842096,-0.3685484315180503,0.2823320248776085,511,2859
dataonly,1,orig,59,1059,511,2859,166,fd55fab7b607eb6a,0.492310928357069,-0.3482013162023844,0.2934655550017367,511,2859
dataonly,1,orig,60,1060,511,2859,166,b8ab986f9aa6110b,0.4672448560019875,-0.38068889115019555,0.28668390463738347,511,2859
dataonly,1,orig,61,1061,511,2859,166,df324d67aa7713df,0.4474348752537527,-0.37328406623123117,0.28672129607945995,511,2859
dataonly,1,orig,62,1062,511,2859,166,80b6974bbdfba8b8,0.5186868751112275,-0.3742201209359341,0.29696183396250286,511,2859
dataonly,1,orig,63,1063,511,2859,166,4961a962a948fe29,0.44623607199862714,-0.4060020530181901,0.28961155173300646,511,2859
