stage,cell,r,seed,cagr,mdd,vol,first,end,trades,eq_sha,w_mean,mode
repro,5,18,102018,0.241096664827684,-0.31979387485183536,0.1991483999378247,523,2837,138,49a7dc3327cf9709,0.42726477988932415,win
repro,0,18,102018,0.21904144124513247,-0.37714922457546884,0.2592213043224482,523,2837,138,,,win
repro,8,19,102019,0.272615528430886,-0.32426677862462666,0.2179078715557848,523,2837,138,5003e87625576bfe,,win
repro,5,19,102019,0.2837685980443152,-0.3224587378718855,0.20524117876031847,523,2837,138,5003e87625576bfe,0.40217196799332017,win
repro,0,19,102019,0.2992727792311123,-0.4211062390963251,0.2831409796816945,523,2837,138,,,win
repro,8,20,102020,0.29615512673455213,-0.33614669232277306,0.2207153617193948,523,2837,138,fcc4776f0543c161,,win
repro,5,20,102020,0.28621769214282833,-0.31870210967652296,0.2034296516474931,523,2837,138,fcc4776f0543c161,0.410196573351068,win
repro,0,20,102020,0.33704168549962366,-0.3994464711646521,0.2739506284665526,523,2837,138,,,win
repro,8,21,102021,0.3449993657578636,-0.3703104529932046,0.22596033767803894,523,2837,138,5cb6bfdb4b49d878,,win
repro,5,21,102021,0.31345523390892693,-0.32760627197916786,0.20002732463053705,523,2837,138,5cb6bfdb4b49d878,0.41303978582483203,win
repro,0,21,102021,0.40746248365972804,-0.42531122926217413,0.2716839619511064,523,2837,138,,,win
repro,8,22,102022,0.2182148244667408,-0.32966881045267166,0.2031528868684685,523,2837,138,097821285e723305,,win
repro,5,22,102022,0.22664678158907936,-0.34048715783388017,0.19555471926764706,523,2837,138,097821285e723305,0.43124463453230216,win
repro,0,22,102022,0.192261065438323,-0.39611279300764346,0.25346191155807984,523,2837,138,,,win
repro,8,23,102023,0.2802915751052715,-0.34646448550282166,0.21700344697274962,523,2837,138,191d919a9fa97d8a,,win
repro,5,23,102023,0.2796897025073044,-0.3138913330331415,0.19834523579794264,523,2837,138,191d919a9fa97d8a,0.42257887909761677,win
repro,0,23,102023,0.31195791368689396,-0.3811284798948961,0.26070384532879426,523,2837,138,,,win
repro,8,24,102024,0.2780527472554688,-0.3386942644466036,0.21843069338713414,523,2837,138,facde0e4872afa89,,win
repro,5,24,102024,0.2748134638929578,-0.32219549694891936,0.2016346494254919,523,2837,138,facde0e4872afa89,0.4181753366851368,win
repro,0,24,102024,0.3082986907111769,-0.4302777841636533,0.2706442053827245,523,2837,138,,,win
repro,8,25,102025,0.2568000663250749,-0.41265110919686604,0.2088049539541462,523,2837,138,b83fa078278c4166,,win
repro,5,25,102025,0.259317511314594,-0.38555714082959575,0.19368172701026667,523,2837,138,b83fa078278c4166,0.43018586049692964,win
repro,0,25,102025,0.2717314289888211,-0.4858404377041047,0.2524254882302219,523,2837,138,,,win
repro,8,26,102026,0.2644343575258137,-0.3680984153725731,0.21958763349596294,523,2837,138,8300e489ccca6100,,win
repro,5,26,102026,0.2652645728330254,-0.35671951335797175,0.2017928688558362,523,2837,138,8300e489ccca6100,0.4168075417879004,win
repro,0,26,102026,0.2852849612892274,-0.5394245666427168,0.2764806971955199,523,2837,138,,,win
repro,8,27,102027,0.24205958752216472,-0.351167247620631,0.22101752343321293,523,2837,138,41b78f6446ebbc71,,win
repro,5,27,102027,0.24622282010008356,-0.32941089572753934,0.20252347067211612,523,2837,138,41b78f6446ebbc71,0.4075503681010739,win
repro,0,27,102027,0.24389392067421567,-0.41525503016130844,0.27764183378853813,523,2837,138,,,win
repro,8,28,102028,0.3204520218106788,-0.3643456661108801,0.22566635755795594,523,2837,138,a6d258f1772b5e14,,win
repro,5,28,102028,0.30477181975250334,-0.34016628008652317,0.2013744652688225,523,2837,138,a6d258f1772b5e14,0.41431150359286706,win
repro,0,28,102028,0.37313060414944155,-0.43719241888745203,0.2767040449431352,523,2837,138,,,win
repro,8,29,102029,0.25948887375301655,-0.35585481830264487,0.21627296504877952,523,2837,138,16440f4bae8d5991,,win
repro,5,29,102029,0.26958329440217055,-0.3422817105025139,0.20280841282069206,523,2837,138,16440f4bae8d5991,0.41565669508934877,win
repro,0,29,102029,0.2765647272447449,-0.4744309363328785,0.27116479193540777,523,2837,138,,,win
repro,8,30,102030,0.2783775621044353,-0.3314865676066756,0.2170323694073541,523,2837,138,069128f9862e9895,,win
repro,5,30,102030,0.2876857535986559,-0.31499636334431025,0.2016623119376227,523,2837,138,069128f9862e9895,0.4150073446079582,win
repro,0,30,102030,0.3088315863386626,-0.4133649520451069,0.2732888612651884,523,2837,138,,,win
repro,8,31,102031,0.2778914653316642,-0.3450861024275045,0.21994329660801218,523,2837,138,375dee19c8ff9d9f,,win
repro,5,31,102031,0.2802705027269574,-0.3254156792018247,0.20201271093966633,523,2837,138,375dee19c8ff9d9f,0.41343237532904076,win
repro,0,31,102031,0.30803383305187815,-0.40081760468859157,0.2754122251816911,523,2837,138,,,win
repro,8,32,102032,0.20385223542418873,-0.29889883111996157,0.20716113225682004,523,2837,138,332213462782b41e,,win
repro,5,32,102032,0.2066580474369628,-0.2960780359732209,0.1966987799215652,523,2837,138,332213462782b41e,0.4259911262488198,win
repro,0,32,102032,0.15489873225902495,-0.3948177987883124,0.25575439054041355,523,2837,138,,,win
repro,8,33,102033,0.26285146741321075,-0.31963829251555476,0.21871129694441982,523,2837,138,3d7e555a48650e93,,win
repro,5,33,102033,0.27376492261292884,-0.3079684462261721,0.20107414987830052,523,2837,138,3d7e555a48650e93,0.41466530472352514,win
repro,0,33,102033,0.2825169026081229,-0.39602262727095994,0.27402454973747964,523,2837,138,,,win
repro,8,34,102034,0.23564007322167813,-0.3309278958980829,0.2146305179270877,523,2837,138,42814212095f0d92,,win
repro,5,34,102034,0.24463950538160462,-0.33384172935310413,0.20357012660675114,523,2837,138,42814212095f0d92,0.42194649618977675,win
repro,0,34,102034,0.2309312870219682,-0.45065883934517914,0.27017448822729506,523,2837,138,,,win
repro,8,35,102035,0.2749635734541598,-0.31762383745048034,0.2152401857277248,523,2837,138,843bd7cc947c96d9,,win
repro,5,35,102035,0.27599762668662065,-0.30411465830048046,0.1997057744131254,523,2837,138,843bd7cc947c96d9,0.4189560295861695,win
repro,0,35,102035,0.3031954950316835,-0.4018014695385396,0.2625570075621405,523,2837,138,,,win
repro,8,36,102036,0.24261624619071065,-0.3492294352607512,0.21521671112360288,523,2837,138,91fa4ff6bb793359,,win
repro,5,36,102036,0.26067782585223154,-0.33206394757942753,0.2011053881292672,523,2837,138,91fa4ff6bb793359,0.42109601216151454,win
repro,0,36,102036,0.24499144204636747,-0.4066713926537274,0.263734929349924,523,2837,138,,,win
repro,8,37,102037,0.3079752477874045,-0.35066241953005567,0.22105067164208117,523,2837,138,15d4d2966f17cb08,,win
repro,5,37,102037,0.29676534542219946,-0.33019790567617935,0.203691871397625,523,2837,138,15d4d2966f17cb08,0.41525095639330883,win
repro,0,37,102037,0.3549051605995803,-0.4166157894487688,0.27248963455123476,523,2837,138,,,win
repro,8,38,102038,0.19874291044121195,-0.3524810002218439,0.2025037760045008,523,2837,138,53d1321f5424d4d7,,win
repro,5,38,102038,0.19884358702839067,-0.36109885917523377,0.19700318953583754,523,2837,138,53d1321f5424d4d7,0.4343588327826932,win
repro,0,38,102038,0.13984726509407563,-0.44369677851777045,0.2514964853531538,523,2837,138,,,win
repro,8,39,102039,0.2657332145347657,-0.3848365272169409,0.21252727671047525,523,2837,138,10d8239c1ef14ee8,,win
repro,5,39,102039,0.26269736552909406,-0.3715439389725168,0.20127965179920573,523,2837,138,10d8239c1ef14ee8,0.42214340407409595,win
repro,0,39,102039,0.2875407560007859,-0.4649210112775922,0.263955253953414,523,2837,138,,,win
repro,8,40,102040,0.25985302240670705,-0.312512385815928,0.2146611589057585,523,2837,138,b8f426155f2bf508,,win
repro,5,40,102040,0.26812210752599386,-0.30408055410058843,0.19835031314318344,523,2837,138,b8f426155f2bf508,0.42014234005797996,win
repro,0,40,102040,0.2772141685294851,-0.39650622178519296,0.26239774689569234,523,2837,138,,,win
repro,8,41,102041,0.22215241506968342,-0.3411193451118078,0.20326727415626758,523,2837,138,fc7aa96b091ccb32,,win
repro,5,41,102041,0.23456620505881443,-0.34135615454699847,0.19567546028892543,523,2837,138,fc7aa96b091ccb32,0.4293991880991375,win
repro,0,41,102041,0.20152618146672996,-0.42586241964989574,0.25349211402363436,523,2837,138,,,win
repro,8,42,102042,0.19777947777461846,-0.3544556864914799,0.2052947150700998,523,2837,138,ea7fe652f7fee165,,win
repro,5,42,102042,0.2048202879175436,-0.3432582517275036,0.19686538634522152,523,2837,138,ea7fe652f7fee165,0.42891983344235474,win
repro,0,42,102042,0.13687675776885344,-0.4198568920520933,0.25506156072811875,523,2837,138,,,win
repro,8,43,102043,0.2771978298919664,-0.31130253038535166,0.21051097249558975,523,2837,138,b026e42b9b30ada3,,win
repro,5,43,102043,0.2833137226997744,-0.3154592310960399,0.20078206402096946,523,2837,138,b026e42b9b30ada3,0.4191824233126279,win
repro,0,43,102043,0.3068927910524115,-0.3935147647705408,0.26773217833006524,523,2837,138,,,win
repro,8,44,102044,0.2805041695629671,-0.39396798030818736,0.21307664301904516,523,2837,138,d83a8a5940d1f7ea,,win
repro,5,44,102044,0.28242763937586624,-0.36720194236976067,0.19908866181968654,523,2837,138,d83a8a5940d1f7ea,0.4205497881290316,win
repro,0,44,102044,0.3123037236519508,-0.4700157078896213,0.26580374147073615,523,2837,138,,,win
repro,8,45,102045,0.29887924654729936,-0.32541452217053735,0.223036405161161,523,2837,138,df7ef74bffac913e,,win
repro,5,45,102045,0.30072947102622494,-0.31267303884920694,0.20460714752668224,523,2837,138,df7ef74bffac913e,0.4076076995241911,win
repro,0,45,102045,0.34121550465696715,-0.4548876235651791,0.2818504675233571,523,2837,138,,,win
repro,8,46,102046,0.3042964125050238,-0.43180926115042284,0.22499584048445087,523,2837,138,207e6e4d64e35932,,win
repro,5,46,102046,0.2982543062817913,-0.39556043615437414,0.20504168088665842,523,2837,138,207e6e4d64e35932,0.41523152469518704,win
repro,0,46,102046,0.34941245733226034,-0.511906616004494,0.2818945406247105,523,2837,138,,,win
repro,8,47,102047,0.2648131410640677,-0.38927160886939877,0.2107512163269491,523,2837,138,7dcb770431ce134b,,win
repro,5,47,102047,0.2690589512172503,-0.36905856125333397,0.19949181073960812,523,2837,138,7dcb770431ce134b,0.4187910879129699,win
repro,0,47,102047,0.2859442468818769,-0.47418419194982114,0.26719185302305487,523,2837,138,,,win
repro,8,48,102048,0.269893024011745,-0.3439968411709273,0.208730489776447,523,2837,138,c507b9b502cf0707,,win
repro,5,48,102048,0.2702943962139577,-0.3494778728596372,0.20195276733253315,523,2837,138,c507b9b502cf0707,0.4235022006033533,win
repro,0,48,102048,0.29467482397386324,-0.4331003296081385,0.26567070299291157,523,2837,138,,,win
repro,8,49,102049,0.23161014700206706,-0.34227768837097694,0.20082399966112774,523,2837,138,920b7a592a7deb98,,win
repro,5,49,102049,0.24010954838355603,-0.32117870058656983,0.1945058053863949,523,2837,138,920b7a592a7deb98,0.4409578730066317,win
repro,0,49,102049,0.22248036129927917,-0.38420873198309113,0.24561197620016048,523,2837,138,,,win
repro,8,50,102050,0.27547111120840184,-0.3682498529313697,0.22403193403927749,523,2837,138,8989319b896ea01d,,win
repro,5,50,102050,0.27674384060022095,-0.3505825144415426,0.2040671961337979,523,2837,138,8989319b896ea01d,0.41060365843710495,win
repro,0,50,102050,0.3040383542924314,-0.4285348539133737,0.2802652513149107,523,2837,138,,,win
repro,8,51,102051,0.24446332589459296,-0.31591356209843213,0.2113609442456075,523,2837,138,7e3975d556bc2a54,,win
repro,5,51,102051,0.2521590932111317,-0.3126313199407455,0.1974561716741701,523,2837,138,7e3975d556bc2a54,0.42711377392849176,win
repro,0,51,102051,0.24860484113195813,-0.3647597265380161,0.2556082505045841,523,2837,138,,,win
repro,8,52,102052,0.20694130833271562,-0.3567414371855684,0.20421132263902889,523,2837,138,7e8a2880c6e39554,,win
repro,5,52,102052,0.2181121436796667,-0.36760051042695413,0.19627330816162977,523,2837,138,7e8a2880c6e39554,0.42790564783865065,win
repro,0,52,102052,0.16349035189701722,-0.45583104352072307,0.2532230640586814,523,2837,138,,,win
repro,8,53,102053,0.20576794894800932,-0.29616538588201674,0.19941508446286182,523,2837,138,e5d2ca24d1d13706,,win
repro,5,53,102053,0.21297963840167755,-0.29467161480415355,0.1908737925224554,523,2837,138,e5d2ca24d1d13706,0.43834462648778605,win
repro,0,53,102053,0.16026811922312612,-0.37033294570247743,0.239195830028201,523,2837,138,,,win
repro,8,54,102054,0.25804601084135026,-0.3796129642799333,0.20597528912090488,523,2837,138,57eab1c3c6d7a7c0,,win
repro,5,54,102054,0.26672775729832243,-0.35873594591531693,0.19504715413416782,523,2837,138,57eab1c3c6d7a7c0,0.43013540551794505,win
repro,0,54,102054,0.27397949751315553,-0.43887196855245325,0.2509543339572431,523,2837,138,,,win
repro,8,55,102055,0.39707270079313006,-0.31854055381184554,0.24116133111364707,523,2837,138,0ca4c81178f80741,,win
repro,5,55,102055,0.3406171510381899,-0.30831423332518865,0.20228592893266026,523,2837,138,0ca4c81178f80741,0.411122845411362,win
repro,0,55,102055,0.475543247008559,-0.4285570296773673,0.2880574307904931,523,2837,138,,,win
repro,8,56,102056,0.2578103679666426,-0.32023329489126834,0.2130920975715755,523,2837,138,1c8e6b8e183ce088,,win
repro,5,56,102056,0.2677416579168175,-0.31364738500646383,0.197301836053771,523,2837,138,1c8e6b8e183ce088,0.42437747265728487,win
repro,0,56,102056,0.27355545026542893,-0.42114923828778367,0.2668355167584214,523,2837,138,,,win
repro,8,57,102057,0.28794033210594705,-0.3808796010239425,0.21669900809114956,523,2837,138,d831bb991142579f,,win
repro,5,57,102057,0.27789933338138506,-0.37079873136083974,0.19955395625304553,523,2837,138,d831bb991142579f,0.4224367145781458,win
repro,0,57,102057,0.3242274851070659,-0.4434271358897485,0.2660173006324986,523,2837,138,,,win
repro,8,58,102058,0.3795608057733786,-0.2906050940445271,0.22074442609289724,523,2837,138,335c15c4d8eeda15,,win
repro,5,58,102058,0.3427276251006175,-0.2840933592496954,0.19848553505680613,523,2837,138,335c15c4d8eeda15,0.4191145170422518,win
repro,0,58,102058,0.45322081990138097,-0.3622460395778113,0.2661069860690331,523,2837,138,,,win
repro,8,59,102059,0.23910404910575167,-0.32399104943512297,0.20566228593259844,523,2837,138,6b286f13af52f293,,win
repro,5,59,102059,0.2481250986764636,-0.31294432958392565,0.197067368946242,523,2837,138,6b286f13af52f293,0.43020483052158237,win
repro,0,59,102059,0.23799772403783082,-0.40370438435114037,0.25681982468714853,523,2837,138,,,win
repro,8,60,102060,0.23586405871520033,-0.4045535790388629,0.2071777809828351,523,2837,138,4349a8ade5c5a373,,win
repro,5,60,102060,0.24505389184108206,-0.3830947963476475,0.19661142922438044,523,2837,138,4349a8ade5c5a373,0.42267615712920714,win
repro,0,60,102060,0.23139355103069614,-0.4957249526013942,0.25819383466945245,523,2837,138,,,win
repro,8,61,102061,0.26313012938050306,-0.36308497207838203,0.21572388022549388,523,2837,138,4899939487b62205,,win
repro,5,61,102061,0.2699394205129739,-0.34574314541490364,0.19893499461377326,523,2837,138,4899939487b62205,0.414897156687188,win
repro,0,61,102061,0.28300574472715123,-0.4259652962154679,0.26672053009756663,523,2837,138,,,win
repro,8,62,102062,0.22144186626910134,-0.32472995223090434,0.20109594252111945,523,2837,138,b55aab3262954158,,win
repro,5,62,102062,0.22862708208986948,-0.319082156808265,0.19256487957625418,523,2837,138,b55aab3262954158,0.4356819280260631,win
repro,0,62,102062,0.19988005201237158,-0.38636143143899926,0.24550912807897352,523,2837,138,,,win
repro,8,63,102063,0.20898553485679927,-0.3807903983330299,0.20571618269704148,523,2837,138,2e9b47df55b37a75,,win
repro,5,63,102063,0.22009517248634514,-0.37956045759323936,0.1960493594342427,523,2837,138,2e9b47df55b37a75,0.42852917983067157,win
repro,0,63,102063,0.168990717415479,-0.4907952898860008,0.2541748032796404,523,2837,138,,,win
repro,8,64,102064,0.29160859016800855,-0.3206443334018529,0.21263383453967902,523,2837,138,a11560f5d6fc0fc1,,win
repro,5,64,102064,0.2935134739176024,-0.3097613731214674,0.19815630169777074,523,2837,138,a11560f5d6fc0fc1,0.422534522102379,win
repro,0,64,102064,0.32999339838699937,-0.35642414365767294,0.2601067675826125,523,2837,138,,,win
repro,8,65,102065,0.2334298286872385,-0.35765450523151215,0.21518404585616202,523,2837,138,8552f2170ce63fa9,,win
repro,5,65,102065,0.24398987064282407,-0.3407739172917602,0.20102448842010306,523,2837,138,8552f2170ce63fa9,0.41302505096239417,win
repro,0,65,102065,0.22632835413583674,-0.43160473020412177,0.27170785001277087,523,2837,138,,,win
repro,8,66,102066,0.295329425322167,-0.341645535289845,0.22729583450069932,523,2837,138,ae41396e055c8c24,,win
repro,5,66,102066,0.2843825951409047,-0.3290420944837471,0.2035228787727595,523,2837,138,ae41396e055c8c24,0.4140618101830267,win
repro,0,66,102066,0.3357694142226091,-0.4018745245518258,0.28106135657012604,523,2837,138,,,win
repro,8,67,102067,0.22341612507555308,-0.32081699463315994,0.21313485640950952,523,2837,138,5f15761a95dc46b5,,win
repro,5,67,102067,0.23556065318169517,-0.311898388986862,0.19919444548915483,523,2837,138,5f15761a95dc46b5,0.4184169774662967,win
repro,0,67,102067,0.20442712803147023,-0.45445446556114777,0.2686402816492931,523,2837,138,,,win
repro,8,68,102068,0.3089666587423867,-0.3079723003096714,0.22135622112296244,523,2837,137,966a644598b3ae9f,,win
repro,5,68,102068,0.29427367077967914,-0.3020447086103806,0.19952808091505403,523,2837,137,966a644598b3ae9f,0.41592394002201016,win
repro,0,68,102068,0.35637564271556266,-0.36708322825059925,0.2707275245211286,523,2837,137,,,win
repro,8,69,102069,0.23023994827416794,-0.2957186622774846,0.21398789332704202,523,2837,138,ff837f1388c14b1b,,win
repro,5,69,102069,0.2430732710623782,-0.2925687393187831,0.1994416294238353,523,2837,138,ff837f1388c14b1b,0.4150781686177727,win
repro,0,69,102069,0.21954645940508977,-0.3820525600552077,0.268666626203193,523,2837,138,,,win
repro,8,70,102070,0.2790818103772057,-0.3327826104180992,0.22560782525867018,523,2837,138,3b040cb9dd1594cf,,win
repro,5,70,102070,0.2793623564597878,-0.3170023536868035,0.20166279552193328,523,2837,138,3b040cb9dd1594cf,0.40594542761414304,win
repro,0,70,102070,0.30998463133198806,-0.3838088598751237,0.2824567069013527,523,2837,138,,,win
repro,8,71,102071,0.38199245401280035,-0.3163265075283212,0.23750155112459864,523,2837,138,d8d5a5c331e160d5,,win
repro,5,71,102071,0.33245417262233357,-0.30372620323122795,0.20322949943849125,523,2837,138,d8d5a5c331e160d5,0.40346092344558737,win
repro,0,71,102071,0.4563507044351982,-0.4237314206182744,0.2890610065268755,523,2837,138,,,win
repro,8,72,102072,0.24986530449255873,-0.36791943940914584,0.2083208490072702,523,2837,138,c5e7b5cec3823f09,,win
repro,5,72,102072,0.25214155350964407,-0.3477107032035343,0.19695862170611786,523,2837,138,c5e7b5cec3823f09,0.43209016790649396,win
repro,0,72,102072,0.2589362721044388,-0.42532719704102734,0.2515097831409564,523,2837,138,,,win
repro,8,73,102073,0.22560325496889821,-0.3073000960429488,0.20078074328786408,523,2837,138,43bf8bad9e045004,,win
repro,5,73,102073,0.23665555428017226,-0.31175298075189783,0.19535960277515274,523,2837,138,43bf8bad9e045004,0.42852430843386374,win
repro,0,73,102073,0.2093701655175959,-0.4010684572989355,0.2506400467178144,523,2837,138,,,win
repro,8,74,102074,0.2573373584359093,-0.3196218809581729,0.21320854660357652,523,2837,138,b305980563420f0b,,win
repro,5,74,102074,0.26515502454437767,-0.3156478853763222,0.20162957390744218,523,2837,138,b305980563420f0b,0.41838733362624936,win
repro,0,74,102074,0.27270267496298617,-0.3745184691616083,0.2682112023847994,523,2837,138,,,win
repro,8,75,102075,0.19696956466306936,-0.36614441837164646,0.20786741949183882,523,2837,138,d11f58b277d34cc6,,win
repro,5,75,102075,0.20159382751841415,-0.3542691243871972,0.19921408760862497,523,2837,138,d11f58b277d34cc6,0.42693042264786224,win
repro,0,75,102075,0.1343439177065795,-0.44782665544903294,0.25864273210412914,523,2837,138,,,win
repro,8,76,102076,0.24158587878236548,-0.37414626550540864,0.22017561250258444,523,2837,138,f8941212fcd3a12d,,win
repro,5,76,102076,0.2581157721422116,-0.35205989060853826,0.2021338610790073,523,2837,138,f8941212fcd3a12d,0.41209511759050027,win
repro,0,76,102076,0.24295676197272198,-0.4813343431604269,0.27944753001310496,523,2837,138,,,win
repro,8,77,102077,0.2588114638150325,-0.3492369024024135,0.21888382157403768,523,2837,138,85500e84dc645297,,win
repro,5,77,102077,0.2595884020169221,-0.3295812222533344,0.1987878156105541,523,2837,138,85500e84dc645297,0.41866418777233383,win
repro,0,77,102077,0.2753533806266615,-0.41166265631289234,0.2631528539691115,523,2837,138,,,win
repro,8,78,102078,0.3169888950067321,-0.27644720621006463,0.21011866348481517,523,2837,138,228e152df8b66431,,win
repro,5,78,102078,0.3047538823204239,-0.2830945370018155,0.19921368787732852,523,2837,138,228e152df8b66431,0.4270387471923129,win
repro,0,78,102078,0.3681307423022351,-0.2997863391481208,0.25983991152293523,523,2837,138,,,win
repro,8,79,102079,0.24690795446502167,-0.3325265143417663,0.22932381561388918,523,2837,138,6309a219604af973,,win
