stage,cell,mode,r,seed,first,end,trades,eq_sha,cagr,mdd,vol,win_a,win_b
winonly,3,win,96,7096,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,97,7097,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,98,7098,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,99,7099,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,100,7100,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,101,7101,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,102,7102,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,103,7103,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,104,7104,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,105,7105,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,106,7106,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,107,7107,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,108,7108,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,109,7109,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,110,7110,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,111,7111,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,112,7112,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,113,7113,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,114,7114,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,115,7115,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,116,7116,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,117,7117,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,118,7118,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,119,7119,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,120,7120,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,121,7121,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,122,7122,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,123,7123,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,124,7124,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,125,7125,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,126,7126,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,127,7127,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,128,7128,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,129,7129,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,130,7130,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,131,7131,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,132,7132,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,133,7133,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,134,7134,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
