key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2016-03-09_5328,2016-03-09,5328,華容,tpex,5.58,5.65,5.56,5.63,283000,1584540,0.00,,178310724,73,
2016-03-09_5340,2016-03-09,5340,建榮,tpex,4.49,4.49,4.01,4.11,1030000,4392750,,,165893964,213,
2016-03-09_5344,2016-03-09,5344,立衛,tpex,5.58,5.79,5.55,5.79,11000,61410,,,79447460,7,
2016-03-09_5345,2016-03-09,5345,天揚,tpex,9.94,9.98,9.82,9.84,29000,287930,,,50000000,14,
2016-03-09_5347,2016-03-09,5347,世界,tpex,50.00,50.50,48.95,49.30,3367000,166705900,,,1638982267,1800,
2016-03-09_5349,2016-03-09,5349,先豐,tpex,31.50,31.65,31.30,31.50,920000,28971750,,,224096373,628,
2016-03-09_5351,2016-03-09,5351,鈺創,tpex,13.75,13.90,13.60,13.60,1918000,26269700,,,437039337,639,
2016-03-09_5353,2016-03-09,5353,台林,tpex,11.40,11.60,11.35,11.55,228000,2618700,0.15,,90942085,112,
2016-03-09_5355,2016-03-09,5355,佳總,tpex,6.56,6.56,6.49,6.50,91000,592520,,,166122792,35,
2016-03-09_5356,2016-03-09,5356,協益,tpex,38.85,39.25,38.60,39.00,281000,10931350,0.00,,128800000,157,
2016-03-09_5364,2016-03-09,5364,力麗店,tpex,40.00,40.00,40.00,40.00,1000,40000,,flat,10099940,1,
2016-03-09_5371,2016-03-09,5371,中光電,tpex,32.95,35.75,32.95,35.35,8036000,279109550,2.75,,543028888,3562,
2016-03-09_5381,2016-03-09,5381,合正,tpex,1.65,1.65,1.62,1.62,163000,265960,0.05,,187054388,21,
2016-03-09_5383,2016-03-09,5383,金利,tpex,9.78,9.78,9.52,9.73,7000,67750,0.02,,71414234,7,
2016-03-09_5384,2016-03-09,5384,捷元,tpex,12.20,12.20,12.20,12.20,19000,231800,,flat,79569450,8,
2016-03-09_5386,2016-03-09,5386,青雲,tpex,23.85,23.85,23.80,23.80,4000,95350,,,12287316,3,
