key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit
2026-09-02_00681R,2026-09-02,00681R,元大美債20反1,twse,21.83,21.90,21.83,21.90,9000,196620,0.06,
2026-09-02_00682U,2026-09-02,00682U,期元大美元指數,twse,20.56,20.56,20.52,20.52,2902,59673,0.11,
2026-09-02_00683L,2026-09-02,00683L,期元大美元指正2,twse,21.56,21.59,21.54,21.59,63800,1376500,0.21,
2026-09-02_00684R,2026-09-02,00684R,期元大美元指反1,twse,15.15,15.15,15.15,15.15,10020,151804,0.1,up
2026-09-02_00685L,2026-09-02,00685L,群益臺灣加權正2,twse,12.11,12.17,11.89,11.89,263568299,3155500650,-0.42,
2026-09-02_00686R,2026-09-02,00686R,群益臺灣加權反1,twse,0.97,0.98,0.97,0.98,3618280,3531354,0.02,
2026-09-02_00687B,2026-09-02,00687B,國泰20年美債,tpex,26.92,26.99,26.89,26.97,24357285,656050516,0.05,
2026-09-02_00687C,2026-09-02,00687C,國泰20年美債+櫃U,tpex,9.05,9.05,9.05,9.05,25000,226250,-0.01,down
2026-09-02_00688L,2026-09-02,00688L,國泰20年美債正2,twse,6.33,6.33,6.30,6.33,4094583,25865540,-0.02,
2026-09-02_00689R,2026-09-02,00689R,國泰20年美債反1,twse,22.86,22.90,22.86,22.90,6000,137340,0.04,
2026-09-02_00690,2026-09-02,00690,兆豐藍籌30,twse,79.85,79.85,78.35,78.35,394903,31174167,-1.5,
2026-09-02_00692,2026-09-02,00692,富邦公司治理,twse,92.50,92.50,91.35,91.60,206361,18930403,-1.35,
2026-09-02_00693U,2026-09-02,00693U,期街口S&P黃豆,twse,23.87,23.90,23.66,23.71,1905842,45322090,0.07,
2026-09-02_00694B,2026-09-02,00694B,富邦美債1-3,tpex,41.56,41.72,41.56,41.72,604405,25188283,0.14,
2026-09-02_00695B,2026-09-02,00695B,富邦美債7-10,tpex,34.50,34.53,34.50,34.52,123517,4262986,0.04,
2026-09-02_00696B,2026-09-02,00696B,富邦美債20年,tpex,27.87,27.95,27.83,27.92,5813386,162143590,0.05,
2026-09-02_00697B,2026-09-02,00697B,元大美債7-10,tpex,35.04,35.10,35.02,35.10,118144,4142588,0.06,
2026-09-02_00700,2026-09-02,00700,富邦恒生國企,twse,17.29,17.29,17.10,17.24,182199,3121923,-0.02,
2026-09-02_00701,2026-09-02,00701,國泰股利精選30,twse,38.99,39.07,38.82,39.07,526729,20509003,0.0,
2026-09-02_00702,2026-09-02,00702,國泰標普低波高息,twse,24.85,24.90,24.85,24.90,116024,2885612,-0.02,
2026-09-02_00703,2026-09-02,00703,台新MSCI中國,twse,19.59,19.59,19.15,19.19,39113,751238,-0.22,
2026-09-02_00706L,2026-09-02,00706L,期元大S&P日圓正2,twse,18.72,18.77,18.67,18.77,565205,10571538,-0.01,
2026-09-02_00708L,2026-09-02,00708L,期元大S&P黃金正2,twse,78.55,78.70,76.90,77.85,10461068,813049790,-4.2,
2026-09-02_00709,2026-09-02,00709,富邦歐洲,twse,40.55,40.55,40.28,40.46,89638,3624109,-0.19,
2026-09-02_00710B,2026-09-02,00710B,復華彭博非投等債,twse,19.06,19.10,19.05,19.10,282763,5394313,0.06,
2026-09-02_00711B,2026-09-02,00711B,復華彭博新興債,twse,15.53,15.53,15.51,15.53,106673,1655552,0.01,
2026-09-02_00712,2026-09-02,00712,復華富時不動產,twse,8.64,8.64,8.59,8.61,74446623,640915296,-0.07,
2026-09-02_00713,2026-09-02,00713,元大台灣高息低波,twse,62.20,62.80,62.15,62.80,5163364,322333111,0.45,
2026-09-02_00714,2026-09-02,00714,群益道瓊美國地產,twse,21.58,21.66,21.58,21.66,146116,3163793,0.05,
