date,foreign,trust,dealer,total
2026-06-03,519095,-32000,59198,546293
2026-06-04,674973,-8000,112738,779711
2026-06-05,-585600,403000,17802,-164798
2026-06-08,30103,0,-29803,300
2026-06-09,-1323064,49000,125966,-1148098
2026-06-10,838084,95000,7952,941036
2026-06-11,-358048,515000,-1726,155226
2026-06-12,-1099568,-1000,-174961,-1275529
2026-06-15,959253,-204000,13312,768565
2026-06-16,-181517,-168000,92170,-257347
2026-06-17,-823503,-147000,-96832,-1067335
2026-06-18,-173923,-218000,97970,-293953
2026-06-22,-10389,-204000,122380,-92009
2026-06-23,-882070,-189000,-36818,-1107888
2026-06-24,18915,-191000,258,-171827
2026-06-25,654765,-197000,54491,512256
2026-06-26,-36572,-240000,-173889,-450461
2026-06-29,659830,-252000,40961,448791
2026-06-30,-188642,19000,-21152,-190794
2026-07-01,-145435,15000,28305,-102130
2026-07-02,-237688,23000,49417,-165271
2026-07-03,-105244,18000,10324,-76920
2026-07-06,-437069,18000,-9898,-428967
2026-07-07,204751,-55000,-234505,-84754
2026-07-08,-196028,201300,5405,10677
2026-07-09,-160835,100000,-8160,-68995
2026-07-13,-238498,1000,18114,-219384
2026-07-14,218343,2000,11716,232059
2026-07-15,-321102,-203000,-155401,-679503
2026-07-16,185735,-43000,8929,151664
2026-07-17,363481,3000,-44979,321502
2026-07-20,11972,1000,-7802,5170
2026-07-21,167611,-45000,-51442,71169
2026-07-22,-200498,-23000,-2478,-225976
2026-07-23,54090,-8000,-1911,44179
2026-07-24,182274,-192000,37702,27976
2026-07-27,147489,2000,9116,158605
2026-07-28,-146441,-10000,-31986,-188427
2026-07-29,147461,-54000,-83347,10114
2026-07-30,-242824,1000,-23342,-265166
2026-07-31,-29323,0,88849,59526
2026-08-03,117659,0,28159,145818
2026-08-04,-115020,-234000,42990,-306030
2026-08-05,196086,22000,77646,295732
2026-08-06,299249,15000,-21805,292444
2026-08-07,14669,-2000,-140549,-127880
2026-08-10,383193,323000,74418,780611
2026-08-11,108511,-3238,-8616,96657
2026-08-12,-119163,-2000,36293,-84870
2026-08-13,-916759,0,335193,-581566
2026-08-14,232716,0,69507,302223
2026-08-17,422875,478000,-29116,871759
2026-08-18,-1118320,1499000,-253698,126982
2026-08-19,-631825,678000,-13114,33061
2026-08-20,-108201,58000,23721,-26480
2026-08-21,102749,0,29381,132130
2026-08-24,-440012,0,-159292,-599304
2026-08-25,293721,1000,38952,333673
2026-08-26,-32641,120000,6727,94086
2026-08-27,1172909,-22000,11692,1162601
2026-08-28,1669366,1343000,241233,3253599
2026-08-31,598804,616000,-100003,1114801
2026-09-01,110710,2422500,-101124,2432086
2026-09-02,305299,0,871,306170
2026-09-03,493609,-23000,-111596,359013
