date,foreign,trust,dealer,total
2026-05-12,-256050,278256,-45666,-23460
2026-05-13,721334,12002,-122670,610666
2026-05-14,285100,-380500,6557,-88843
2026-05-15,1116076,-531282,-97592,487202
2026-05-18,406427,-115000,62590,354017
2026-05-19,513612,80700,-20439,573873
2026-05-20,-218692,111000,-154815,-262507
2026-05-21,-890559,134000,215153,-541406
2026-05-22,-302196,73957,104194,-124045
2026-05-25,-725819,175300,64216,-486303
2026-05-26,70722,11872,-33883,48711
2026-05-27,-33004,93064,-8004,52056
2026-05-28,758157,-198817,-299466,259874
2026-05-29,128053,-579963,-5700,-457610
2026-06-01,72408,145064,-13488,203984
2026-06-02,428707,-248968,-108235,71504
2026-06-03,-9392,84,25000,15692
2026-06-04,111035,8066,-32443,86658
2026-06-05,202683,-57185,13438,158936
2026-06-08,-15429,40000,-95143,-70572
2026-06-09,-435036,60954,-47335,-421417
2026-06-10,238091,7949,-143652,102388
2026-06-11,-133091,181032,-10857,37084
2026-06-12,-652552,304000,-3564,-352116
2026-06-15,-131654,0,97555,-34099
2026-06-16,-421406,117795,37665,-265946
2026-06-17,-459237,140870,64862,-253505
2026-06-18,-2518123,2104521,70119,-343483
2026-06-22,187076,-219627,15140,-17411
2026-06-23,238998,-127813,-7920,103265
2026-06-24,-153193,304000,-29150,121657
2026-06-25,-43622,241496,-52392,145482
2026-06-26,-97514,38511,-183611,-242614
2026-06-29,-22750,20177,17467,14894
2026-06-30,-63007,21032,-13077,-55052
2026-07-01,67524,212032,-53016,226540
2026-07-02,244847,115299,27603,387749
2026-07-03,-378254,-64373,17062,-425565
2026-07-06,62239,-228006,7602,-158165
2026-07-07,30577,184594,-137446,77725
2026-07-08,-150284,-50665,29930,-171019
2026-07-09,-438642,303135,-35019,-170526
2026-07-13,369298,-167563,42779,244514
2026-07-14,227732,-440506,-39696,-252470
2026-07-15,-61442,-80047,-60104,-201593
2026-07-16,-43344,3357,39332,-655
2026-07-17,136355,44631,-10767,170219
2026-07-20,153789,18193,-62781,109201
2026-07-21,-436117,161539,6308,-268270
2026-07-22,-407598,206769,-37788,-238617
2026-07-23,-55283,114461,14787,73965
2026-07-24,-76731,21798,75157,20224
2026-07-27,184396,-156386,50032,78042
2026-07-28,177553,154015,5377,336945
2026-07-29,77554,-37887,7247,46914
2026-07-30,-268365,100570,-115973,-283768
2026-07-31,-83501,19000,4807,-59694
2026-08-03,272573,53901,55257,381731
2026-08-04,279239,150000,-8750,420489
2026-08-05,85837,7408,-17066,76179
2026-08-06,-18217,52183,-7505,26461
2026-08-07,19022,100700,-17094,102628
2026-08-10,-119395,-130521,55824,-194092
2026-08-11,164137,15553,51008,230698
2026-08-12,-10351,250879,45451,285979
2026-08-13,-31242,151002,-42105,77655
2026-08-14,207076,6726,51974,265776
2026-08-17,-13485,90292,2137,78944
2026-08-18,264114,-45289,37989,256814
2026-08-19,828793,-126000,-71430,631363
2026-08-20,-355857,223737,-6548,-138668
2026-08-21,157624,100271,63580,321475
2026-08-24,-48115,208231,12545,172661
2026-08-25,276828,976,-18489,259315
2026-08-26,49065,195240,31546,275851
2026-08-27,90621,56891,-15981,131531
2026-08-28,-49451,42985,33159,26693
2026-08-31,-41758,-41001,65007,-17752
2026-09-01,-194861,13547,-3003,-184317
2026-09-02,167497,-118025,37735,87207
