date,foreign,trust,dealer,total
2026-04-07,-5971217,-98578,-97432,-6167227
2026-04-08,-8509483,-318222,127590,-8700115
2026-04-09,-2577224,-147035,40130,-2684129
2026-04-10,-3540864,-108511,221090,-3428285
2026-04-13,-7053387,-24788,-118701,-7196876
2026-04-14,-5089830,-164242,-185306,-5439378
2026-04-15,-964324,-75151,1435599,396124
2026-04-16,-4399128,-40806,-583883,-5023817
2026-04-17,-4355612,-145454,-360979,-4862045
2026-04-20,-5096213,-747251,-111075,-5954539
2026-04-21,76587,-7125,-45002,24460
2026-04-22,117477,-36921,-103898,-23342
2026-04-23,-6389889,-15630,-506910,-6912429
2026-04-24,319967,-106377,-255746,-42156
2026-04-27,-2056027,-219970,-361970,-2637967
2026-04-28,-856286,-4886,-41324,-902496
2026-04-29,-3077334,-12000,-203228,-3292562
2026-04-30,-1969366,-133850,-405765,-2508981
2026-05-04,4098289,-12977,-314213,3771099
2026-05-05,-387601,6587,67340,-313674
2026-05-06,1504589,-5100,236257,1735746
2026-05-07,1467405,31234,223232,1721871
2026-05-08,-8773225,28150,18636,-8726439
2026-05-11,5111418,-44579,156653,5223492
2026-05-12,-2863471,16014,-108047,-2955504
2026-05-13,-10579846,-7000,-380820,-10967666
2026-05-14,-7916416,4150,-622427,-8534693
2026-05-15,-5245171,-276528,-295475,-5817174
2026-05-18,1194273,900,404135,1599308
2026-05-19,6670278,6000,566899,7243177
2026-05-20,-1892403,-22000,-105036,-2019439
2026-05-21,10962180,-39000,244858,11168038
2026-05-22,16972613,-26966,742322,17687969
2026-05-25,-6815291,24000,-1046944,-7838235
2026-05-26,3325023,-17850,3207,3310380
2026-05-27,14528646,-1483700,178206,13223152
2026-05-28,3235751,232,290918,3526901
2026-05-29,7588362,-337924,139023,7389461
2026-06-01,20142573,-6005850,809178,14945901
2026-06-02,19358804,-30584550,80780,-11144966
2026-06-03,27805782,-29387700,249272,-1332646
2026-06-04,20265998,-28976400,279354,-8431048
2026-06-05,40555487,-28971280,324753,11908960
2026-06-08,11897255,-28955000,-145960,-17203705
2026-06-09,19145503,-28984225,-96637,-9935359
2026-06-10,10238437,-28958582,-90220,-18810365
2026-06-11,23528558,-29087000,976045,-4582397
2026-06-12,9076270,-29804,841741,9888207
2026-06-15,-21278798,-29450,-249026,-21557274
2026-06-16,707470,-707787,-139304,-139621
2026-06-17,4604231,59652,211108,4874991
2026-06-18,-4425534,-71000,99706,-4396828
2026-06-22,14644279,2934,247848,14895061
2026-06-23,-5743973,16116,-47648,-5775505
2026-06-24,2751966,-24689,49001,2776278
2026-06-25,-629319,-1000,228437,-401882
2026-06-26,-7560372,13812,-162817,-7709377
2026-06-29,5430306,-61532,175242,5544016
2026-06-30,2804484,15066,102664,2922214
2026-07-01,-8960428,31390,80892,-8848146
2026-07-02,-2114745,55952,59709,-1999084
2026-07-03,12552534,37987,1601550,14192071
2026-07-06,4660480,-181,126218,4786517
2026-07-07,-11451783,43847,-672869,-12080805
2026-07-08,2732617,98481,91192,2922290
2026-07-09,-2970060,32242,-81845,-3019663
2026-07-13,-14536520,23573,-1426277,-15939224
2026-07-14,-7509437,182365,-348786,-7675858
2026-07-15,11205091,-43201,143205,11305095
2026-07-16,2849935,15864,-76496,2789303
2026-07-17,4729653,-58819,-118054,4552780
2026-07-20,-583901,-174099,15566,-742434
2026-07-21,12481902,-590,229303,12710615
2026-07-22,3340616,-94526,-327347,2918743
2026-07-23,-4147223,-3428,-238023,-4388674
2026-07-24,11649098,21278,201180,11871556
2026-07-27,-1705641,-4387,-74557,-1784585
2026-07-28,2571089,1000,-97018,2475071
2026-07-29,4679453,1887,-47254,4634086
2026-07-30,3709681,-29946,-165705,3514030
2026-07-31,5305502,-3000,148799,5451301
2026-08-03,638223,-32221,-42824,563178
2026-08-04,2398997,1000,-270781,2129216
2026-08-05,-6067582,34373,-139777,-6172986
2026-08-06,-3449832,45000,-122600,-3527432
2026-08-07,168703,55000,53374,277077
2026-08-10,12116291,42962,269243,12428496
2026-08-11,6857545,40980,535675,7434200
2026-08-12,-1401803,31654,-138434,-1508583
2026-08-13,-2813168,112662,-189101,-2889607
2026-08-14,1716323,19559,-123217,1612665
2026-08-17,23734968,289425,2490013,26514406
2026-08-18,14344696,121559,749638,15215893
2026-08-19,31191495,6000,275419,31472914
2026-08-20,54758664,-15000,2063215,56806879
2026-08-21,37158736,7000,3690476,40856212
2026-08-24,30651418,27000,-1473541,29204877
2026-08-25,5684503,8430,-163670,5529263
2026-08-26,-30814152,58945,-2304091,-33059298
2026-08-27,7193616,-16223,509551,7686944
2026-08-28,-17452883,-37000,-8014,-17497897
2026-08-31,14787981,-36805,605004,15356180
2026-09-01,-14370596,247478,-865819,-14988937
