date,foreign,trust,dealer,total
2026-07-07,212137,-164377,-538892,-491132
2026-07-08,-1068677,590933,43671,-434073
2026-07-09,-689137,-214657,114866,-788928
2026-07-13,-773135,-131348,11847,-892636
2026-07-14,224947,160726,-528371,-142698
2026-07-15,-1310954,-239446,1079130,-471270
2026-07-16,-626032,-70407,74750,-621689
2026-07-17,-294464,-125387,-346345,-766196
2026-07-20,663357,2094,353667,1019118
2026-07-21,-528934,43906,140927,-344101
2026-07-22,554762,160750,-293968,421544
2026-07-23,564032,259691,187960,1011683
2026-07-24,-748022,-258576,301947,-704651
2026-07-27,-442923,-377829,-99573,-920325
2026-07-28,-2055193,-283444,-584,-2339221
2026-07-29,-169676,-1217,235448,64555
2026-07-30,-2585805,430877,349089,-1805839
2026-07-31,-1339970,118000,23136,-1198834
2026-08-03,1146260,174773,128754,1449787
2026-08-04,-601091,1293567,-134635,557841
2026-08-05,1846903,-11107,-192104,1643692
2026-08-06,-993101,-97086,-87944,-1178131
2026-08-07,71648,-128000,-16329,-72681
2026-08-10,1390918,-62773,92167,1420312
2026-08-11,837290,-167457,94683,764516
2026-08-12,148529,-122592,-21512,4425
2026-08-13,3760291,-61940,-130008,3568343
2026-08-14,1494967,-514292,-630192,350483
2026-08-17,1188504,-1655252,66824,-399924
2026-08-18,-198092,-1153744,-223386,-1575222
2026-08-19,-216230,-1046250,-265132,-1527612
2026-08-20,-259125,-1799012,-300669,-2358806
2026-08-21,-275726,-143352,117712,-301366
2026-08-24,-132183,-95353,-4478,-232014
2026-08-25,415166,-153193,96511,358484
2026-08-26,1231850,-226764,142476,1147562
2026-08-27,-246728,-14430,-82412,-343570
2026-08-28,1096338,-117270,17242,996310
2026-08-31,-613435,-329089,-12163,-954687
2026-09-01,-339475,-2906,248398,-93983
