r,w_med,w_p10,w_p90,w_min,w_max,w_spread,w_edge_frac,cagr_cost0,mdd_cost0,cagr_shift1,mdd_shift1,placebo_same5,placebo_same7,placebo_len,compose_dev_w0,compose_dev_w1,compose_turn_w0,shuf_mdd_med,shuf_cagr_med
56,0.4229536504548883,0.32981441548525836,0.5208121423736932,0.22493751796811381,0.5470867980571824,0.19099772688843486,0.0,0.27004939372052816,-0.31315163486650016,0.2670725790487156,-0.3133226849490598,True,False,22,8.229182079839406e-15,2.15941019754357e-15,0.0,-0.30269499203271744,0.25736899807975766
57,0.4078543862931421,0.34710222739280694,0.5096261447053068,0.2971425107902456,0.6202667796368888,0.16252391731249982,0.0,0.2800262949729708,-0.370221366538487,0.27716021607939356,-0.37052363737809446,True,False,22,8.229182079839406e-15,3.126894728955674e-15,0.0,-0.34432406239364954,0.27595715638816076
58,0.4171273255315067,0.34791599724276856,0.5,0.27961303831821804,0.5587122093157723,0.15208400275723144,0.0,0.34510072085860855,-0.2838255115438262,0.34166937397910946,-0.28398806065809074,True,False,22,8.229182079839406e-15,2.834527222851945e-15,0.0,-0.2865006651763582,0.3316897195486108
59,0.4193727624782786,0.3575937945354064,0.5190663666694545,0.29027172111338845,0.5678411878088462,0.1614725721340481,0.0,0.25023906831418063,-0.3129029243261964,0.24831381850883338,-0.31315993502345235,True,False,22,8.229182079839406e-15,2.6579044198278426e-15,0.0,-0.31885987998197823,0.24412971475254341
60,0.4174007158249909,0.36170583078515556,0.4924566383621294,0.34690993490792016,0.5544893021915146,0.13075080757697383,0.0,0.24696861142828275,-0.3824155246362465,0.24423268542803656,-0.38265099350210063,True,False,22,8.229182079839406e-15,1.983739624638417e-15,0.0,-0.3695530448761608,0.2401877385261808
61,0.40851959332047755,0.3333105358972443,0.5,0.2987232453467943,0.5766756698555091,0.1666894641027557,0.0,0.2721347601256223,-0.34511080116138776,0.26960095509904614,-0.3455134586517143,True,False,22,8.229182079839406e-15,6.136693045911787e-15,0.0,-0.32975459080435043,0.2619662504165723
62,0.42711186314991867,0.3724248768778913,0.5003887976822603,0.32552643160955314,0.5749913491153376,0.12796392080436902,0.0,0.23043119819971358,-0.318638152893526,0.22817949296111983,-0.31879930153311764,True,False,22,8.229182079839406e-15,3.4391425278154024e-15,0.0,-0.3127150941634915,0.22570239155992478
63,0.4259681342186296,0.34657185200577095,0.524314228293666,0.2966941638312728,0.5569845899351781,0.17774237628789508,0.0,0.2222303443713154,-0.3791304491958543,0.21954770032143722,-0.3790796387090873,True,False,22,8.229182079839406e-15,5.792721414480583e-15,0.0,-0.3630994437664087,0.20860073754746533
64,0.42115643895410554,0.3453664640464064,0.5049234297796794,0.28847124427870136,0.5627483768540997,0.159556965733273,0.0,0.2957393586167918,-0.30953560995961904,0.2932289343770691,-0.30984544424100113,True,False,22,8.229182079839406e-15,4.393372874951563e-15,0.0,-0.31231801378807467,0.2802980277964897
65,0.4055366930674272,0.340536912212265,0.5,0.2872119242553843,0.5777334179063978,0.159463087787735,0.0,0.24609507388529228,-0.3402480498297386,0.24339399129766393,-0.3402013007337757,True,False,22,8.229182079839406e-15,6.8791889275205935e-15,0.0,-0.3316780260229367,0.23865161175107585
66,0.40840016825140385,0.323655920687972,0.5306844726840515,0.24964144875448763,0.5858626838901807,0.2070285519960795,0.0,0.28679279382722433,-0.3284012435062238,0.28393030447791934,-0.3287719752886565,True,False,22,8.229182079839406e-15,1.7806478507945607e-15,0.0,-0.31512816779865344,0.284621802293784
67,0.4178605472618404,0.3308012513018567,0.5,0.25514704772074914,0.5647426437293336,0.16919874869814328,0.0,0.23770381716395983,-0.3115757615668278,0.23493009175494461,-0.31146795599059446,True,False,22,8.229182079839406e-15,5.545291041246387e-15,0.0,-0.3115777081670221,0.22775242757552694
68,0.4131220467377607,0.34522701124039734,0.5,0.3010299266981762,0.5376173828843893,0.15477298875960266,0.0,0.2963185002534843,-0.30196162075537963,0.2936966375702803,-0.30226921512401056,True,False,22,8.229182079839406e-15,4.41774351740887e-15,0.0,-0.29959117952539904,0.28879984677057524
69,0.4165669143993792,0.35072106422282534,0.4992199646669167,0.24687102088335552,0.5457565453787003,0.14849890044409136,0.0,0.24508281966412304,-0.29208071792970225,0.24250784591815644,-0.29203365722711333,True,False,22,8.229182079839406e-15,3.4468317539562216e-15,0.0,-0.29235275475814626,0.23409622563488097
70,0.40027633886850283,0.32623093657439056,0.5,0.24543853418884087,0.5394878713794351,0.17376906342560944,0.0,0.281687627803449,-0.3163211457098325,0.27853473135525286,-0.31652446182743754,True,False,22,8.229182079839406e-15,3.8252149399223165e-15,0.0,-0.3101208819868869,0.2725437458773218
71,0.4051963012633978,0.32156817567806795,0.5,0.21184694866571757,0.5295779582851049,0.17843182432193205,0.0,0.3347871944357912,-0.3035554327750378,0.3315179211923922,-0.303941607090811,True,False,22,8.229182079839406e-15,4.790594629733174e-15,0.0,-0.30638133695792813,0.33123898483719316
72,0.4325536270701136,0.3569059703696226,0.5001296805335614,0.3249729162568843,0.5612444025038089,0.1432237101639388,0.0,0.25389953370775453,-0.3471714889459667,0.251269779816538,-0.3470307221442477,True,False,22,8.229182079839406e-15,2.880080182707507e-15,0.0,-0.33735265666448244,0.249386633266789
73,0.42647556415712234,0.3579122828198529,0.5,0.3053055180141438,0.5457169531780599,0.14208771718014712,0.0,0.23851171268790172,-0.31130095817814923,0.23629156965324905,-0.3112713278746046,True,False,22,8.229182079839406e-15,2.5384949874193723e-15,0.0,-0.30479493465182617,0.22929971598575627
74,0.41525642627638115,0.3403154125295734,0.5,0.3174785829913992,0.5227262855722621,0.15968458747042658,0.0,0.2671573261461846,-0.3150434497981967,0.26453909961172783,-0.3153576545173262,True,False,22,8.229182079839406e-15,3.011974070119392e-15,0.0,-0.3090911393995773,0.2557803852749956
75,0.4227243807673587,0.3564407131964631,0.5108629774174578,0.3140134228788938,0.5584929070917191,0.1544222642209947,0.0,0.20355599555831327,-0.35403864807029806,0.20020848560617344,-0.35391614945839,True,False,22,8.229182079839406e-15,3.711876160833299e-15,0.0,-0.3522314154287026,0.19479836973199127
76,0.40674465932481746,0.3285144635522052,0.5,0.21359519891765585,0.5296589835032001,0.1714855364477948,0.0,0.2604774345618446,-0.3512874748742847,0.2575483645622678,-0.35216179401380454,True,False,22,8.229182079839406e-15,9.189165134940783e-15,0.0,-0.36091979550879233,0.2419825798318681
77,0.40699534711316726,0.3506163714712745,0.5,0.2846696767426131,0.5678906962774456,0.1493836285287255,0.0,0.261650524502695,-0.3289056719300162,0.25911531454268366,-0.328952871711484,True,False,22,8.229182079839406e-15,8.184015762327038e-15,0.0,-0.32312768942982273,0.25804327086773304
78,0.4213554158784084,0.36780460295218087,0.48951792159667284,0.33948699078271183,0.5050501032207549,0.12171331864449197,0.0,0.30666131540541275,-0.28236929174970793,0.3044883118060939,-0.2827678616652248,True,False,22,8.229182079839406e-15,2.7908900973988872e-15,0.0,-0.2884778326175136,0.29623979203726614
79,0.4146634880635599,0.2986167067906479,0.5,0.21603448541547027,0.5443222848362117,0.2013832932093521,0.0,0.25963834239679184,-0.319220637080126,0.25675656742343933,-0.3194005315868447,True,False,22,8.229182079839406e-15,4.041236725330051e-15,0.0,-0.3108351359501582,0.2525844723272589
80,0.4151431289698706,0.35393651136982723,0.510319007430084,0.26480257979056754,0.5563928378813345,0.15638249606025673,0.0,0.2650622335894943,-0.31180218198167076,0.26228015185391174,-0.31206178404429347,True,False,22,8.229182079839406e-15,3.6849756945930245e-15,0.0,-0.31137176826921964,0.25526368399555266
81,0.4199668407218304,0.35237876432665166,0.5056430109160764,0.2965656943757975,0.5815707050821481,0.15326424658942478,0.0,0.2541118336085644,-0.30400539311474944,0.2510525569580644,-0.30442092200206056,True,False,22,8.229182079839406e-15,6.268009976629756e-15,0.0,-0.3074062126625124,0.24651469059475084
82,0.40819170748789774,0.3440660745175457,0.5126559425351035,0.2446003855024186,0.5739497126373845,0.16858986801755782,0.0,0.3004209662795687,-0.32383758384140554,0.29744205644357447,-0.324450726846526,True,False,22,8.229182079839406e-15,2.5912815004015904e-15,0.0,-0.3291662482522819,0.2807954576080647
83,0.4048581147249383,0.34347217746585346,0.5,0.24446564115391847,0.5992978159726037,0.15652782253414654,0.0,0.2545148247174196,-0.31360871494711884,0.2516760413109569,-0.3139015839741424,True,False,22,8.229182079839406e-15,3.155168521180916e-15,0.0,-0.3175019829528988,0.25524645980068494
84,0.41616664046571517,0.36742910278336577,0.5147319451336868,0.323856405790648,0.5825512899245429,0.14730284235032104,0.0,0.23998690953288349,-0.33772845406079677,0.2376351525887037,-0.33849798563102845,True,False,22,8.229182079839406e-15,3.76076579845154e-15,0.0,-0.34108660644194977,0.23476315490526556
85,0.41696264147620143,0.335871774915729,0.5,0.2467753715711023,0.5450306641610873,0.164128225084271,0.0,0.2594742350748853,-0.3121559978295519,0.2567892746612681,-0.312393194807935,True,False,22,8.229182079839406e-15,7.558981139176257e-15,0.0,-0.3117018273912275,0.2505446420867681
86,0.41084138335635084,0.3543572023692918,0.5313055586058802,0.32870573686548765,0.5766262468530203,0.17694835623658844,0.0,0.2563394836988093,-0.37523801337435136,0.25415995750214204,-0.3750935139182498,True,False,22,8.229182079839406e-15,4.165774858097972e-15,0.0,-0.3514133284684764,0.25105712029326066
87,0.41761239903700154,0.35792460771316964,0.5,0.29107038192690227,0.5980253740360525,0.14207539228683036,0.0,0.2434506356619679,-0.3448525040029461,0.2405142953585251,-0.34487613584931787,True,False,22,8.229182079839406e-15,5.1138834673310275e-15,0.0,-0.33488891318658315,0.23504648484838986
88,0.4014332755103471,0.34761002901142374,0.4983030242667595,0.23943069755021687,0.5275398656492343,0.15069299525533575,0.0,0.29121881810207007,-0.29888686383870966,0.28871167598809233,-0.298759454471848,True,False,22,8.229182079839406e-15,3.1418431905011223e-15,0.0,-0.29935541955339645,0.28017519739142993
89,0.40717614874973684,0.34791870990551754,0.5014814517700713,0.28833672369917435,0.5202206940863605,0.15356274186455376,0.0,0.3084012741592854,-0.3029564008020085,0.3060479216153964,-0.3027250097226093,True,False,22,8.229182079839406e-15,4.056784229574005e-15,0.0,-0.29751808962255544,0.29518452399293493
90,0.41259590221833703,0.33735974541332747,0.5047813692501809,0.2589081554742361,0.5528092831086339,0.16742162383685344,0.0,0.2563819757275583,-0.37897952907287735,0.25382132910881605,-0.37878703636792466,True,False,22,8.229182079839406e-15,4.382312572493044e-15,0.0,-0.36603260839981105,0.252025946648915
91,0.416350973731324,0.35753433079926056,0.5340175587279854,0.2920823644865377,0.607123943337383,0.17648322792872484,0.0,0.2629130538324673,-0.31026170151031307,0.25997543025798775,-0.31077303889200564,True,False,22,8.229182079839406e-15,4.01472814796768e-15,0.0,-0.31655207566007104,0.25550209710870864
92,0.4256825375480692,0.3523313185769556,0.5,0.2676254597040879,0.5678104119573004,0.1476686814230444,0.0,0.25609907840638435,-0.32111106473772916,0.2534699998190668,-0.32187738732816407,True,False,22,8.229182079839406e-15,6.8969796324072536e-15,0.0,-0.33299533638594114,0.24145827002878595
93,0.41306173891571996,0.33375095724804543,0.5010238202825665,0.28238681161376133,0.5671499385702096,0.1672728630345211,0.0,0.2836561128301578,-0.3294274325862737,0.2806597420424559,-0.32944854497124926,True,False,22,8.229182079839406e-15,3.397663020811374e-15,0.0,-0.3290295766664485,0.2787228200047983
94,0.4048701130499819,0.3368162849251601,0.5,0.29881038715301117,0.5736668738658715,0.16318371507483992,0.0,0.3012358965241271,-0.30301767130331636,0.2993158052570801,-0.3034031468914576,True,False,22,8.229182079839406e-15,1.7832302753704573e-15,0.0,-0.3053506833045396,0.29780310685504874
95,0.43311198161289904,0.3689613516395296,0.5,0.3165069910194088,0.5380161414877739,0.1310386483604704,0.0,0.24600796945200143,-0.32153399121937803,0.24370020331063147,-0.3217009985088984,True,False,22,8.229182079839406e-15,5.729100827048996e-15,0.0,-0.3209225822994004,0.239389466241408
96,0.40762309366033633,0.3273656241140601,0.5118187937804026,0.25601389008840036,0.583588892402014,0.1844531696663425,0.0,0.3017828108451659,-0.29884294994717536,0.2988875699926452,-0.29928458662943236,True,False,22,8.229182079839406e-15,3.345408825116342e-15,0.0,-0.30136654644070426,0.2932794070245649
