r,arm,cagr,mdd,turn_n,turn_sum,cost_sum,w_mean,eq_sha,trough_i
9,R_eq,0.2689674598674179,-0.3420231718282666,113.0,7.767017219047972,0.045437050731430645,0.41878178842094504,3f5fa650b1e4105b9263ed5d62a9cf18a32dde067de340db5d0be65d5c9a5fb8,1386.0
9,R_tv,0.2791724101606714,-0.3536005628736676,102.0,15.586061754599022,0.09117846126440429,0.6994419843467449,fb37ac25be1f0dc733b07bcf18b39a30f673bb568f15a16b8d78a07a2dc2a506,1386.0
9,R_rp,0.2689674598674383,-0.3420231718282692,113.0,7.767017219046611,0.04543705073142267,0.4187817884209512,c7de0515a3785f4e64f1af1838f43130ccc93c032b9bc9adc12d5c9bf333a436,1386.0
9,W_fix,0.2770626632451696,-0.34126046074632127,113.0,4.8639787755169435,0.028454275836774116,0.5,5c20e35809c95c33f6071f541ab321d36a166c5c3ca0397157017f495d4d2391,1386.0
9,W0,0.24020209886370614,-0.3395700527611012,0.0,0.0,0.0,0.0,401d3f8598aaba7198d25dc3f74378cffbb9090d2e7557ae540a7356cc826d46,1386.0
9,W1,0.2976582585402332,-0.3830203857031354,0.0,0.0,0.0,1.0,dc0fd3d85c92fef4d69f18d7773566e218186cdadc46ab726823b6117eee77e6,747.0
10,R_eq,0.27587041577967675,-0.32731146955262513,113.0,8.96312702005205,0.052434293067304495,0.4168102696313456,c7380a32441a8474bf2a30994e64dc5b80ff11c5b200b16bc949b3a8a35b9c10,1975.0
10,R_tv,0.2954970591193087,-0.38074656430061304,104.0,21.387081964966086,0.12511442949505158,0.6942119758509251,c6b5e38fcd96e631b2275022528dae0dd1198542b0d1d1d340727b36657586d8,1975.0
10,R_rp,0.2758704157796792,-0.3273114695526888,113.0,8.963127020054532,0.052434293067319004,0.41681026963136203,aeae8651de7ad5ab4333b5b7e70b80113832ee0abf9138ad1544b6158e2706aa,1975.0
10,W_fix,0.28399676263301377,-0.32146230837925527,113.0,5.208981275154079,0.03047254045965136,0.5,1d7ebf7bbd82d82ce8cf69ce2d1b4dcf05226b340e9788909e1e710702921751,1975.0
10,W0,0.24020209886370614,-0.3395700527611012,0.0,0.0,0.0,0.0,401d3f8598aaba7198d25dc3f74378cffbb9090d2e7557ae540a7356cc826d46,1386.0
10,W1,0.31520923438621584,-0.3837879161876972,0.0,0.0,0.0,1.0,c756c7175b432cc889916ad647b1cdf9aa157b479f587a7a12259484b05720e6,1975.0
11,R_eq,0.27634245704369964,-0.3371306749125411,113.0,10.350200191458379,0.06054867112003151,0.42026140456666655,6a1210154f6d56912c135379ddee8ed19e85362c86f7b11a4dd29cbb6a3e64e0,1975.0
11,R_tv,0.2971495216331064,-0.4035004950634989,95.0,24.711159407978695,0.14456028253667536,0.7043813817387675,91e09c069ce97fbaaf1ce7a1ab06254ea62ce6dd37265cd74d55a290e60d3493,1975.0
11,R_rp,0.27634245704372473,-0.3371306749125131,113.0,10.350200191459866,0.06054867112004021,0.42026140456666217,635034d4bb5778867935d874933d52b7815bf1676d32fd1dd89b4c90649c893a,1975.0
11,W_fix,0.2770677330986471,-0.332242798865857,113.0,6.122357347362494,0.03581579048207059,0.5,983824b919f4eb65360ffdb57072dac352e2d638f5dfedf417a358ed13aab0a6,1975.0
11,W0,0.24020209886370614,-0.3395700527611012,0.0,0.0,0.0,0.0,401d3f8598aaba7198d25dc3f74378cffbb9090d2e7557ae540a7356cc826d46,1386.0
11,W1,0.2935461385099989,-0.4033304234672244,0.0,0.0,0.0,1.0,43c870137180e3be531bf1ac33c38ddce9d74a59b6377581897af8858580d046,1975.0
12,R_eq,0.2893108877398982,-0.34199322962657397,113.0,11.253673942229863,0.0658339925620447,0.4138278156369737,52911df87a8c4b81d53fc73fd5a8b947f4fbfe73ccb92c906eb9064ad7c9825d,1975.0
12,R_tv,0.32161253820870206,-0.4146126101454771,104.0,29.57782203090038,0.17303025888076723,0.6882253656414743,12d53de9666dacce84628cfaf91db1297f1c82290fa9556409b195356c3276fe,1975.0
12,R_rp,0.28931088773992086,-0.34199322962658507,113.0,11.253673942229941,0.06583399256204514,0.4138278156370141,68507be0c793a52f5075a49d49d4e8b321b6fc775c66eedf69de65cad022b0ed,1975.0
12,W_fix,0.2942930623715361,-0.33890533473381296,113.0,5.868656718129635,0.03433164180105837,0.5,45a97839b4b3620bca51b0fe1aa9dc96d7f8067fb8711b07a9d09e6c57caf9e6,1975.0
12,W0,0.24020209886370614,-0.3395700527611012,0.0,0.0,0.0,0.0,401d3f8598aaba7198d25dc3f74378cffbb9090d2e7557ae540a7356cc826d46,1386.0
12,W1,0.3310738678323981,-0.4283565623760502,0.0,0.0,0.0,1.0,e0e32118c8b4de9f68128fe540a7b72e8459de33b3053c0669c6695b160dbb01,1975.0
13,R_eq,0.25435603137408336,-0.35078873124762056,113.0,10.290078031217492,0.06019695648262234,0.41251764399283525,c2b97c1428a4cf0e06b2f974d4a6908649f45039400708a8744493ca47bae706,1975.0
13,R_tv,0.2610647956915204,-0.4415333086685173,104.0,23.022307052055105,0.13468049625452239,0.6886057495189903,4886838aae007ee47e1c020a21c73e07220effb81918acff42a59aac8030e5ef,1975.0
13,R_rp,0.2543560313740554,-0.3507887312476493,113.0,10.290078031216279,0.06019695648261525,0.4125176439928192,c8c5a3939e8968f4401d5f4ae7cca48dd0e8491c23b1890c7dd032739b647cad,1975.0
13,W_fix,0.24602651031951517,-0.35028249114512033,113.0,5.083033028540061,0.029735743216959362,0.5,1fcb9b08d85b7434c272b7755da336acdd304fa674aca6272b321dc72c145e77,1975.0
13,W0,0.24020209886370614,-0.3395700527611012,0.0,0.0,0.0,0.0,401d3f8598aaba7198d25dc3f74378cffbb9090d2e7557ae540a7356cc826d46,1386.0
13,W1,0.23437862856622527,-0.4442229334849359,0.0,0.0,0.0,1.0,178eae31df7917b0b9f31aac3b42117765c8705b679e0f9422d5ce18c2fd34bf,1975.0
14,R_eq,0.24602771601069606,-0.33808368066740957,113.0,7.727626458757477,0.045206614783731246,0.4156596489867919,eac0a3aecf404a99875309d946f271fa22326d12321d09cd4c4d75dcb555efc7,1386.0
14,R_tv,0.24272577487593128,-0.39528367231108363,104.0,17.411138422717755,0.10185515977289888,0.6917482356035345,f854b9ece77c4695b8cd4462a5b587dcfa223c6f1fedcb8c5cdebf23b9a36aba,1975.0
14,R_rp,0.24602771601070073,-0.33808368066742345,113.0,7.727626458746773,0.04520661478366863,0.4156596489868066,a564c1902166e358932164d970d3da7ec75ba6b597b915d1286dff9ef8eae796,1386.0
14,W_fix,0.2483057988845867,-0.3503896014273083,113.0,4.21996231117412,0.02468677952036861,0.5,00e43743c770c7ad1e3761954453e7804710df480ca84fa283333490c613dc84,1387.0
14,W0,0.24020209886370614,-0.3395700527611012,0.0,0.0,0.0,0.0,401d3f8598aaba7198d25dc3f74378cffbb9090d2e7557ae540a7356cc826d46,1386.0
14,W1,0.24078172356618133,-0.40480239029828285,0.0,0.0,0.0,1.0,31c31fc34e17b0fc5ba6fcc52838f8012a561d37485c829df9faced59d8af67c,747.0
15,R_eq,0.2883801373963446,-0.324871357639857,113.0,10.659237594428816,0.06235653992740857,0.40993431695352417,2edba81881f82878daf1570ba7fe86da28d58fef025aefa911dd1ea6665ee7ec,747.0
15,R_tv,0.31512300408616745,-0.3759353564174296,110.0,29.176535459242714,0.1706827324365699,0.6828391245192341,2cd8f73f5814bdc08a5442f1eace2c9ec8dc955342d89807a470143fee978557,1975.0
15,R_rp,0.28838013739631263,-0.3248713576398833,113.0,10.659237594420139,0.062356539927357804,0.40993431695352245,5467c6c1987788dfcc8cd3b5962f041cd83f95cf09d27fb8e768e43983fcbe5a,747.0
15,W_fix,0.2951594820899863,-0.3428342406178967,113.0,6.626348671943251,0.03876413973086802,0.5,e41f9d4e8f7cb1762a2ca87069a10485f0ef169942907fb036aea7c59a7582fe,747.0
15,W0,0.24020209886370614,-0.3395700527611012,0.0,0.0,0.0,0.0,401d3f8598aaba7198d25dc3f74378cffbb9090d2e7557ae540a7356cc826d46,1386.0
15,W1,0.33018880516943927,-0.4122538500300803,0.0,0.0,0.0,1.0,077abb609ded33c6ed9d90fcb62c3496a3d8e9630143621fbc3ebbf2a171e103,400.0
16,R_eq,0.29159884860586716,-0.3272882381461043,113.0,12.868913455448025,0.07528314371437095,0.4119947317180784,e03dcb094727575e7e8dcf08946e986789785308a45da19b495472e3bcbd3fa0,747.0
16,R_tv,0.32556522086140727,-0.3586589120304682,104.0,29.487394839113318,0.17250125980881292,0.6780557239295069,f6980553efcdda6a9722774289812832d4bcafa0f96b96b50fd9bb5d5246fef5,747.0
16,R_rp,0.29159884860588425,-0.32728823814605595,113.0,12.868913455438497,0.0752831437143152,0.41199473171811374,b6acf5ce72d5ae5d405eceb503f64c5aaf3a55fed17d6f7daa0e81105a155f97,747.0
16,W_fix,0.29411696644454666,-0.3427399045333061,113.0,6.673379124327007,0.03903926787731299,0.5,27f80832bb5531d9d0ae9cbe3c8013774f236cf24ddc023dacd8cb03668dfcfd,747.0
16,W0,0.24020209886370614,-0.3395700527611012,0.0,0.0,0.0,0.0,401d3f8598aaba7198d25dc3f74378cffbb9090d2e7557ae540a7356cc826d46,1386.0
16,W1,0.32913750163099986,-0.41852930168780206,0.0,0.0,0.0,1.0,cb153dade634f596381d6966f285e09c6ac5880cac4c56975732bf15e37b07de,747.0
17,R_eq,0.26917321297346164,-0.35383393867795054,113.0,9.764667493572718,0.0571233048374004,0.4092556440835614,7096b37789e60c130ec67c61c81f1e5d74ab9936c2e17299e2689c00e6ce71c6,1975.0
17,R_tv,0.27640028737654476,-0.43888684901674646,105.0,22.861174330083927,0.13373786983099098,0.6798720518633434,8b291c895bf7df6a150cb66173449a55bbf7b159ef6c7a335ca584807a0412a0,1975.0
17,R_rp,0.26917321297349317,-0.35383393867792173,113.0,9.76466749357762,0.057123304837429084,0.40925564408354675,d35f64e44e952f65b5be5d7360df742bd53aaffbf7bf32c9e2e930ae704cb9d1,1975.0
17,W_fix,0.2788934742166911,-0.34737256335606553,113.0,5.384394719753399,0.031498709110557375,0.5,c3631433432d0baaad8a4960ca8ae22eb78103213a0fc704c7e9dd035a2f3468,1975.0
17,W0,0.24020209886370614,-0.3395700527611012,0.0,0.0,0.0,0.0,401d3f8598aaba7198d25dc3f74378cffbb9090d2e7557ae540a7356cc826d46,1386.0
17,W1,0.29808838460738407,-0.47862617363383453,0.0,0.0,0.0,1.0,054e17502cc2b82a36b32689cc629397c148cfec4ff3087da68f84298b39ab6f,1975.0
18,R_eq,0.241096664827684,-0.31979387485183536,113.0,7.6232499765067985,0.04459601236256477,0.42726477988932415,b8edb9f9330e42efbbdbd8feab2a478438aae85bf39fac58cec74adb60444839,1387.0
18,R_tv,0.23613456631578544,-0.3462423466727749,107.0,16.971614541086385,0.09928394506535534,0.7295284262355384,d2ac40d31b78b812624af7704708c5897e78ea57d7cb7415c6d04cb3e24eb43e,747.0
18,R_rp,0.2410966648276931,-0.31979387485181715,113.0,7.623249976504745,0.04459601236255276,0.42726477988929157,1b68de92b501ab8d41cfdd2c7a5319e1d77c6fc27c8678555911a6119ef2b3fb,1387.0
18,W_fix,0.2374599439303069,-0.32665985350290366,113.0,3.9655685657286246,0.023198576109512453,0.5,777a779a47b3dd3bc9a796419f9370865281bc4e62b7a1b53b74d83afbcf7888,747.0
18,W0,0.24020209886370614,-0.3395700527611012,0.0,0.0,0.0,0.0,401d3f8598aaba7198d25dc3f74378cffbb9090d2e7557ae540a7356cc826d46,1386.0
18,W1,0.21904144124513247,-0.37714922457546884,0.0,0.0,0.0,1.0,04fc2c0eb92891f14e111bdba1f8ec8bcb98449a23df32aa2c7c08ea738a28ca,747.0
19,R_eq,0.2837685980443152,-0.3224587378718855,113.0,8.932817963734507,0.052256985087846874,0.40217196799332017,93ef011e1123a4e31c44e59c51b993eee297de8713ecf12e4b3a0c9c112a8a6e,1386.0
19,R_tv,0.31418405822719797,-0.33059019695825004,110.0,22.189916424246668,0.12981101108184298,0.660264822278598,f60fc9656aacdb0cb32cefd056fe4466160df10aebee94c55816904e51ad11a0,747.0
19,R_rp,0.28376859804432275,-0.32245873787185964,113.0,8.932817963755308,0.052256985087968555,0.4021719679933106,b6460cc06ebbff9c602ff12b17fb1993ea40e61403972e9d329e7fae76a658f8,1386.0
19,W_fix,0.2792791637114327,-0.3224242680186809,113.0,5.165708066271987,0.030219392187691124,0.5,30e0ff496d1a3902f7bd939a89d9dffdb1636c52bde889948c6214e88cf3d826,747.0
19,W0,0.24020209886370614,-0.3395700527611012,0.0,0.0,0.0,0.0,401d3f8598aaba7198d25dc3f74378cffbb9090d2e7557ae540a7356cc826d46,1386.0
19,W1,0.2992727792311123,-0.4211062390963251,0.0,0.0,0.0,1.0,c3dace367d776fcb340afe56eea9db74d73e8ac44b3838a2d1b5a43e3fc4246c,413.0
20,R_eq,0.28621769214282833,-0.31870210967652296,113.0,8.313330068720717,0.04863298090201619,0.410196573351068,4e0aead75b40924818e3f2a6ba5c5e746ad158d3928389bbcbcb85f85fd2ac02,1975.0
20,R_tv,0.3116402235776927,-0.3751697643849355,113.0,21.959257857721973,0.12846165846767355,0.681298460847673,4390eca4c1cbcad3f1364f3c93fde66a0cd54d78911fb434fb80736c91279d7e,1975.0
20,R_rp,0.286217692142807,-0.3187021096765119,113.0,8.313330068688277,0.048632980901826425,0.4101965733510782,3174d997df392aebaeaed378ef34f5db2d397e77e8a1aa101f64efe5f6f73db9,1975.0
20,W_fix,0.2950585173869833,-0.31774263488284626,113.0,5.333056411364747,0.03119838000648377,0.5,4f00f02d35b8688b1bbe21ae64d3abf568fa4d74684e37f54bdbd8d5e3328639,1975.0
20,W0,0.24020209886370614,-0.3395700527611012,0.0,0.0,0.0,0.0,401d3f8598aaba7198d25dc3f74378cffbb9090d2e7557ae540a7356cc826d46,1386.0
20,W1,0.33704168549962366,-0.39944647116465215,0.0,0.0,0.0,1.0,370a2640fdc46aaec52868b80f94d86b995f272951f2a34a6818d0039a86ecb5,1975.0
21,R_eq,0.31345523390892693,-0.32760627197916786,113.0,12.520330072188084,0.0732439309223003,0.41303978582483203,4d9f54b7aeb0ab9c7759cebee760468830030fac68a5945e3bae2b7fe54a178f,1975.0
21,R_tv,0.3565030435741341,-0.40237279081452576,106.0,34.19116583197401,0.20001832011704798,0.689670494867421,160837f9e80b882d63964b303f2ae2c437ba82780500328b0f4acafd0f3609e0,1975.0
21,R_rp,0.31345523390888697,-0.32760627197916775,113.0,12.520330072171614,0.07324393092220395,0.41303978582482137,a3e971bd819c65cf02c3a1838be75894b446409e22a6c8d255386f612827a421,1975.0
21,W_fix,0.33222264462355233,-0.32357936250440783,113.0,7.828419284994203,0.04579625281721608,0.5,c5dd6fbb6668962b62804e550ebf7e7c067f9b9cf4d8e65ec9c8c905f57bf3f5,1975.0
21,W0,0.24020209886370614,-0.3395700527611012,0.0,0.0,0.0,0.0,401d3f8598aaba7198d25dc3f74378cffbb9090d2e7557ae540a7356cc826d46,1386.0
21,W1,0.40746248365972804,-0.4253112292621741,0.0,0.0,0.0,1.0,c18c65f45bb3914ecc3c909ed079116421e92ebfde917df6a66d53c3567e944d,1975.0
22,R_eq,0.22664678158907936,-0.34048715783388017,113.0,7.09897133086432,0.04152898228555628,0.43124463453230216,6bcefc14a82c4118e820e08cdae2372386127014a6ce4931facd1af9de33f39a,1975.0
22,R_tv,0.21616034218619062,-0.3961127930076436,102.0,13.76803026856846,0.0805429770711255,0.730218641207622,5f06e52c7720f83850d0d30e0b9faa8b089caa354a4657481e4cad9a0837805c,1975.0
22,R_rp,0.22664678158908158,-0.3404871578339165,113.0,7.09897133085589,0.04152898228550696,0.43124463453232514,59b9e949d344fa701ab8f9178242f49edeb4c68e83cc059d5482d449d692e9cf,1975.0
22,W_fix,0.22285541955073485,-0.33034324051655284,113.0,3.606927094416694,0.02110052350233766,0.5,ef2614f231038dc964019ea5b1d9a39132134aa29eca628bb27d57c43402023a,1975.0
22,W0,0.24020209886370614,-0.3395700527611012,0.0,0.0,0.0,0.0,401d3f8598aaba7198d25dc3f74378cffbb9090d2e7557ae540a7356cc826d46,1386.0
