date,twse,tpex,emerging,total,note
2015-03-05,903,673,0,1576,ok
2015-03-06,906,670,0,1576,ok
2015-03-09,906,670,0,1576,ok
2015-03-10,902,674,0,1576,ok
2015-03-11,907,674,0,1581,ok
2015-03-12,904,672,0,1576,ok
2015-03-13,904,677,0,1581,ok
2015-03-16,904,674,0,1578,ok
2015-03-17,904,671,0,1575,ok
2015-03-18,906,673,0,1579,ok
2015-03-19,911,673,0,1584,ok
2015-03-20,904,674,0,1578,ok
2015-03-23,907,672,0,1579,ok
2015-03-24,908,676,0,1584,ok
2015-03-25,908,677,0,1585,ok
2015-03-26,910,673,0,1583,ok
2015-03-27,911,678,0,1589,ok
2015-03-30,907,677,0,1584,ok
2015-03-31,908,679,0,1587,ok
2015-04-01,905,675,0,1580,ok
2015-04-02,912,678,0,1590,ok
2015-04-03,0,0,0,0,twse:休市;tpex:失敗(回應的日期是 20260902，不是 2015-04-03)
2015-04-06,0,0,0,0,twse:休市;tpex:失敗(回應的日期是 20260902，不是 2015-04-06)
2015-04-07,905,679,0,1584,ok
2015-04-08,905,682,0,1587,ok
2015-04-09,905,685,0,1590,ok
2015-04-10,907,677,0,1584,ok
2015-04-13,908,680,0,1588,ok
2015-04-14,907,681,0,1588,ok
2015-04-15,911,682,0,1593,ok
2015-04-16,913,678,0,1591,ok
2015-04-17,911,677,0,1588,ok
2015-04-20,911,682,0,1593,ok
2015-04-21,910,681,0,1591,ok
2015-04-22,908,679,0,1587,ok
2015-04-23,913,678,0,1591,ok
2015-04-24,913,679,0,1592,ok
2015-04-27,910,677,0,1587,ok
2015-04-28,914,678,0,1592,ok
2015-04-29,911,678,0,1589,ok
2015-04-30,911,682,0,1593,ok
2015-05-01,0,0,0,0,twse:休市;tpex:失敗(回應的日期是 20260902，不是 2015-05-01)
2015-05-04,909,677,0,1586,ok
2015-05-05,913,676,0,1589,ok
2015-05-06,910,682,0,1592,ok
2015-05-07,910,681,0,1591,ok
2015-05-08,908,683,0,1591,ok
2015-05-11,912,683,0,1595,ok
2015-05-12,908,684,0,1592,ok
2015-05-13,908,682,0,1590,ok
2015-05-14,908,675,0,1583,ok
2015-05-15,911,679,0,1590,ok
2015-05-18,911,676,0,1587,ok
2015-05-19,915,679,0,1594,ok
2015-05-20,912,682,0,1594,ok
2015-05-21,911,674,0,1585,ok
2015-05-22,911,677,0,1588,ok
2015-05-25,914,675,0,1589,ok
2015-05-26,911,681,0,1592,ok
2015-05-27,913,681,0,1594,ok
2015-05-28,910,673,0,1583,ok
2015-05-29,914,681,0,1595,ok
2015-06-01,907,677,0,1584,ok
2015-06-02,907,676,0,1583,ok
2015-06-03,915,676,0,1591,ok
2015-06-04,916,680,0,1596,ok
2015-06-05,913,683,0,1596,ok
2015-06-08,914,677,0,1591,ok
2015-06-09,918,684,0,1602,ok
2015-06-10,918,683,0,1601,ok
2015-06-11,916,679,0,1595,ok
2015-06-12,915,676,0,1591,ok
2015-06-15,912,677,0,1589,ok
2015-06-16,916,676,0,1592,ok
2015-06-17,917,680,0,1597,ok
2015-06-18,909,674,0,1583,ok
2015-06-19,0,0,0,0,twse:休市;tpex:失敗(回應的日期是 20260902，不是 2015-06-19)
2015-06-22,909,682,0,1591,ok
2015-06-23,915,685,0,1600,ok
2015-06-24,915,676,0,1591,ok
2015-06-25,912,680,0,1592,ok
2015-06-26,915,671,0,1586,ok
2015-06-29,913,666,0,1579,ok
2015-06-30,914,672,0,1586,ok
2015-07-01,913,677,0,1590,ok
2015-07-02,912,676,0,1588,ok
2015-07-03,914,679,0,1593,ok
2015-07-06,915,674,0,1589,ok
2015-07-07,913,680,0,1593,ok
2015-07-08,917,675,0,1592,ok
2015-07-09,914,677,0,1591,ok
2015-07-10,0,0,0,0,twse:休市;tpex:失敗(回應的日期是 20260902，不是 2015-07-10)
2015-07-13,916,681,0,1597,ok
2015-07-14,920,678,0,1598,ok
2015-07-15,915,675,0,1590,ok
2015-07-16,917,680,0,1597,ok
2015-07-17,915,674,0,1589,ok
2015-07-20,915,676,0,1591,ok
2015-07-21,913,671,0,1584,ok
2015-07-22,915,678,0,1593,ok
2015-07-23,919,676,0,1595,ok
2015-07-24,915,669,0,1584,ok
2015-07-27,918,673,0,1591,ok
2015-07-28,917,676,0,1593,ok
2015-07-29,916,669,0,1585,ok
2015-07-30,920,676,0,1596,ok
2015-07-31,910,670,0,1580,ok
2015-08-03,919,671,0,1590,ok
2015-08-04,917,674,0,1591,ok
2015-08-05,921,670,0,1591,ok
2015-08-06,913,667,0,1580,ok
2015-08-07,912,664,0,1576,ok
2015-08-10,910,671,0,1581,ok
2015-08-11,918,668,0,1586,ok
2015-08-12,917,666,0,1583,ok
2015-08-13,915,668,0,1583,ok
2015-08-14,914,671,0,1585,ok
2015-08-17,915,673,0,1588,ok
2015-08-18,913,674,0,1587,ok
2015-08-19,913,671,0,1584,ok
2015-08-20,918,668,0,1586,ok
2015-08-21,916,672,0,1588,ok
2015-08-24,922,674,0,1596,ok
2015-08-25,919,676,0,1595,ok
2015-08-26,919,673,0,1592,ok
2015-08-27,918,675,0,1593,ok
2015-08-28,918,670,0,1588,ok
2015-08-31,917,673,0,1590,ok
2015-09-01,918,670,0,1588,ok
2015-09-02,915,673,0,1588,ok
2015-09-03,914,676,0,1590,ok
2015-09-04,912,670,0,1582,ok
2015-09-07,913,662,0,1575,ok
2015-09-08,916,665,0,1581,ok
2015-09-09,920,682,0,1602,ok
2015-09-10,916,671,0,1587,ok
2015-09-11,917,674,0,1591,ok
2015-09-14,919,674,0,1593,ok
2015-09-15,922,663,0,1585,ok
2015-09-16,918,670,0,1588,ok
2015-09-17,920,671,0,1591,ok
2015-09-18,913,668,0,1581,ok
2015-09-21,918,668,0,1586,ok
2015-09-22,916,668,0,1584,ok
2015-09-23,919,672,0,1591,ok
2015-09-24,916,664,0,1580,ok
2015-09-25,914,665,0,1579,ok
2015-09-28,0,0,0,0,twse:休市;tpex:失敗(回應的日期是 20260902，不是 2015-09-28)
2015-09-29,0,0,0,0,twse:休市;tpex:失敗(回應的日期是 20260902，不是 2015-09-29)
2015-09-30,916,666,0,1582,ok
2015-10-01,918,671,0,1589,ok
2015-10-02,918,668,0,1586,ok
2015-10-05,918,676,0,1594,ok
2015-10-06,919,677,0,1596,ok
2015-10-07,915,677,0,1592,ok
2015-10-08,913,675,0,1588,ok
2015-10-09,0,0,0,0,twse:休市;tpex:失敗(回應的日期是 20260902，不是 2015-10-09)
2015-10-12,919,672,0,1591,ok
2015-10-13,918,673,0,1591,ok
2015-10-14,912,669,0,1581,ok
2015-10-15,916,675,0,1591,ok
2015-10-16,919,672,0,1591,ok
2015-10-19,919,668,0,1587,ok
2015-10-20,912,670,0,1582,ok
2015-10-21,912,672,0,1584,ok
2015-10-22,920,674,0,1594,ok
2015-10-23,921,673,0,1594,ok
2015-10-26,918,677,0,1595,ok
2015-10-27,921,675,0,1596,ok
2015-10-28,918,673,0,1591,ok
2015-10-29,921,675,0,1596,ok
2015-10-30,922,669,0,1591,ok
2015-11-02,920,674,0,1594,ok
2015-11-03,920,675,0,1595,ok
2015-11-04,924,681,0,1605,ok
2015-11-05,921,674,0,1595,ok
2015-11-06,920,676,0,1596,ok
2015-11-09,921,668,0,1589,ok
2015-11-10,924,667,0,1591,ok
2015-11-11,919,671,0,1590,ok
2015-11-12,924,672,0,1596,ok
2015-11-13,929,670,0,1599,ok
2015-11-16,925,674,0,1599,ok
2015-11-17,928,670,0,1598,ok
2015-11-18,933,674,0,1607,ok
2015-11-19,928,673,0,1601,ok
2015-11-20,925,677,0,1602,ok
2015-11-23,918,676,0,1594,ok
2015-11-24,925,671,0,1596,ok
2015-11-25,929,677,0,1606,ok
2015-11-26,927,681,0,1608,ok
2015-11-27,926,674,0,1600,ok
2015-11-30,924,672,0,1596,ok
2015-12-01,929,679,0,1608,ok
2015-12-02,925,675,0,1600,ok
2015-12-03,924,682,0,1606,ok
2015-12-04,920,675,0,1595,ok
2015-12-07,924,676,0,1600,ok
2015-12-08,927,672,0,1599,ok
2015-12-09,925,677,0,1602,ok
2015-12-10,920,674,0,1594,ok
2015-12-11,924,676,0,1600,ok
2015-12-14,924,675,0,1599,ok
2015-12-15,930,678,0,1608,ok
2015-12-16,929,679,0,1608,ok
2015-12-17,927,684,0,1611,ok
2015-12-18,928,676,0,1604,ok
2015-12-21,931,676,0,1607,ok
2015-12-22,929,681,0,1610,ok
2015-12-23,929,681,0,1610,ok
2015-12-24,926,680,0,1606,ok
2015-12-25,923,679,0,1602,ok
2015-12-28,930,678,0,1608,ok
2015-12-29,923,678,0,1601,ok
2015-12-30,926,681,0,1607,ok
2015-12-31,925,681,0,1606,ok
2015-01-01,0,0,0,0,twse:休市;tpex:失敗(解析出 0 列（欄位=['代號'； '名稱'； '收盤 '； '漲跌'； '開盤 '； '最高 '； '最低'； '成交股數  '； '）)
2015-01-02,0,0,0,0,twse:休市;tpex:失敗(解析出 0 列（欄位=['代號'； '名稱'； '收盤 '； '漲跌'； '開盤 '； '最高 '； '最低'； '成交股數  '； '）)
2015-01-03,0,0,0,0,twse:休市;tpex:失敗(解析出 0 列（欄位=['代號'； '名稱'； '收盤 '； '漲跌'； '開盤 '； '最高 '； '最低'； '成交股數  '； '）)
2015-01-10,0,0,0,0,twse:休市;tpex:失敗(解析出 0 列（欄位=['代號'； '名稱'； '收盤 '； '漲跌'； '開盤 '； '最高 '； '最低'； '成交股數  '； '）)
2015-01-17,0,0,0,0,twse:休市;tpex:失敗(解析出 0 列（欄位=['代號'； '名稱'； '收盤 '； '漲跌'； '開盤 '； '最高 '； '最低'； '成交股數  '； '）)
2015-01-24,0,0,0,0,twse:休市;tpex:失敗(解析出 0 列（欄位=['代號'； '名稱'； '收盤 '； '漲跌'； '開盤 '； '最高 '； '最低'； '成交股數  '； '）)
2015-01-31,0,0,0,0,twse:休市;tpex:失敗(解析出 0 列（欄位=['代號'； '名稱'； '收盤 '； '漲跌'； '開盤 '； '最高 '； '最低'； '成交股數  '； '）)
2015-02-07,0,0,0,0,twse:休市;tpex:失敗(解析出 0 列（欄位=['代號'； '名稱'； '收盤 '； '漲跌'； '開盤 '； '最高 '； '最低'； '成交股數  '； '）)
2015-02-14,0,0,0,0,twse:休市;tpex:失敗(解析出 0 列（欄位=['代號'； '名稱'； '收盤 '； '漲跌'； '開盤 '； '最高 '； '最低'； '成交股數  '； '）)
