r,n_hold,same7,same5,sha_R_eq,sha_R_tv,sha_R_rp,sha_W_fix,sha_W_shuf,sha_W0,sha_W1
29,8,False,False,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,0adbfc04b645264353c646c0d13b563bd83973a58ee10c41b257efb12c63afe9,a751e26f15215776ce36bf8b3c8d4d11a75bf4711cad13d81cbf05e3f1b2c4f2,1ee93c7c4b597c18a8f60305a595ac7bd93dd3364a2f85cab0413a2b14936576
30,8,False,False,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,a6aa1ec7100a2fdb55ed569c997a141d7625edf5c7c051c8e5739c86c95eaaeb,a751e26f15215776ce36bf8b3c8d4d11a75bf4711cad13d81cbf05e3f1b2c4f2,1ee93c7c4b597c18a8f60305a595ac7bd93dd3364a2f85cab0413a2b14936576
31,8,False,False,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,eac6e8494ec6cfc22349faa6722dec44577cae96ed5b5ca93872bb97997f1b7e,a751e26f15215776ce36bf8b3c8d4d11a75bf4711cad13d81cbf05e3f1b2c4f2,1ee93c7c4b597c18a8f60305a595ac7bd93dd3364a2f85cab0413a2b14936576
32,8,False,False,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,2d50b03cc4d19525548cbafa3a4023a88ac38797e8995752620d6ae43ee94997,a751e26f15215776ce36bf8b3c8d4d11a75bf4711cad13d81cbf05e3f1b2c4f2,1ee93c7c4b597c18a8f60305a595ac7bd93dd3364a2f85cab0413a2b14936576
33,8,False,False,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,5600087ac25152c50a43df7712c019daee3f92626335e4d4c3c91d21b98eddc2,a751e26f15215776ce36bf8b3c8d4d11a75bf4711cad13d81cbf05e3f1b2c4f2,1ee93c7c4b597c18a8f60305a595ac7bd93dd3364a2f85cab0413a2b14936576
34,8,False,False,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,abea4f1810783dc0b194e142161b31dee0432d2e90f95a430a4e8fdaba45fff4,a751e26f15215776ce36bf8b3c8d4d11a75bf4711cad13d81cbf05e3f1b2c4f2,1ee93c7c4b597c18a8f60305a595ac7bd93dd3364a2f85cab0413a2b14936576
35,8,False,False,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,d42062cb723b1c4980d52529fb54476269aa9eda8325baaa312f7c7e6e2de9b1,a751e26f15215776ce36bf8b3c8d4d11a75bf4711cad13d81cbf05e3f1b2c4f2,1ee93c7c4b597c18a8f60305a595ac7bd93dd3364a2f85cab0413a2b14936576
36,8,False,False,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,945536bc8f6e9a015789e85a15e5c1cb2b9955d30aebc89002ac79a4f777fdcf,a751e26f15215776ce36bf8b3c8d4d11a75bf4711cad13d81cbf05e3f1b2c4f2,1ee93c7c4b597c18a8f60305a595ac7bd93dd3364a2f85cab0413a2b14936576
37,8,False,False,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,0ecb6c0407acfb9298c02f8af60f21bfced5217cda85dfe1a115ea1d2680b2f7,a751e26f15215776ce36bf8b3c8d4d11a75bf4711cad13d81cbf05e3f1b2c4f2,1ee93c7c4b597c18a8f60305a595ac7bd93dd3364a2f85cab0413a2b14936576
38,8,False,False,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,fc57e1e716e7c510c66ce36db3d7b6bc6180d8b488118838d62d4ab3e13c2305,a751e26f15215776ce36bf8b3c8d4d11a75bf4711cad13d81cbf05e3f1b2c4f2,1ee93c7c4b597c18a8f60305a595ac7bd93dd3364a2f85cab0413a2b14936576
