r,mdd,高點,谷底,與#13區間有交集,與0050區間有交集
45,-0.39086254187636826,2024-07-17,2025-04-09,False,False
46,-0.39164176794769967,2024-07-17,2025-04-09,False,False
47,-0.3948076260361124,2024-07-17,2025-04-09,False,False
48,-0.3962826285762002,2024-09-25,2025-04-09,False,False
49,-0.38408481285276175,2024-07-17,2025-04-09,False,False
50,-0.37332517847415736,2024-07-17,2025-04-09,False,False
51,-0.42675347464839164,2024-07-17,2025-04-09,False,False
52,-0.36853135762887057,2024-07-17,2025-04-09,False,False
53,-0.36205941468416847,2024-08-29,2025-04-09,False,False
54,-0.37609997805682505,2024-07-17,2025-04-09,False,False
55,-0.40754689948179124,2024-07-17,2025-04-09,False,False
56,-0.3913544272576497,2024-07-17,2025-04-09,False,False
57,-0.4560833616024328,2024-08-29,2025-04-09,False,False
58,-0.3387291623153824,2024-08-29,2025-04-09,False,False
59,-0.3698014459007969,2024-07-17,2025-04-09,False,False
60,-0.3610793763976242,2020-01-17,2020-03-23,True,False
61,-0.43297292327181025,2024-08-29,2025-04-09,False,False
62,-0.3890353729689392,2024-07-17,2025-04-09,False,False
63,-0.39328490510788516,2024-07-17,2025-04-09,False,False
64,-0.44318112282991706,2024-07-17,2025-04-09,False,False
65,-0.38417063253091266,2024-07-17,2025-04-09,False,False
66,-0.4327642676548604,2024-07-17,2025-04-09,False,False
67,-0.4134751567381598,2024-07-17,2025-04-09,False,False
68,-0.4260617129113953,2024-07-17,2025-04-09,False,False
69,-0.45415328800634147,2024-07-17,2025-04-09,False,False
70,-0.4095559380219178,2024-07-17,2025-04-09,False,False
71,-0.3877837039938632,2024-08-29,2025-04-09,False,False
72,-0.3748053852502218,2024-07-17,2025-04-09,False,False
73,-0.390723769641824,2024-08-29,2025-04-09,False,False
74,-0.38897330043039513,2018-04-03,2020-03-23,True,False
75,-0.3697778710054743,2018-04-03,2020-03-23,True,False
76,-0.4508200561386829,2024-07-17,2025-04-09,False,False
77,-0.44095832663233003,2024-07-17,2025-04-09,False,False
78,-0.3687188382888119,2024-07-17,2025-04-09,False,False
79,-0.3516105386443811,2024-07-17,2025-04-09,False,False
80,-0.38934052041008615,2024-07-17,2025-04-09,False,False
81,-0.3833764545610203,2018-04-03,2020-03-23,True,False
82,-0.3983935703592576,2024-07-17,2025-04-09,False,False
83,-0.40452644945804783,2024-07-17,2025-04-09,False,False
84,-0.4287088255999254,2024-07-17,2025-04-09,False,False
85,-0.3897324419657149,2024-08-29,2025-04-09,False,False
86,-0.3962169109289042,2024-07-17,2025-04-09,False,False
87,-0.43317656248042113,2024-08-29,2025-04-09,False,False
88,-0.3821106231161274,2024-07-17,2025-04-09,False,False
89,-0.45247690673762697,2024-07-17,2025-04-09,False,False
90,-0.4457803487297567,2024-07-17,2025-04-09,False,False
91,-0.4291247061732171,2024-07-17,2025-04-09,False,False
92,-0.4535599757619949,2024-07-17,2025-04-09,False,False
93,-0.35810231798731096,2024-07-17,2025-04-09,False,False
94,-0.36348868118781086,2018-04-03,2020-03-23,True,False
95,-0.3739258628616675,2024-08-29,2025-04-09,False,False
96,-0.43606513236116207,2024-07-17,2025-04-09,False,False
97,-0.4015636214709686,2024-07-17,2025-04-09,False,False
98,-0.409537909366138,2024-07-17,2025-04-09,False,False
99,-0.40499261776148665,2024-08-29,2025-04-09,False,False
100,-0.40962578427952245,2024-08-29,2025-04-09,False,False
101,-0.3882705556413879,2024-08-29,2025-04-09,False,False
102,-0.37991892958199314,2024-07-17,2025-04-09,False,False
103,-0.41799683216914996,2024-07-17,2025-04-09,False,False
104,-0.3786267824036553,2024-09-25,2025-04-09,False,False
105,-0.3720901954787571,2024-07-17,2025-04-09,False,False
106,-0.38341135908403057,2024-07-17,2025-04-09,False,False
107,-0.36203304610062614,2024-08-29,2025-04-09,False,False
108,-0.3553402044919183,2024-08-29,2025-04-09,False,False
109,-0.37582309745898324,2024-07-17,2025-04-09,False,False
110,-0.38160472345664453,2024-08-29,2025-04-09,False,False
111,-0.4245845784548854,2024-07-17,2025-04-09,False,False
112,-0.4109639229537353,2024-07-17,2025-04-09,False,False
113,-0.37355500922918816,2018-04-03,2020-03-23,True,False
114,-0.3762461704413804,2024-07-17,2025-04-09,False,False
115,-0.37580823266772223,2024-07-17,2025-04-09,False,False
116,-0.4049952353615348,2024-08-29,2025-04-09,False,False
117,-0.428922652563136,2024-07-17,2025-04-09,False,False
118,-0.38747591238353574,2024-07-17,2025-04-09,False,False
119,-0.34146652698607993,2024-08-29,2025-04-09,False,False
120,-0.40406478882284813,2024-07-17,2025-04-09,False,False
121,-0.4684666724618969,2024-07-17,2025-04-09,False,False
122,-0.38279010151479675,2024-07-17,2025-04-09,False,False
123,-0.37413236952180307,2024-08-29,2025-04-09,False,False
124,-0.40560079498932666,2024-07-17,2025-04-09,False,False
125,-0.39792759768728303,2024-07-17,2025-04-09,False,False
126,-0.37539707740690753,2024-07-17,2025-04-09,False,False
127,-0.3663259930602868,2024-07-17,2025-04-09,False,False
128,-0.35644968713203007,2024-07-17,2025-04-09,False,False
129,-0.38672359124103994,2024-07-17,2025-04-09,False,False
130,-0.39501419107965485,2024-07-17,2025-04-09,False,False
131,-0.3732840193380532,2019-09-04,2020-03-23,True,False
132,-0.36978311732552993,2018-04-03,2020-03-23,True,False
133,-0.37582309745898335,2024-07-17,2025-04-09,False,False
134,-0.4318881533365976,2024-07-17,2025-04-09,False,False
135,-0.38335823943618674,2024-07-17,2025-04-09,False,False
136,-0.34218778469273103,2024-07-17,2025-04-09,False,False
137,-0.37328401936642,2019-09-04,2020-03-23,True,False
138,-0.40974947757896285,2024-07-17,2025-04-09,False,False
139,-0.4012653293697763,2024-07-17,2025-04-09,False,False
140,-0.4564418518875072,2024-08-29,2025-04-09,False,False
141,-0.45230396407047047,2024-07-17,2025-04-09,False,False
142,-0.3700845915304398,2024-08-29,2025-04-09,False,False
143,-0.43875045772514976,2024-07-17,2025-04-09,False,False
144,-0.431273244019144,2024-07-17,2025-04-09,False,False
145,-0.43664504765753276,2024-08-29,2025-04-09,False,False
146,-0.4512009346725475,2024-07-17,2025-04-09,False,False
147,-0.3438441378780124,2024-08-29,2025-04-09,False,False
148,-0.4508416203177299,2024-07-17,2025-04-09,False,False
149,-0.39328490510788516,2024-07-17,2025-04-09,False,False
150,-0.40974921416787635,2024-07-17,2025-04-09,False,False
151,-0.41307492451048244,2024-07-17,2025-04-09,False,False
152,-0.42047712873825294,2024-07-17,2025-04-09,False,False
153,-0.35796513762545945,2024-07-17,2025-04-09,False,False
154,-0.4039450866509299,2024-08-29,2025-04-09,False,False
155,-0.43317656248042113,2024-08-29,2025-04-09,False,False
156,-0.39165941896831136,2024-07-17,2025-04-09,False,False
157,-0.36853135762887057,2024-07-17,2025-04-09,False,False
158,-0.4236688422407494,2024-07-17,2025-04-09,False,False
159,-0.3750172459781361,2024-07-17,2025-04-09,False,False
160,-0.3738780152188764,2024-07-17,2025-04-09,False,False
161,-0.4417226621956408,2024-07-17,2025-04-09,False,False
162,-0.3508501773051196,2024-07-17,2025-04-09,False,False
163,-0.42913607219403227,2024-07-17,2025-04-09,False,False
164,-0.40322248869640787,2024-07-17,2025-04-09,False,False
165,-0.37501211511211396,2024-07-17,2025-04-09,False,False
166,-0.3848484385288591,2024-07-17,2025-04-09,False,False
167,-0.3820741283510851,2024-07-17,2025-04-09,False,False
168,-0.39080119670206603,2018-04-03,2020-03-23,True,False
169,-0.40684088733112767,2024-07-17,2025-04-09,False,False
170,-0.3708810525615518,2024-07-17,2025-04-09,False,False
171,-0.3893506540152365,2024-07-17,2025-04-09,False,False
172,-0.3697778710054743,2018-04-03,2020-03-23,True,False
173,-0.43606513236116207,2024-07-17,2025-04-09,False,False
174,-0.3934737594571679,2024-08-29,2025-04-09,False,False
175,-0.43719065458195394,2024-07-17,2025-04-09,False,False
176,-0.3867235912410397,2024-07-17,2025-04-09,False,False
177,-0.3422024192736468,2024-07-17,2025-04-09,False,False
178,-0.38550594989723874,2024-07-17,2025-04-09,False,False
179,-0.3732840193603165,2019-09-04,2020-03-23,True,False
180,-0.3687329721727486,2024-07-17,2025-04-09,False,False
181,-0.3817525874841856,2024-07-17,2025-04-09,False,False
182,-0.4376193360301829,2024-07-17,2025-04-09,False,False
183,-0.39686896318973464,2024-07-17,2025-04-09,False,False
184,-0.38886283170111713,2024-07-17,2025-04-09,False,False
185,-0.38950300900737356,2024-07-17,2025-04-09,False,False
186,-0.3827550972298076,2024-07-17,2025-04-09,False,False
187,-0.4296999811657659,2024-07-17,2025-04-09,False,False
188,-0.4387386037146134,2024-07-17,2025-04-09,False,False
189,-0.4469130231602032,2024-07-17,2025-04-09,False,False
190,-0.4501772013366112,2024-07-17,2025-04-09,False,False
191,-0.4260169172823266,2024-07-17,2025-04-09,False,False
192,-0.440621476512152,2024-07-17,2025-04-09,False,False
193,-0.361079376397899,2020-01-17,2020-03-23,True,False
194,-0.38580535478399236,2024-07-17,2025-04-09,False,False
195,-0.3732840193633087,2019-09-04,2020-03-23,True,False
196,-0.42519432503285315,2024-07-17,2025-04-09,False,False
197,-0.3732840193721969,2019-09-04,2020-03-23,True,False
198,-0.3610793700987217,2020-01-17,2020-03-23,True,False
199,-0.3992947739909086,2024-08-29,2025-04-09,False,False
