r,天數_營飆有持股,天數_營飆空手,重疊÷營飆_逐日均值,重疊÷營飆_逐日中位,重疊÷#13_逐日均值,重疊÷#13_逐日中位,同時持有檔數_逐日均值,營飆持股數_逐日均值,#13持股數_逐日均值,營飆進場數,營飆進場_同檔同週也在#13進場,#13進場_同檔同週也在營飆進場
20,2156,157,0.34629384221220955,0.3,0.17439801651282894,0.1,2.7760484219628188,8.386078685689581,17.830955469087765,163,0.5337423312883436,0.12446351931330472
21,2156,157,0.3467607930618134,0.3,0.17408381695287126,0.10526315789473684,2.7782101167315174,8.386078685689581,17.830955469087765,163,0.5276073619631901,0.12303290414878398
22,2156,157,0.3496547103689961,0.3,0.17578267727608324,0.1111111111111111,2.8054474708171204,8.386078685689581,17.830955469087765,163,0.5276073619631901,0.12303290414878398
23,2156,157,0.34729363606914626,0.3,0.17489478182353418,0.1,2.7864245568525723,8.386078685689581,17.830955469087765,163,0.5337423312883436,0.12446351931330472
24,2156,157,0.34414203993285625,0.2857142857142857,0.17321979929776157,0.1,2.7570255079982706,8.386078685689581,17.830955469087765,163,0.5214723926380368,0.12160228898426323
25,2156,157,0.3480871028064906,0.2857142857142857,0.17492166632028316,0.1,2.793341980112408,8.38651102464332,17.830955469087765,163,0.5214723926380368,0.12160228898426323
26,2156,157,0.3478527991283093,0.2857142857142857,0.1750498812950564,0.1,2.79031560743623,8.386078685689581,17.830955469087765,163,0.5214723926380368,0.12160228898426323
27,2156,157,0.3477646361574933,0.3,0.17503492708802107,0.10526315789473684,2.78988326848249,8.386078685689581,17.830955469087765,163,0.5398773006134969,0.12589413447782546
28,2156,157,0.3474719866301499,0.25,0.17468075272104064,0.1,2.788153912667531,8.386078685689581,17.830955469087765,163,0.5214723926380368,0.12160228898426323
29,2156,157,0.34921536796536795,0.3,0.175919745016635,0.1,2.8024210981409423,8.386078685689581,17.830955469087765,163,0.5460122699386503,0.12732474964234622
30,2156,157,0.34400804694172044,0.3,0.17284990579138385,0.10526315789473684,2.7557284911370514,8.386078685689581,17.830955469087765,163,0.5214723926380368,0.12160228898426323
31,2156,157,0.3444335851223606,0.2857142857142857,0.17372750958307429,0.1,2.762645914396887,8.386078685689581,17.830955469087765,163,0.5276073619631901,0.12303290414878398
32,2156,157,0.3520465220720323,0.3,0.17713971971571185,0.1111111111111111,2.8266320795503677,8.386078685689581,17.830955469087765,163,0.5521472392638037,0.12875536480686695
33,2156,157,0.3446671525753158,0.3,0.173498647413297,0.10526315789473684,2.7622135754431474,8.386078685689581,17.830955469087765,163,0.5398773006134969,0.12589413447782546
34,2156,157,0.34596861471861473,0.3,0.1741259283628911,0.1,2.7734543882403804,8.386078685689581,17.830955469087765,163,0.5398773006134969,0.12589413447782546
35,2156,157,0.35447827399358006,0.3,0.17829716532482806,0.10526315789473684,2.8491137051448336,8.386078685689581,17.830955469087765,163,0.5398773006134969,0.12589413447782546
36,2156,157,0.34965066113025295,0.3,0.17596312006398052,0.10526315789473684,2.807609165585819,8.386078685689581,17.830955469087765,163,0.5460122699386503,0.12732474964234622
37,2156,157,0.35511750154607297,0.3,0.17867020579808565,0.10526315789473684,2.8555987894509296,8.386078685689581,17.830955469087765,163,0.5398773006134969,0.12589413447782546
38,2156,157,0.35904489501428277,0.3,0.18049198305108802,0.1111111111111111,2.8910505836575875,8.38651102464332,17.830955469087765,163,0.558282208588957,0.1301859799713877
39,2156,157,0.3434954501281032,0.2857142857142857,0.1725444255450588,0.1,2.748378728923476,8.386078685689581,17.830955469087765,163,0.5214723926380368,0.12160228898426323
40,2156,157,0.3526752584150543,0.3,0.17729067846453556,0.1,2.832684824902724,8.38651102464332,17.830955469087765,163,0.5337423312883436,0.12446351931330472
41,2156,157,0.3490338884471537,0.2857142857142857,0.17560935990185922,0.1,2.8019887591872026,8.38651102464332,17.830955469087765,163,0.5337423312883436,0.12446351931330472
42,2156,157,0.3482025061106694,0.3,0.17510741691790907,0.1111111111111111,2.791612624297449,8.386078685689581,17.830955469087765,163,0.5398773006134969,0.12589413447782546
43,2156,157,0.34564117854934184,0.2857142857142857,0.17390100293285732,0.1,2.7704280155642023,8.386078685689581,17.830955469087765,163,0.5214723926380368,0.12160228898426323
44,2156,157,0.34830944282474896,0.3,0.17511520068484002,0.10526315789473684,2.796800691742326,8.386078685689581,17.830955469087765,163,0.5337423312883436,0.12446351931330472
45,2156,157,0.3459640133109521,0.2857142857142857,0.17432261551486755,0.1,2.77388672719412,8.386078685689581,17.830955469087765,163,0.5337423312883436,0.12446351931330472
46,2156,157,0.3478408354683865,0.3,0.17539230691923588,0.1,2.793341980112408,8.386078685689581,17.830955469087765,163,0.5398773006134969,0.12589413447782546
47,2156,157,0.34756751185322615,0.3,0.17488307241307724,0.10526315789473684,2.7890185905750107,8.386078685689581,17.830955469087765,163,0.5276073619631901,0.12303290414878398
48,2156,157,0.35222413640780986,0.3,0.17668268726725364,0.10526315789473684,2.8266320795503677,8.386078685689581,17.830955469087765,163,0.5337423312883436,0.12446351931330472
49,2156,157,0.3460926686691993,0.2857142857142857,0.1743261412296634,0.1,2.7747514051015996,8.38651102464332,17.830955469087765,163,0.5214723926380368,0.12160228898426323
50,2156,157,0.3481842845363254,0.2857142857142857,0.1751681164615908,0.1,2.792044963251189,8.386078685689581,17.830955469087765,163,0.5276073619631901,0.12303290414878398
51,2156,157,0.34934181464793707,0.2857142857142857,0.17548178430687175,0.1,2.804582792909641,8.38651102464332,17.830955469087765,163,0.5337423312883436,0.12446351931330472
52,2156,157,0.3515015313484701,0.3,0.17684626261809527,0.1,2.8240380458279293,8.386078685689581,17.830955469087765,163,0.5276073619631901,0.12303290414878398
53,2156,157,0.35375511676532084,0.2857142857142857,0.17775551931215153,0.1,2.843493298746217,8.386078685689581,17.830955469087765,163,0.5398773006134969,0.12589413447782546
54,2156,157,0.3467999970550991,0.3,0.1745658188326356,0.10526315789473684,2.7816688283614353,8.386078685689581,17.830955469087765,163,0.5276073619631901,0.12303290414878398
55,2156,157,0.34897020496510295,0.3,0.17513691974635445,0.10526315789473684,2.799827064418504,8.386078685689581,17.830955469087765,163,0.5214723926380368,0.12160228898426323
56,2156,157,0.354144579909886,0.3,0.17815757737423535,0.10526315789473684,2.8460873324686555,8.38651102464332,17.830955469087765,163,0.5398773006134969,0.12589413447782546
57,2156,157,0.34489961569043204,0.2857142857142857,0.17322711701611826,0.1,2.7639429312581063,8.386078685689581,17.830955469087765,163,0.5214723926380368,0.12160228898426323
58,2156,157,0.3461245104102247,0.2857142857142857,0.17428330054692082,0.1,2.7747514051015996,8.386078685689581,17.830955469087765,163,0.5276073619631901,0.12303290414878398
59,2156,157,0.3478754380540095,0.3,0.17531378860939392,0.10818713450292397,2.79031560743623,8.386078685689581,17.830955469087765,163,0.5398773006134969,0.12589413447782546
60,2156,157,0.34714565479871595,0.3,0.17488422368237214,0.1,2.785559878945093,8.386078685689581,17.830955469087765,163,0.5276073619631901,0.12303290414878398
61,2156,157,0.34573523132196604,0.2857142857142857,0.17425719154690647,0.1,2.7712926934716817,8.386078685689581,17.830955469087765,163,0.5276073619631901,0.12303290414878398
62,2156,157,0.3441985452189534,0.2857142857142857,0.17297146413466627,0.1,2.7552961521833117,8.386078685689581,17.830955469087765,163,0.5214723926380368,0.12160228898426323
63,2156,157,0.34929451217716523,0.3,0.17561088518453524,0.1111111111111111,2.8024210981409423,8.386078685689581,17.830955469087765,163,0.5337423312883436,0.12446351931330472
64,2156,157,0.34843883440822215,0.3,0.17509395258123694,0.10526315789473684,2.796800691742326,8.386078685689581,17.830955469087765,163,0.5337423312883436,0.12446351931330472
65,2156,157,0.34359060723856644,0.3,0.1726308662882886,0.10526315789473684,2.751837440553394,8.386078685689581,17.830955469087765,163,0.5214723926380368,0.12160228898426323
66,2156,157,0.34360606796831283,0.2928571428571428,0.17294942639580974,0.1,2.751837440553394,8.38651102464332,17.830955469087765,163,0.5337423312883436,0.12446351931330472
67,2156,157,0.35033203757693554,0.3,0.1757433824271205,0.10526315789473684,2.814526588845655,8.386078685689581,17.830955469087765,163,0.5337423312883436,0.12446351931330472
68,2156,157,0.34989619224313107,0.3,0.1760261678161039,0.10526315789473684,2.809338521400778,8.386078685689581,17.830955469087765,163,0.5398773006134969,0.12589413447782546
69,2156,157,0.348659149807109,0.3,0.1754197212654854,0.10526315789473684,2.7989623865110245,8.386078685689581,17.830955469087765,163,0.5398773006134969,0.12589413447782546
70,2156,157,0.3525346393968843,0.2857142857142857,0.17742531029431435,0.1,2.832252485948984,8.386078685689581,17.830955469087765,163,0.5398773006134969,0.12589413447782546
71,2156,157,0.34683036634567244,0.2857142857142857,0.17472698322292227,0.1,2.7812364894076955,8.38651102464332,17.830955469087765,163,0.5337423312883436,0.12446351931330472
72,2156,157,0.35213174014194426,0.2857142857142857,0.17701952528668383,0.1,2.8283614353653266,8.386078685689581,17.830955469087765,163,0.5337423312883436,0.12446351931330472
73,2156,157,0.3428930338369114,0.3,0.17241251180135825,0.10526315789473684,2.7475140510159966,8.386078685689581,17.830955469087765,163,0.5214723926380368,0.12160228898426323
74,2156,157,0.3521157272432782,0.3,0.17710312107652385,0.1111111111111111,2.8287937743190663,8.386078685689581,17.830955469087765,163,0.5460122699386503,0.12732474964234622
75,2156,157,0.36026702888947787,0.3,0.18105940827162328,0.1111111111111111,2.90272373540856,8.386078685689581,17.830955469087765,163,0.5521472392638037,0.12875536480686695
76,2156,157,0.3476208881821127,0.2928571428571428,0.175030383228787,0.1,2.786856895806312,8.38651102464332,17.830955469087765,163,0.5337423312883436,0.12446351931330472
77,2156,157,0.35384677680596044,0.3,0.17776755061519448,0.10526315789473684,2.8478166882836145,8.386078685689581,17.830955469087765,163,0.5398773006134969,0.12589413447782546
78,2156,157,0.3508575183320081,0.3,0.1764957369745577,0.10526315789473684,2.8171206225680936,8.386078685689581,17.830955469087765,163,0.5337423312883436,0.12446351931330472
79,2156,157,0.3537291648261036,0.3,0.17821015340440574,0.1111111111111111,2.846952010376135,8.386078685689581,17.830955469087765,163,0.5460122699386503,0.12732474964234622
80,2156,157,0.34568369555614453,0.3,0.1736257778095159,0.10526315789473684,2.7717250324254215,8.386078685689581,17.830955469087765,163,0.5214723926380368,0.12160228898426323
81,2156,157,0.35074800482963747,0.2928571428571428,0.1764491502909741,0.1,2.816255944660614,8.386078685689581,17.830955469087765,163,0.5337423312883436,0.12446351931330472
82,2156,157,0.3452502429543246,0.2857142857142857,0.17357081359699872,0.1,2.769563337656723,8.386078685689581,17.830955469087765,163,0.5214723926380368,0.12160228898426323
83,2156,157,0.3459809464911506,0.2857142857142857,0.17412441535355772,0.1,2.7747514051015996,8.386078685689581,17.830955469087765,163,0.5214723926380368,0.12160228898426323
84,2156,157,0.35111170009129195,0.3,0.1768304519362981,0.1,2.821011673151751,8.38651102464332,17.830955469087765,163,0.5398773006134969,0.12589413447782546
