seed,段,sid,vol60,回看無成交日比,段內無成交日比,段內報酬
102013,1,2409,0.018135784357655123,0.0,0.0,-0.418428559039705
102013,1,2515,0.01907414066965365,0.0,0.0,-0.4251979774135425
102013,1,2206,0.019138731048718955,0.0,0.0,-0.1703650760862374
102013,1,1314,0.019707541216893935,0.0,0.0,-0.44566207512393197
102013,1,8155,0.020528654502698043,0.0,0.0,-0.29859576869710613
102013,1,6274,0.02544697347465147,0.0,0.0,-0.30357139084640605
102013,2,2633,0.008541656290662612,0.0,0.0,0.29123672893479213
102013,2,1102,0.014993159545584174,0.0,0.0,-0.0187055172674625
102013,2,1710,0.020066731896744447,0.0,0.0,-0.07584269363033858
102013,2,8489,0.02252461055786175,0.0,0.0,-0.08881457524727432
102013,2,5274,0.02383175583740755,0.0,0.0,-0.5947424441897483
102013,2,2408,0.024801506380465875,0.0,0.0,-0.5089289594018167
102013,2,4528,0.025346147289194838,0.0,0.0,-0.4356148204101923
102013,2,4147,0.026573363427795794,0.0,0.0,-0.3774510037807822
102013,3,2352,0.010714712417989325,0.0,0.0,-0.36619722700282553
102013,3,2929,0.012596337047428444,0.0,0.0,-0.48046466530464105
102013,3,2385,0.0126341252939978,0.0,0.0,-0.1768018355803106
102013,3,4915,0.01273966824462143,0.0,0.0,-0.4695787798373531
102013,3,2377,0.013068258678752978,0.0,0.0,-0.19010122507269323
102013,3,4107,0.013241223372640384,0.0,0.0,-0.3749019742598344
102013,3,9958,0.01425674796254969,0.0,0.0,-0.01377407936865882
102013,3,2059,0.014377405604272725,0.0,0.0,-0.15909097757274615
102014,1,2352,0.010714712417989325,0.0,0.0,-0.36619722700282553
102014,1,2929,0.012596337047428444,0.0,0.0,-0.48046466530464105
102014,1,2385,0.0126341252939978,0.0,0.0,-0.1768018355803106
102014,1,4915,0.01273966824462143,0.0,0.0,-0.4695787798373531
102014,1,2377,0.013068258678752978,0.0,0.0,-0.19010122507269323
102014,1,4107,0.013241223372640384,0.0,0.0,-0.3749019742598344
102014,1,9958,0.01425674796254969,0.0,0.0,-0.01377407936865882
102014,1,2059,0.014377405604272725,0.0,0.0,-0.15909097757274615
102014,2,8222,0.02238230449093714,0.0,0.0,0.09485012639684975
102014,2,2427,0.026766377426594372,0.0,0.0,-0.2775416876589737
102014,2,8086,0.027160749620963674,0.0,0.0,-0.5226607589766071
102014,2,4746,0.02730069469917225,0.0,0.0,-0.4700569871485104
102014,2,2376,0.02735759145637194,0.0,0.0,-0.43790065963910174
102014,2,3293,0.028484612508221232,0.0,0.0,0.4723618001148582
102014,2,4763,0.03083713873046462,0.0,0.0,-0.05087868186876032
102014,2,8299,0.03126048295106228,0.0,0.0,-0.32043117129699705
102014,3,2633,0.008541656290662612,0.0,0.0,0.29123672893479213
102014,3,1102,0.014993159545584174,0.0,0.0,-0.0187055172674625
102014,3,1710,0.020066731896744447,0.0,0.0,-0.07584269363033858
102014,3,8489,0.02252461055786175,0.0,0.0,-0.08881457524727432
102014,3,5274,0.02383175583740755,0.0,0.0,-0.5947424441897483
102014,3,2408,0.024801506380465875,0.0,0.0,-0.5089289594018167
102014,3,4528,0.025346147289194838,0.0,0.0,-0.4356148204101923
102014,3,4147,0.026573363427795794,0.0,0.0,-0.3774510037807822
102015,1,2633,0.008541656290662612,0.0,0.0,0.18399844634600115
102015,1,1102,0.014993159545584174,0.0,0.0,0.1662425024332599
102015,1,1710,0.020066731896744447,0.0,0.0,0.03363941884724442
102015,1,8489,0.02252461055786175,0.0,0.0,0.04892276509875759
102015,1,5274,0.02383175583740755,0.0,0.0,-0.6195541405679983
102015,1,2408,0.024801506380465875,0.0,0.0,-0.4822402723279884
