seed,段,日數,DR創_中位,DR創_最大
102029,2,97,0.0,0.0
102029,3,84,0.0,0.0
102030,1,97,0.0,0.0
102030,2,173,0.0,0.0
102030,3,48,0.0,0.0
102031,1,84,0.0,0.0
102031,2,36,0.0,0.0
102031,3,180,0.0,0.0
102032,1,898,0.0,0.0
102032,2,98,0.0,0.0
102032,3,40,0.0,0.0
102033,1,76,0.0,0.0
102033,2,181,0.0,0.0
102033,3,40,0.0,0.0
102034,1,98,0.0,0.0
102034,2,177,0.0,0.0
102034,3,40,0.0,0.0
102035,1,236,0.0,0.0
102035,2,36,0.0,0.0
102035,3,95,0.0,0.0
102036,1,114,0.0,0.0
102036,2,72,0.0,0.0
102036,3,36,0.0,0.0
102037,1,48,0.0,0.0
102037,2,192,0.0,0.0
102037,3,123,0.0,0.0
102038,1,173,0.0,0.0
102038,2,387,0.0,0.0
102038,3,97,0.0,0.0
102039,1,173,0.0,0.0
102039,2,98,0.0,0.0
102039,3,36,0.0,0.0
102040,1,96,0.0,0.0
102040,2,40,0.0,0.0
102040,3,178,0.0,0.0
102041,1,181,0.0,0.0
102041,2,97,0.0,0.0
102041,3,36,0.0,0.0
102042,1,48,0.0,0.0
102042,2,178,0.0,0.0
102042,3,75,0.0,0.0
102043,1,105,0.0,0.0
102043,2,48,0.0,0.0
102043,3,203,0.0,0.0
102044,1,173,0.0,0.0
102044,2,96,0.0,0.0
102044,3,59,0.0,0.0
102045,1,432,0.0,0.0
102045,2,235,0.0,0.0
102045,3,82,0.0,0.0
102046,1,173,0.0,0.0
102046,2,88,0.0,0.0
102046,3,36,0.0,0.0
102047,1,173,0.0,0.0
102047,2,77,0.0,0.0
102047,3,200,0.0,0.0
102048,1,173,0.0,0.0
102048,2,432,0.0,0.0
102048,3,218,0.0,0.0
102049,1,48,0.0,0.0
102049,2,369,0.0,0.0
102049,3,109,0.0,0.0
102050,1,96,0.0,0.0
102050,2,898,0.0,0.0
102050,3,40,0.0,0.0
102051,1,235,0.0,0.0
102051,2,48,0.0,0.0
102051,3,204,0.0,0.0
102052,1,173,0.0,0.0
102052,2,95,0.0,0.0
102052,3,40,0.0,0.0
102053,1,235,0.0,0.0
102053,2,96,0.0,0.0
102053,3,48,0.0,0.0
102054,1,181,0.0,0.0
102054,2,98,0.0,0.0
102054,3,40,0.0,0.0
102055,1,76,0.0,0.0
102055,2,40,0.0,0.0
102055,3,46,0.0,0.0
102056,1,76,0.0,0.0
102056,2,226,0.0,0.0
102056,3,48,0.0,0.0
102057,1,180,0.0,0.0
102057,2,48,0.0,0.0
102057,3,97,0.0,0.0
102058,1,200,0.0,0.0
102058,2,34,0.0,0.0
102058,3,40,0.0,0.0
102059,1,788,0.0,0.0
102059,2,36,0.0,0.0
102059,3,101,0.0,0.0
102060,1,173,0.0,0.0
102060,2,37,0.0,0.0
102060,3,361,0.0,0.0
102061,1,173,0.0,0.0
102061,2,36,0.0,0.0
102061,3,98,0.0,0.0
102062,1,181,0.0,0.0
102062,2,36,0.0,0.0
102062,3,85,0.0,0.0
102063,1,422,0.0,0.0
102063,2,48,0.0,0.0
102063,3,96,0.0,0.0
102064,1,60,0.0,0.0
102064,2,173,0.0,0.0
102064,3,97,0.0,0.0
102065,1,173,0.0,0.0
102065,2,76,0.0,0.0
102065,3,48,0.0,0.0
102066,1,426,0.0,0.0
102066,2,85,0.0,0.0
102066,3,10,0.0,0.0
102067,1,100,0.0,0.0
102067,2,173,0.0,0.0
102067,3,40,0.0,0.0
102068,1,107,0.0,0.0
102068,2,173,0.0,0.0
102068,3,36,0.0,0.0
102069,1,96,0.0,0.0
102069,2,181,0.0,0.0
102069,3,48,0.0,0.0
102070,1,181,0.0,0.0
102070,2,98,0.0,0.0
102070,3,200,0.0,0.0
102071,1,77,0.0,0.0
102071,2,36,0.0,0.0
102071,3,173,0.0,0.0
102072,1,173,0.0,0.0
102072,2,48,0.0,0.0
102072,3,97,0.0,0.0
102073,1,98,0.0,0.0
102073,2,184,0.0,0.0
102073,3,97,0.0,0.0
102074,1,173,0.0,0.0
102074,2,114,0.0,0.0
102074,3,48,0.0,0.0
102075,1,418,0.0,0.0
102075,2,36,0.0,0.0
102075,3,149,0.0,0.0
102076,1,411,0.0,0.0
102076,2,806,0.0,0.0
102076,3,9,0.0,0.0
102077,1,238,0.0,0.0
102077,2,36,0.0,0.0
102077,3,97,0.0,0.0
102078,1,188,0.0,0.0
102078,2,302,0.0,0.0
102078,3,56,0.0,0.0
102079,1,77,0.0,0.0
102079,2,178,0.0,0.0
102079,3,129,0.0,0.0
102080,1,85,0.0,0.0
102080,2,235,0.0,0.0
102080,3,48,0.0,0.0
102081,1,181,0.0,0.0
102081,2,48,0.0,0.0
102081,3,98,0.0,0.0
102082,1,97,0.0,0.0
102082,2,48,0.0,0.0
102082,3,173,0.0,0.0
102083,1,59,0.0,0.0
102083,2,74,0.0,0.0
102083,3,174,0.0,0.0
102084,1,48,0.0,0.0
102084,2,174,0.0,0.0
102084,3,97,0.0,0.0
102085,1,411,0.0,0.0
102085,2,191,0.0,0.0
102085,3,82,0.0,0.0
102086,1,425,0.0,0.0
102086,2,97,0.0,0.0
102086,3,48,0.0,0.0
102087,1,173,0.0,0.0
102087,2,48,0.0,0.0
102087,3,98,0.0,0.0
102088,1,85,0.0,0.0
102088,2,181,0.0,0.0
102088,3,129,0.0,0.0
102089,1,96,0.0,0.0
102089,2,114,0.0,0.0
102089,3,40,0.0,0.0
102090,1,209,0.0,0.0
102090,2,204,0.0,0.0
102090,3,98,0.0,0.0
102091,1,96,0.0,0.0
102091,2,138,0.0,0.0
102091,3,184,0.0,0.0
102092,1,197,0.0,0.0
102092,2,40,0.0,0.0
102092,3,143,0.0,0.0
102093,1,36,0.0,0.0
102093,2,173,0.0,0.0
102093,3,98,0.0,0.0
102094,1,283,0.0,0.0
102094,2,36,0.0,0.0
102094,3,428,0.0,0.0
102095,1,178,0.0,0.0
102095,2,36,0.0,0.0
102095,3,373,0.0,0.0
102096,1,85,0.0,0.0
102096,2,181,0.0,0.0
102096,3,36,0.0,0.0
102097,1,98,0.0,0.0
102097,2,36,0.0,0.0
102097,3,91,0.0,0.0
102098,1,890,0.0,0.0
102098,2,36,0.0,0.0
102098,3,98,0.0,0.0
102099,1,173,0.0,0.0
102099,2,100,0.0,0.0
102099,3,59,0.0,0.0
102100,1,85,0.0,0.0
102100,2,173,0.0,0.0
102100,3,36,0.0,0.0
102101,1,173,0.0,0.0
102101,2,96,0.0,0.0
102101,3,38,0.0,0.0
102102,1,36,0.0,0.0
102102,2,181,0.0,0.0
102102,3,96,0.0,0.0
102103,1,36,0.0,0.0
102103,2,295,0.0,0.0
102103,3,181,0.0,0.0
102104,1,428,0.0,0.0
102104,2,197,0.0,0.0
102104,3,40,0.0,0.0
102105,1,98,0.0,0.0
102105,2,173,0.0,0.0
102105,3,40,0.0,0.0
102106,1,181,0.0,0.0
102106,2,432,0.0,0.0
102106,3,164,0.0,0.0
102107,1,173,0.0,0.0
102107,2,36,0.0,0.0
102107,3,106,0.0,0.0
102108,1,379,0.0,0.0
102108,2,181,0.0,0.0
102108,3,97,0.0,0.0
102109,1,98,0.0,0.0
102109,2,173,0.0,0.0
102109,3,40,0.0,0.0
102110,1,411,0.0,0.0
102110,2,235,0.0,0.0
102110,3,66,0.0,0.0
102111,1,173,0.0,0.0
102111,2,36,0.0,0.0
102111,3,138,0.0,0.0
102112,1,192,0.0,0.0
102112,2,420,0.0,0.0
102112,3,138,0.0,0.0
102113,1,96,0.0,0.0
102113,2,235,0.0,0.0
102113,3,97,0.0,0.0
102114,1,789,0.0,0.0
102114,2,83,0.0,0.0
102114,3,36,0.0,0.0
102115,1,97,0.0,0.0
102115,2,179,0.0,0.0
102115,3,97,0.0,0.0
102116,1,48,0.0,0.0
102116,2,181,0.0,0.0
102116,3,83,0.0,0.0
102117,1,179,0.0,0.0
102117,2,36,0.0,0.0
102117,3,304,0.0,0.0
102118,1,173,0.0,0.0
102118,2,204,0.0,0.0
102118,3,59,0.0,0.0
102119,1,173,0.0,0.0
102119,2,98,0.0,0.0
102119,3,36,0.0,0.0
102120,1,74,0.0,0.0
102120,2,97,0.0,0.0
102120,3,34,0.0,0.0
102121,1,435,0.0,0.0
102121,2,230,0.0,0.0
102121,3,43,0.0,0.0
102122,1,101,0.0,0.0
102122,2,48,0.0,0.0
102122,3,181,0.0,0.0
102123,1,631,0.0,0.0
102123,2,10,0.0,0.0
102123,3,296,0.0,0.0
102124,1,76,0.0,0.0
102124,2,173,0.0,0.0
102124,3,48,0.0,0.0
102125,1,36,0.0,0.0
102125,2,88,0.0,0.0
102125,3,238,0.0,0.0
102126,1,36,0.0,0.0
102126,2,97,0.0,0.0
102126,3,235,0.0,0.0
102127,1,181,0.0,0.0
102127,2,100,0.0,0.0
102127,3,48,0.0,0.0
102128,1,426,0.0,0.0
102128,2,97,0.0,0.0
102128,3,36,0.0,0.0
102129,1,76,0.0,0.0
102129,2,181,0.0,0.0
102129,3,48,0.0,0.0
102130,1,98,0.0,0.0
102130,2,40,0.0,0.0
102130,3,181,0.0,0.0
102131,1,752,0.0,0.0
102131,2,36,0.0,0.0
102131,3,230,0.0,0.0
102132,1,99,0.0,0.0
102132,2,24,0.0,0.0
102132,3,235,0.0,0.0
102133,1,98,0.0,0.0
102133,2,36,0.0,0.0
102133,3,179,0.0,0.0
102134,1,173,0.0,0.0
102134,2,36,0.0,0.0
102134,3,98,0.0,0.0
102135,1,426,0.0,0.0
102135,2,97,0.0,0.0
102135,3,213,0.0,0.0
102136,1,788,0.0,0.0
102136,2,76,0.0,0.0
102136,3,10,0.0,0.0
102137,1,173,0.0,0.0
102137,2,98,0.0,0.0
102137,3,202,0.0,0.0
102138,1,173,0.0,0.0
102138,2,36,0.0,0.0
102138,3,75,0.0,0.0
102139,1,184,0.0,0.0
102139,2,97,0.0,0.0
102139,3,296,0.0,0.0
102140,1,428,0.0,0.0
102140,2,76,0.0,0.0
102140,3,10,0.0,0.0
102141,1,98,0.0,0.0
102141,2,235,0.0,0.0
102141,3,48,0.0,0.0
102142,1,36,0.0,0.0
102142,2,97,0.0,0.0
102142,3,173,0.0,0.0
102143,1,173,0.0,0.0
102143,2,36,0.0,0.0
102143,3,294,0.0,0.0
102144,1,36,0.0,0.0
102144,2,75,0.0,0.0
102144,3,173,0.0,0.0
102145,1,99,0.0,0.0
102145,2,173,0.0,0.0
102145,3,40,0.0,0.0
102146,1,190,0.0,0.0
102146,2,36,0.0,0.0
102146,3,98,0.0,0.0
102147,1,98,0.0,0.0
102147,2,36,0.0,0.0
102147,3,114,0.0,0.0
102148,1,173,0.0,0.0
102148,2,36,0.0,0.0
102148,3,85,0.0,0.0
102149,1,173,0.0,0.0
102149,2,97,0.0,0.0
102149,3,301,0.0,0.0
102150,1,97,0.0,0.0
102150,2,36,0.0,0.0
102150,3,120,0.0,0.0
102151,1,173,0.0,0.0
102151,2,76,0.0,0.0
102151,3,38,0.0,0.0
102152,1,173,0.0,0.0
102152,2,98,0.0,0.0
102152,3,303,0.0,0.0
102153,1,420,0.0,0.0
102153,2,99,0.0,0.0
102153,3,200,0.0,0.0
102154,1,85,0.0,0.0
102154,2,40,0.0,0.0
102154,3,181,0.0,0.0
102155,1,426,0.0,0.0
102155,2,99,0.0,0.0
102155,3,36,0.0,0.0
102156,1,789,0.0,0.0
102156,2,97,0.0,0.0
102156,3,36,0.0,0.0
102157,1,428,0.0,0.0
102157,2,201,0.0,0.0
102157,3,295,0.0,0.0
102158,1,97,0.0,0.0
102158,2,178,0.0,0.0
102158,3,36,0.0,0.0
102159,1,181,0.0,0.0
102159,2,97,0.0,0.0
102159,3,200,0.0,0.0
102160,1,432,0.0,0.0
102160,2,30,0.0,0.0
102160,3,201,0.0,0.0
102161,1,236,0.0,0.0
102161,2,432,0.0,0.0
102161,3,302,0.0,0.0
102162,1,184,0.0,0.0
102162,2,221,0.0,0.0
102162,3,36,0.0,0.0
102163,1,138,0.0,0.0
102163,2,173,0.0,0.0
102163,3,48,0.0,0.0
102164,1,198,0.0,0.0
102164,2,173,0.0,0.0
102164,3,85,0.0,0.0
102165,1,173,0.0,0.0
102165,2,116,0.0,0.0
102165,3,152,0.0,0.0
102166,1,173,0.0,0.0
102166,2,36,0.0,0.0
102166,3,200,0.0,0.0
102167,1,98,0.0,0.0
102167,2,48,0.0,0.0
102167,3,173,0.0,0.0
102168,1,98,0.0,0.0
102168,2,40,0.0,0.0
102168,3,120,0.0,0.0
102169,1,36,0.0,0.0
102169,2,98,0.0,0.0
102169,3,235,0.0,0.0
102170,1,173,0.0,0.0
102170,2,96,0.0,0.0
102170,3,36,0.0,0.0
102171,1,181,0.0,0.0
102171,2,216,0.0,0.0
102171,3,99,0.0,0.0
102172,1,36,0.0,0.0
102172,2,96,0.0,0.0
102172,3,173,0.0,0.0
102173,1,432,0.0,0.0
102173,2,420,0.0,0.0
102173,3,47,0.0,0.0
102174,1,97,0.0,0.0
102174,2,179,0.0,0.0
102174,3,34,0.0,0.0
102175,1,77,0.0,0.0
102175,2,200,0.0,0.0
102175,3,36,0.0,0.0
102176,1,36,0.0,0.0
102176,2,100,0.0,0.0
102176,3,173,0.0,0.0
102177,1,173,0.0,0.0
102177,2,96,0.0,0.0
102177,3,20,0.0,0.0
102178,1,432,0.0,0.0
102178,2,434,0.0,0.0
102178,3,49,0.0,0.0
102179,1,173,0.0,0.0
102179,2,432,0.0,0.0
102179,3,197,0.0,0.0
102180,1,420,0.0,0.0
102180,2,97,0.0,0.0
102180,3,105,0.0,0.0
102181,1,757,0.0,0.0
102181,2,96,0.0,0.0
102181,3,59,0.0,0.0
102182,1,803,0.0,0.0
102182,2,64,0.0,0.0
102182,3,38,0.0,0.0
102183,1,427,0.0,0.0
102183,2,96,0.0,0.0
102183,3,48,0.0,0.0
102184,1,97,0.0,0.0
102184,2,173,0.0,0.0
102184,3,36,0.0,0.0
102185,1,294,0.0,0.0
102185,2,238,0.0,0.0
102185,3,48,0.0,0.0
102186,1,85,0.0,0.0
102186,2,173,0.0,0.0
102186,3,20,0.0,0.0
102187,1,36,0.0,0.0
102187,2,428,0.0,0.0
102187,3,98,0.0,0.0
102188,1,804,0.0,0.0
102188,2,97,0.0,0.0
102188,3,48,0.0,0.0
102189,1,48,0.0,0.0
102189,2,436,0.0,0.0
102189,3,195,0.0,0.0
102190,1,136,0.0,0.0
102190,2,36,0.0,0.0
102190,3,181,0.0,0.0
102191,1,798,0.0,0.0
102191,2,59,0.0,0.0
102191,3,98,0.0,0.0
102192,1,173,0.0,0.0
102192,2,99,0.0,0.0
102192,3,36,0.0,0.0
102193,1,173,0.0,0.0
102193,2,75,0.0,0.0
102193,3,215,0.0,0.0
102194,1,83,0.0,0.0
102194,2,173,0.0,0.0
102194,3,302,0.0,0.0
102195,1,36,0.0,0.0
102195,2,310,0.0,0.0
102195,3,97,0.0,0.0
102196,1,181,0.0,0.0
102196,2,36,0.0,0.0
102196,3,76,0.0,0.0
102197,1,420,0.0,0.0
102197,2,98,0.0,0.0
102197,3,59,0.0,0.0
102198,1,235,0.0,0.0
102198,2,83,0.0,0.0
102198,3,200,0.0,0.0
102199,1,97,0.0,0.0
102199,2,98,0.0,0.0
102199,3,200,0.0,0.0
