seed,peak_pos,trough_pos,深度,peak_pos_交件,trough_pos_交件,深度_交件,own_dd,peak_date,trough_date
102058,737,936,-0.3622460395778113,737,936,-0.3622460395778113,-0.3622460395778113,2018-01-05,2018-10-30
102059,1711,2498,-0.4037043843511403,1711,2498,-0.4037043843511403,-0.4037043843511403,2021-12-30,2025-04-09
102060,2326,2498,-0.49572495260139426,2326,2498,-0.49572495260139426,-0.49572495260139426,2024-07-17,2025-04-09
102061,2326,2498,-0.42596529621546786,2326,2498,-0.42596529621546786,-0.42596529621546786,2024-07-17,2025-04-09
102062,2318,2498,-0.38636143143899926,2318,2498,-0.38636143143899926,-0.38636143143899926,2024-07-05,2025-04-09
102063,2077,2498,-0.49079528988600074,2077,2498,-0.49079528988600074,-0.49079528988600074,2023-07-11,2025-04-09
102064,1211,1270,-0.35642414365767294,1211,1270,-0.35642414365767294,-0.35642414365767294,2019-12-16,2020-03-19
102065,2326,2498,-0.4316047302041217,2326,2498,-0.4316047302041217,-0.4316047302041217,2024-07-17,2025-04-09
102066,2073,2498,-0.4018745245518258,2073,2498,-0.4018745245518258,-0.4018745245518258,2023-07-05,2025-04-09
102067,836,935,-0.45445446556114777,836,935,-0.45445446556114777,-0.45445446556114777,2018-06-07,2018-10-29
102068,830,936,-0.36708322825059925,830,936,-0.36708322825059925,-0.36708322825059925,2018-05-30,2018-10-30
102069,839,934,-0.3820525600552077,839,934,-0.3820525600552077,-0.3820525600552077,2018-06-12,2018-10-26
102070,2318,2498,-0.3838088598751237,2318,2498,-0.3838088598751237,-0.3838088598751237,2024-07-05,2025-04-09
102071,860,936,-0.4237314206182744,860,936,-0.4237314206182744,-0.4237314206182744,2018-07-12,2018-10-30
102072,2326,2498,-0.4253271970410273,2326,2498,-0.4253271970410273,-0.4253271970410273,2024-07-17,2025-04-09
102073,839,936,-0.4010684572989355,839,936,-0.4010684572989355,-0.4010684572989355,2018-06-12,2018-10-30
102074,2326,2498,-0.37451846916160836,2326,2498,-0.37451846916160836,-0.37451846916160836,2024-07-17,2025-04-09
102075,2081,2498,-0.447826655449033,2081,2498,-0.447826655449033,-0.447826655449033,2023-07-17,2025-04-09
102076,860,1270,-0.4813343431604269,860,1270,-0.4813343431604269,-0.4813343431604269,2018-07-12,2020-03-19
102077,2261,2498,-0.41166265631289234,2261,2498,-0.41166265631289234,-0.41166265631289234,2024-04-15,2025-04-09
102078,736,923,-0.2997863391481208,736,923,-0.2997863391481208,-0.2997863391481208,2018-01-04,2018-10-11
102079,860,936,-0.4715729696466926,860,936,-0.4715729696466926,-0.4715729696466926,2018-07-12,2018-10-30
102080,839,923,-0.40738720843220233,839,923,-0.40738720843220233,-0.40738720843220233,2018-06-12,2018-10-11
102081,2318,2498,-0.34887184152514983,2318,2498,-0.34887184152514983,-0.34887184152514983,2024-07-05,2025-04-09
102082,839,935,-0.40048015169002127,839,935,-0.40048015169002127,-0.40048015169002127,2018-06-12,2018-10-29
102083,1212,1270,-0.36727411555567013,1212,1270,-0.36727411555567013,-0.36727411555567013,2019-12-17,2020-03-19
102084,1223,1270,-0.43039965203641206,1223,1270,-0.43039965203641206,-0.43039965203641206,2020-01-02,2020-03-19
102085,860,1270,-0.4368875248208258,860,1270,-0.4368875248208258,-0.4368875248208258,2018-07-12,2020-03-19
102086,2074,2498,-0.5098072147553367,2074,2498,-0.5098072147553367,-0.5098072147553367,2023-07-06,2025-04-09
102087,2326,2498,-0.4211002839495518,2326,2498,-0.4211002839495518,-0.4211002839495518,2024-07-17,2025-04-09
102088,839,923,-0.43390311786653424,839,923,-0.43390311786653424,-0.43390311786653424,2018-06-12,2018-10-11
102089,839,934,-0.35589505856086545,839,934,-0.35589505856086545,-0.35589505856086545,2018-06-12,2018-10-26
102090,2290,2498,-0.4808657144271168,2290,2498,-0.4808657144271168,-0.4808657144271168,2024-05-27,2025-04-09
