r,arm,seed,cagr,mdd,vol,first,end,trades,eq_sha,expo,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,dd_單日暴跌型,dd_延續下跌型,dd_混合型,ddlog_單日暴跌型,ddlog_延續下跌型,ddlog_混合型,dd_n,n_stop,n_trim,trig_pos_frac,held_mean,turnover_yr,cost_total,cost_drag_yr,stop_ret_mean,stop_ret_med,stop_h120_mean,stop_h120_med,stop_h120_better_frac,stop_h120_ge0_frac,trim_fwd_mean,trim_fwd_med,trim_fwd_p90,trim_fwd_pos_frac,rebuy20_n,rebuy20_ret_mean,rebuy20_ret_med,cash_mean,cash_med,cash_end,nx_n,nx_stop_lots,nx_pending_end,nx_pending_amt_end_frac,nxw_med,nxw_p90,nxw_mean,nxw_max,nxsz_med,nxsz_mean,normal_n,sl_block_days
58,D2_S2T1,1058,0.018562483356084236,-0.06885163862654439,0.027327679312387384,526,2859,881,e8ffa5da1add4b6d,0.03242544528234501,0.17814496521711254,0.013611464172135435,-0.00300058845593254,-0.0009943555020446304,0.00018345161972099788,-1.8192085532220403e-05,1.1537593030297444e-05,7.454679862295421e-07,-9.397582056980269e-08,7.592072948092721e-08,0,0,0,0,0,0,0,881,291,1.0,5.345006485084306,0.5423026018087589,0.03536605559887739,0.0031724702205812353,0.04337707480025604,-0.022172891382535087,0.17776041157382064,0.011441645438026393,0.5085130533484676,0.5209988649262202,0.14508587789988922,-0.01947146228776353,0.8173075816954118,0.4742268041237113,44,0.022482449475563607,-0.04645404463916275,0.9675745547176551,0.999979745043464,1.0,871,881,10,1.1086416417713491e-07,3.0,21.0,11.07118254879449,226.0,0.00021790557347189156,0.052392156146753334,10,0
59,D2_S2T1,1059,0.0170118787451512,-0.06731970308003249,0.026722967671833606,526,2859,881,ceef8e9b382763e8,0.0345724983720093,0.1448942591154112,0.015870358144560948,0.0005222887963285405,0.007411328800340566,0.0002864806496201133,-8.943152801754728e-06,1.0775154548836596e-05,2.321475293109998e-06,4.1240886439197766e-07,3.473382625962529e-08,0,0,0,0,0,0,0,881,301,1.0,5.309122351923908,0.5808085236326557,0.037248580797066645,0.003397729863251036,0.04325769720229745,-0.02083328783676841,0.17926676329530322,0.008287334637243404,0.5073779795686719,0.5198637911464246,0.13520743605563582,-0.028571458353529366,0.758407727222719,0.4684385382059801,46,0.01653224010308802,-0.048747464249379424,0.9654275016279907,0.9999829024453945,1.0,871,881,10,3.244969856249228e-08,3.0,20.0,11.173363949483353,226.0,0.00012345262298956805,0.0560856088350605,10,0
60,D2_S2T1,1060,0.020082372373444013,-0.06781038365390343,0.02792356116923832,526,2859,884,a8db5ef3fbf7e05a,0.03335941667634559,0.17584441915447369,0.025956221062209517,-0.0026065889263793274,0.0029151451602895673,-0.0001759304545690954,-2.315392655394266e-05,2.1469071294077935e-06,-4.487678416653651e-07,1.84601670172313e-07,3.508994028678103e-08,0,0,0,0,0,0,0,884,296,1.0,5.308257674016429,0.5453780589477261,0.035990100747102766,0.003190461644844206,0.04349226453799647,-0.02076349786594478,0.17809781005171574,0.007727192641250991,0.503393665158371,0.5158371040723982,0.15018641367187474,-0.018321102947899404,0.8398224753261178,0.47635135135135137,43,0.06153457796000608,-0.022598883612690135,0.9666405833236544,0.9999874481339307,1.0,874,884,10,2.5472293386053807e-08,3.0,20.0,11.130434782608695,226.0,0.00011387068613299042,0.05315447773274204,10,0
61,D2_S2T1,1061,0.013977916635460996,-0.06885163862654439,0.02711099068531718,526,2859,891,fbec51a4d287bc12,0.033369392353497576,0.12625278588836286,0.014195909190717781,-0.004249896749472737,0.0019070833319481117,0.0004111225010967612,-1.48905101268193e-05,1.367167923449486e-05,7.828665884446195e-07,1.3456242808906893e-07,2.0662576982743985e-08,0,0,0,0,0,0,0,891,288,1.0,5.313878080415045,0.6039367910799023,0.03782859133555108,0.0035330302278174302,0.042009284231846404,-0.02247189499470348,0.19252140993743308,0.005046404783145997,0.5117845117845118,0.5162738496071829,0.14774570149627425,-0.016857453413279988,0.8488585760644337,0.4791666666666667,40,0.049622576719955146,-0.042690073167366505,0.9666306076465023,0.9999862468980814,1.0,881,891,10,3.124342455768766e-08,3.0,20.0,11.027241770715097,226.0,0.00010883811203726195,0.056796713565867366,10,0
62,D2_S2T1,1062,0.01957740307122413,-0.07682493755632769,0.028106406564710664,526,2859,886,a2e222c6c378516d,0.03611909712866261,0.16176446642200148,0.03932245975183579,-0.009763991884499723,0.0029760747845135604,0.0013678651162074562,-5.586072710839218e-06,8.56033610685536e-06,2.011417563618778e-06,1.4007607851418413e-07,2.526198628061138e-08,0,0,0,0,0,0,0,886,298,1.0,5.264159100734976,0.5813307767465445,0.0381736150406539,0.003400785043967264,0.04200418621748896,-0.021577332220876655,0.1801415091331085,0.006177081035231735,0.5022573363431151,0.5158013544018059,0.15139049174316196,-0.016857453413279988,0.8372268131777794,0.4798657718120805,44,0.004473081248372573,-0.04684882231181092,0.9638809028713373,0.9999847079939345,1.0,876,886,10,1.852430691028148e-08,3.0,21.0,11.221461187214611,226.0,0.00010505168561211601,0.05712076143110595,10,0
63,D2_S2T1,1063,0.021452780984190234,-0.06103423890873906,0.02786714815146646,526,2859,894,3ed8d3a773c48b43,0.0326289517960376,0.2014588059641873,0.014519721339597114,0.0005284365678008829,0.0015817429695494933,0.00033242690742540937,-1.811696569398169e-05,1.4175573730179636e-05,7.570434366055423e-07,1.1954628420518532e-07,1.9528789696465765e-09,0,0,0,0,0,0,0,894,298,1.0,5.297016861219196,0.5461489291776204,0.036488738313327634,0.003194971235689079,0.0408745251893934,-0.02139067056640115,0.17714501055905038,0.0035614188878732023,0.5022371364653244,0.5100671140939598,0.13564530090800042,-0.025981627416307218,0.772852933304352,0.4664429530201342,46,0.025121433967154824,-0.033371048635615796,0.9673710482039625,0.9999885156822524,1.0,884,894,10,5.5079023302829814e-08,3.0,20.0,11.040723981900452,226.0,0.00011143156202854824,0.05270525188464634,10,0
64,D2_S2T1,1064,0.01729374463130018,-0.0717357881712563,0.027773605362673072,526,2859,881,a5c13cd410944028,0.033332469217993745,0.1566840023593974,0.018619639685238054,-0.005995921096898615,0.003267233454676166,0.0006156622359940744,-7.582194240796092e-06,8.471278193145082e-06,1.3279732600235405e-06,3.5524546415643954e-08,1.1949926603804784e-08,0,0,0,0,0,0,0,881,297,1.0,5.300907911802853,0.5758678669848409,0.03711104082191809,0.0033688270218613214,0.04274181382400616,-0.02054798028082372,0.19074594525757413,0.011888997576380067,0.5096481271282634,0.5209988649262202,0.13949202994910379,-0.017994973378336332,0.7739049424691544,0.47474747474747475,47,0.04552935849359629,-0.0409356433791912,0.9666675307820063,0.9999902723968217,1.0,871,881,10,1.8131566537183495e-08,3.0,21.0,11.188289322617681,226.0,9.171216628004184e-05,0.055809460296751226,10,0
65,D2_S2T1,1065,0.01875517980469743,-0.0789112761465353,0.027459358425063373,526,2859,889,0de11d3a25cbbe6f,0.03274460626423164,0.17526339189183915,0.013757261726378367,-0.0005914045275701163,0.0006267867841263097,0.0002308130365253902,-5.4422926085706536e-06,7.283534043445172e-06,6.79152610594258e-07,1.4031258910307542e-07,1.2169721896881924e-08,0,0,0,0,0,0,0,889,291,1.0,5.30566364029399,0.5292106423425043,0.03451119638238179,0.00309588225770365,0.039566164971308555,-0.022156584539702484,0.19442318764547084,0.007307757287317473,0.5050618672665916,0.5163104611923509,0.14697972716116223,-0.021772924836234164,0.8085106134016478,0.47079037800687284,52,0.019865678189083618,-0.07504051290004748,0.9672553937357684,0.9999912511152191,1.0,879,889,10,3.151267068073763e-08,3.0,20.200000000000045,11.073947667804322,226.0,0.00012285779258331496,0.05097952433535194,10,0
66,D2_S2T1,1066,0.020330831867071186,-0.06499896808472552,0.028342021550712113,526,2859,886,9a60c1ed4ca73769,0.03321740671973976,0.2001382324070844,0.007363607185553178,-0.0016581592604070217,0.001558220476548522,0.0003396234134172005,-5.9307021010868155e-06,9.978355732576105e-06,2.6034488342929762e-08,2.134525378671981e-08,4.694831146068168e-08,0,0,0,0,0,0,0,886,295,1.0,5.286208387375702,0.5551599431097446,0.036737836520711255,0.003247685667192013,0.0420673457337008,-0.0220158191915365,0.18447382086095512,0.01166532150720323,0.5112866817155757,0.5214446952595937,0.12872774122467806,-0.02339179647908507,0.732047758814477,0.4711864406779661,49,0.023402512902115813,-0.04782610342724447,0.9667825932802603,0.9999914728384985,1.0,876,886,10,8.611370807394473e-08,3.0,21.0,11.170091324200913,226.0,0.00010983979646837417,0.05420352608694031,10,0
67,D2_S2T1,1067,0.0189961189339376,-0.07102995489392508,0.027667510549523315,526,2859,885,8bc23b4f2b7ea786,0.033425084886119345,0.1639569483100538,0.02382140417274292,0.0002909012611360673,0.0015862093805842914,0.00042524352575479263,-1.941262111282427e-05,4.920728402302288e-06,2.62982278176338e-06,1.6707024608209053e-07,3.37914485282198e-08,0,0,0,0,0,0,0,885,297,1.0,5.308690012970168,0.5599887109847781,0.0365836069427447,0.00327593395926096,0.040893848487004475,-0.021352338760016853,0.17091763408339605,0.004098365525629033,0.49830508474576274,0.511864406779661,0.11962939315831637,-0.028985525325320616,0.7629233986576099,0.45454545454545453,40,0.035551107856301986,-0.042690073167366505,0.9665749151138806,0.9999894001376949,1.0,875,885,10,3.848099752828255e-08,3.0,20.0,11.11657142857143,226.0,0.00011565130877017296,0.05462456082006493,10,0
68,D2_S2T1,1068,0.02003339034503515,-0.062303104804070315,0.027305462056422945,526,2859,883,2351a8f92b1040bb,0.03341175409568926,0.18732326141347144,0.013297660346056395,-0.0009616642771629325,0.0030481752437836462,0.00026418246591886074,-5.597132941237426e-06,9.503198321603179e-06,1.0150071623193924e-06,7.914667099484518e-08,1.7502206794972608e-08,0,0,0,0,0,0,0,883,294,1.0,5.305231301340251,0.5249018184265852,0.03462022165119357,0.0030706756377955205,0.04143041052790369,-0.021352338760016853,0.18670660749734108,0.008146627995184508,0.5016987542468856,0.5152887882219706,0.1369507185732484,-0.016857453413279988,0.7736742163873924,0.47959183673469385,43,0.027564012588817976,-0.025806453892040393,0.9665882459043108,0.9999921227931652,1.0,873,883,10,4.2428748596591604e-08,3.0,20.0,11.15807560137457,226.0,0.00010589525329226425,0.05080616866348304,10,0
69,D2_S2T1,1069,0.020741346337013633,-0.06802595110355694,0.02736136549576965,526,2859,879,c2ebb66b36fe2a96,0.03355048780719361,0.1785919237221525,0.0275578656785036,-0.0009596676026114581,0.0028698937465634344,0.00039805707173501403,-8.528664697471378e-06,1.0691819681607484e-05,7.391137195611464e-07,1.7746429037401867e-07,1.938435456594334e-08,0,0,0,0,0,0,0,879,300,1.0,5.300043233895374,0.5391966138299845,0.035757249380844285,0.0031543001909054157,0.045685144099256635,-0.02011489979313663,0.19084210600540305,0.004132181513522459,0.49829351535836175,0.5142207053469852,0.1551451391336754,-0.018321102947899404,0.8202079865955677,0.4766666666666667,43,0.018578306995714403,-0.04782610342724447,0.9664495121928063,0.9999918674294535,1.0,869,879,10,2.5360113078704392e-08,3.0,20.200000000000045,11.22324510932106,226.0,8.880630713940963e-05,0.05308977519536128,10,0
70,D2_S2T1,1070,0.018643926136532096,-0.06507419068688677,0.02735072083651845,526,2859,883,a76949defd00e87f,0.03509957628788899,0.16282126464356295,0.0201498085566032,0.00041231087932969146,0.0021743388177077883,0.001006635305506931,-1.2282792254847408e-05,1.3051574578204495e-05,3.2501379343408132e-06,1.553592947622917e-07,2.8281598840607103e-08,0,0,0,0,0,0,0,883,292,1.0,5.280155642023346,0.5856607032345077,0.03814840117304298,0.003426115113921867,0.04213167259330209,-0.021875053843370518,0.18627320429618094,0.004098365525629033,0.5005662514156285,0.5107587768969423,0.15718859551851044,-0.018321102947899404,0.8450137996227954,0.476027397260274,44,0.04350441553006446,-0.042690073167366505,0.9649004237121109,0.9999868236850592,1.0,873,883,10,5.7739323571170065e-08,3.0,21.0,11.217640320733103,226.0,0.00013805317778088622,0.05697424790385933,10,0
71,D2_S2T1,1071,0.021067051977344153,-0.064484232547958,0.027215227688636146,526,2859,875,f27611755829da46,0.03565067801086194,0.1921302903643014,0.02508731977489509,-0.0077684227984204934,0.003886740858671356,0.00022045101274548173,-3.7078415222602246e-06,6.867226967965934e-06,3.6510323497829233e-07,2.8449776090511136e-08,2.2061737547929283e-08,0,0,0,0,0,0,0,875,297,1.0,5.2905317769131,0.5465429103471381,0.036400033760190464,0.003197276025530767,0.04273313031013169,-0.02011489979313663,0.1836746975064133,0.015155293900712685,0.5074285714285715,0.5245714285714286,0.12927107643265692,-0.028571458353529366,0.767131435316819,0.468013468013468,40,0.00734035915801517,-0.04645404463916275,0.9643493219891383,0.9999946985579663,1.0,865,875,10,3.043481988616947e-08,3.0,21.0,11.300578034682081,226.0,9.692410068341802e-05,0.053979170221358674,10,0
72,D2_S2T1,1072,0.019666483487237763,-0.06727330361012428,0.02729032493859354,526,2859,881,707f9c50a9addc48,0.03495693498173346,0.18446907313452932,0.020359156597093753,-0.006300402711201136,0.0005217447783030238,0.00020054405438441059,6.550323661258517e-08,1.2779737176504824e-05,1.4023412397978774e-06,1.5263169039769764e-07,1.9696422270953917e-08,0,0,0,0,0,0,0,881,297,1.0,5.319498486813662,0.571746389505293,0.03763666255439423,0.0033447163786059653,0.04173941410236216,-0.021802325681736456,0.179138749003323,0.007307757287317473,0.5028376844494892,0.5164585698070374,0.1419410587561284,-0.017170743608035277,0.8011035047600139,0.4781144781144781,44,0.02586613655915603,-0.04613530319139314,0.9650430650182668,0.9999917019108526,1.0,871,881,10,4.690188219345203e-08,3.0,21.0,11.14580941446613,226.0,9.861705968578571e-05,0.05619287744277338,10,0
73,D2_S2T1,1073,0.018577539816734268,-0.06130285190392344,0.027387228158521387,526,2859,886,420a5d2f5d34bb5d,0.03430479473919003,0.18083824604594056,0.004973954253428392,0.0020141410335527965,0.0004000634576479811,0.00016928677320393604,-1.1743676172848438e-05,2.0731092478909474e-05,1.2311582366919538e-06,1.0588032584024631e-07,2.549104594073981e-08,0,0,0,0,0,0,0,886,290,1.0,5.307825335062689,0.5711754359733939,0.03721567489963425,0.003341376300444368,0.040383486106548495,-0.022424562897791156,0.18589757854501593,0.004541368939270152,0.5067720090293454,0.5112866817155757,0.145395869045992,-0.029015579242591072,0.8562443917237833,0.46206896551724136,45,0.05871469247225001,-0.025806453892040393,0.96569520526081,0.99998616376104,1.0,876,886,10,2.9877457877967597e-08,3.0,21.0,11.106164383561644,226.0,0.00015484748178065563,0.05494919146471044,10,0
