key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis,last_price
2008-04-23_2509,2008-04-23,2509,全坤建,twse,43.10,43.20,41.80,42.10,2085405,88130959,-1.2,,,871,,
2008-04-23_2511,2008-04-23,2511,太子,twse,29.30,29.40,28.20,28.55,15608136,449375536,-0.95,,,4006,,
2008-04-23_2514,2008-04-23,2514,龍邦,twse,19.80,19.80,19.20,19.45,909305,17680301,-0.35,,,322,,
2008-04-23_2515,2008-04-23,2515,中工,twse,11.20,11.30,10.90,11.05,19232677,212830497,-0.15,,,3630,,
2008-04-23_2516,2008-04-23,2516,新建,twse,8.90,8.90,8.73,8.75,1026705,9028722,-0.22,,,296,,
2008-04-23_2520,2008-04-23,2520,冠德,twse,25.10,26.30,24.00,26.00,22950674,582571368,0.9,,,6280,,
2008-04-23_2524,2008-04-23,2524,京城,twse,61.00,61.00,57.50,58.50,12292325,728926774,-2.0,,,4402,,
2008-04-23_2526,2008-04-23,2526,大陸,twse,26.50,26.55,25.80,26.10,2984112,77598649,-0.3,,,994,,
2008-04-23_2527,2008-04-23,2527,宏璟,twse,20.90,20.90,20.30,20.75,585000,12013750,-0.25,,,178,,
2008-04-23_2528,2008-04-23,2528,皇普,twse,3.50,3.50,3.40,3.40,45894,159450,-0.13,,,4,,
2008-04-23_2530,2008-04-23,2530,華建,twse,12.45,12.45,11.90,12.05,9363559,114089124,-0.45,,,1955,,
2008-04-23_2534,2008-04-23,2534,宏盛,twse,35.00,35.20,33.70,34.35,12987700,444513693,-0.5,,,3815,,
2008-04-23_2535,2008-04-23,2535,達欣工,twse,25.90,26.55,25.05,25.80,4566961,117848242,-0.2,,,1560,,
2008-04-23_2536,2008-04-23,2536,宏普,twse,58.00,58.00,54.50,57.90,5847206,325201243,0.0,,,2109,,
2008-04-23_2537,2008-04-23,2537,聯上發,twse,9.89,10.30,9.89,10.30,2524,25403,-0.3,,,4,,
2008-04-23_2538,2008-04-23,2538,基泰,twse,27.60,27.70,26.35,27.00,3945570,106269771,-0.6,,,1390,,
2008-04-23_2539,2008-04-23,2539,櫻花建,twse,,,,,0,0,0.0,,,0,無成交,
2008-04-23_2540,2008-04-23,2540,愛山林,twse,10.90,10.90,10.90,10.90,2000,21800,-0.75,down,,2,,
2008-04-23_2542,2008-04-23,2542,興富發,twse,56.00,56.50,54.00,54.80,16754067,918657924,-1.8,,,5454,,
2008-04-23_2543,2008-04-23,2543,皇昌,twse,13.20,13.20,12.80,12.80,2190891,28312622,-0.4,,,558,,
2008-04-23_2545,2008-04-23,2545,皇翔,twse,95.30,97.00,90.30,91.80,2472949,227900647,-5.2,,,1098,,
