fake_i,seed_f,n_selected,sig_rows,A,D,ratio_cell,ratio_seedmed,eq_sha_200
42,103042,3139,3138,0.03197100935330699,-0.40798952604928024,0.07836232871685357,0.07471728823039543,e6dc5ae78801bd5c
43,103043,3139,3139,0.06776098715432066,-0.4089509457456534,0.1656946581472501,0.17145792810547483,4eb4d7a5d3f1ea90
44,103044,3139,3137,0.022868101630675874,-0.42879101612978376,0.05333157825245644,0.05293874434471469,ad54f9cf118563fa
45,103045,3139,3139,0.06705023502662921,-0.40121682279777193,0.16711720749661838,0.16122159869919456,1ab8ea1e578f5b1d
46,103046,3139,3139,0.03458808048338624,-0.4266887295450991,0.08106162194689615,0.07922517366775217,4b300071622add0a
47,103047,3139,3138,0.014253302818313274,-0.4296486168139889,0.033174324926278226,0.030987476864514925,6272666a7ed3d0ce
48,103048,3139,3138,0.024110675636307755,-0.4506357504871424,0.05350369030917729,0.05107233440807067,91a65f0cb91afd7b
49,103049,3139,3139,0.05406120778689916,-0.4288969001430537,0.1260470937627846,0.12768084006193747,f21cca84cf6f2f04
50,103050,3139,3139,0.034464749927002436,-0.43391749715390404,0.07942696515595522,0.08090377954325326,ad4f5ac6da72372b
51,103051,3139,3137,0.041376770156007936,-0.41939236545770886,0.09865885400858669,0.10334050237391049,aa15604bbc668d08
52,103052,3139,3139,0.04400896971991086,-0.41251150138973336,0.1066854368221166,0.10439677589374399,77a224a6d0e494cf
53,103053,3139,3138,0.08308503346773377,-0.4071729560100189,0.20405341818843534,0.19879717242975148,b1b0f2b9f872317d
54,103054,3139,3138,0.059151060858615545,-0.4442495673893977,0.13314826890257367,0.13478480738336698,50b21ab052ab9e26
55,103055,3139,3139,0.0481280310995128,-0.43992698381052986,0.10940004334955922,0.10757533364447716,4bef0da1eccc0905
56,103056,3139,3139,0.10769080227190053,-0.37223941884448397,0.2893052074017237,0.28568004995909935,7369a81716b9341a
57,103057,3139,3139,-0.0021470829154485727,-0.43515068007263913,-0.004934113661709464,-0.004978811284260894,40b06f381cca33de
58,103058,3139,3139,0.028865393656111626,-0.42401464567070746,0.06807640714969238,0.06477465577002195,3139cc8f43985610
59,103059,3139,3139,0.11096356197251267,-0.4294008977818895,0.2584148345886218,0.25790531643328474,64e7c9337d6e1444
60,103060,3139,3139,0.06196235556183838,-0.44431130623278436,0.13945707591193943,0.1385128292054295,0f2a4895801be47c
61,103061,3139,3139,0.07452351139913205,-0.3904950534489312,0.19084367584409928,0.1929731543703423,9287bf6563263d32
62,103062,3139,3138,0.03058456042915303,-0.43355790941250816,0.07054319564968052,0.06896283659776804,778e6bb78589152a
63,103063,3139,3139,0.03671528136868085,-0.4394565581044219,0.08354700980467952,0.08455430575317127,4e77ddf12743fbca
64,103064,3139,3138,0.015804157059970736,-0.43688111201372126,0.03617496070526933,0.03641520111716185,0d2cb23984672e6c
65,103065,3139,3139,0.0997045881205958,-0.390934577231679,0.2550416205868329,0.25741553744035284,1dbb50e4a544c49a
66,103066,3139,3139,0.036789789037314,-0.46716757462655056,0.0787507332175685,0.08176154143311015,29695f75bbb9a3cd
67,103067,3139,3139,0.06871660600132312,-0.4221230334856154,0.16278809861169247,0.1608906835731077,3d8ab699c769a45b
68,103068,3139,3139,0.05412363962228006,-0.43825890225433684,0.12349695429773663,0.11776511574149327,b9dae7d73047662d
69,103069,3139,3139,0.04988205559361181,-0.40672319601690154,0.12264374415355189,0.11742660781400369,5ad246a0e6918065
70,103070,3139,3139,0.0423128374645414,-0.44619045608716407,0.09483133690397787,0.09465445420527263,f4622f6f59c37e47
71,103071,3139,3138,0.02907383692042853,-0.4391950231037647,0.0661980108858372,0.0679082841564691,0d390beced8b2e4b
72,103072,3139,3136,0.01807535068263655,-0.4369442201138122,0.04136763882110263,0.043410376934724035,373323c98443d7db
73,103073,3139,3139,-0.0021833994799550505,-0.4480622234873476,-0.004872982736552227,-0.0046034146159869786,4e6bc7b8ff32b4bc
74,103074,3139,3139,0.04633934026860542,-0.40890361611662807,0.11332582653264786,0.11564887258750699,036cc6cd0c4c7007
75,103075,3139,3139,0.04677573515243583,-0.41012429278927387,0.11405258350904292,0.12079402576833748,8787bc17f1c9c32a
76,103076,3139,3139,0.062415339802615155,-0.39199614946838596,0.15922436964562298,0.15991480723246848,8bc1da33cd0370ac
77,103077,3139,3139,0.06450849118393664,-0.41244297217299836,0.15640584404691635,0.1553868014583949,8bf255b773aef388
78,103078,3139,3139,0.08594087156141494,-0.40762158461164266,0.2108349381039138,0.21951053887994526,06c0ee165cf7ec78
79,103079,3139,3138,0.04486285966164516,-0.44776693574973647,0.1001924351259372,0.10550567753556031,595c9a472a63faeb
80,103080,3139,3139,0.056989115086057085,-0.44563586529673116,0.12788269419946777,0.13080748804213516,8d249c4debb6cedb
81,103081,3139,3139,0.03085098202781167,-0.4573717858817049,0.06745274409163271,0.06765896854410161,32389fcd5ced4b5c
82,103082,3139,3139,0.06800908566892117,-0.3802614939959462,0.17884820509763782,0.18046101865822112,13a2eaece19e43f2
83,103083,3139,3137,0.08811521320954252,-0.3949861157581277,0.2230843305477108,0.21034827901100828,81884f3f1925fb90
84,103084,3139,3139,0.07575071467562167,-0.3695670311467374,0.20497151610243253,0.20761335544093393,ba601d4775d774fd
85,103085,3139,3139,0.025364598887703482,-0.41677830134069194,0.06085873186322482,0.058426375245520065,1a62dee040e5b961
86,103086,3139,3139,0.03958804064061794,-0.41777118778335987,0.09476010265491736,0.09638478428997868,73e459b9c38bb0e5
87,103087,3139,3139,0.04027774407890128,-0.43288089511210337,0.09304578819185479,0.09990803700470519,2dec814f19ffef01
88,103088,3139,3139,0.023772296563002393,-0.4038095800140299,0.058870065841866485,0.05963694234475937,8cd658d1fe5e729f
89,103089,3139,3139,0.04184126273464717,-0.4203872186544373,0.09953029225905444,0.100394464433193,9dde8d9359332d98
90,103090,3139,3139,0.02557143241974391,-0.4230660948065037,0.06044311452431429,0.059060873017567864,281a6ec6def5cff9
91,103091,3139,3138,0.029361762532976066,-0.39903599414782587,0.07358173940092928,0.07457201108944522,beb3015e1bf9ea0a
92,103092,3139,3139,0.055341617212081196,-0.40958124774667626,0.13511755608086257,0.1409906652134959,42caaafc9b26577d
93,103093,3139,3139,0.04438040293989853,-0.4218043972132597,0.10521560048474385,0.1087256059732277,ad6f073f7fa748c4
94,103094,3139,3138,0.061058919276171575,-0.4219414852647642,0.14470944765684202,0.1443856068133299,f5c0cf74e45bf101
95,103095,3139,3139,0.08438334226396282,-0.41551882132809564,0.20307947061038983,0.20488136244860014,b98f0fa893f8bf2e
96,103096,3139,3139,0.024102073318412076,-0.4419887927182466,0.05453096032182961,0.051936784463493355,00abf5c6473ad8e0
97,103097,3139,3139,0.05906698478735861,-0.39225951387348246,0.15058139496499198,0.14445500751428247,8ba9b182292552ef
98,103098,3139,3138,0.024797152700858915,-0.4164823719555926,0.059539501238489174,0.06406695345084473,700433ad85bcd210
99,103099,3139,3138,0.06422916484337271,-0.4211684246227585,0.15250232706999087,0.14900128923520709,7d05c622518d1690
100,103100,3139,3139,0.11144607821847363,-0.39669888263538555,0.28093368319594214,0.30046881026188677,dea4f7946b719363
101,103101,3139,3139,0.020146411963646527,-0.4268223795705428,0.04720092696150868,0.04583031698664053,5cedd248a0ab80dc
102,103102,3139,3139,0.06335531507395231,-0.40781160677976436,0.15535436956841417,0.16257906372190445,5fee3b579e01956c
103,103103,3139,3139,0.08237561614853872,-0.39279527376163587,0.20971641374312358,0.21629586511233903,f1bde0d9458c5577
104,103104,3139,3139,0.08060317799999506,-0.41522633885798477,0.19411865398924721,0.19291707089055704,ed14cfa4aa12584d
105,103105,3139,3139,0.029008571568164387,-0.4246490248806618,0.06831187608712067,0.0664041165920711,71d1928f915ea2d5
106,103106,3139,3139,0.07203290402071838,-0.38848856292067574,0.18541833890596812,0.18231208109379066,6c7a6357783ae8b3
107,103107,3139,3138,0.01617246973675901,-0.44465063528201987,0.036371183247048806,0.0385996363625519,b5befb1cdc4d7a5f
