=== researchExplore_fakecond 2026-09-25 23:54（台北）out=backtest/resultsExplore/fakecond only=None procs=2
[前置] 量測日 72｜母體 31,106 股-月｜S0 候選母體 31,101 列
  FAKE121 抽 3,139／訊號 3,139｜年化中位 +3.4219% 回落中位 -39.7411% 比值(甲) 0.0861｜467s
  FAKE122 抽 3,139／訊號 3,139｜年化中位 +6.2496% 回落中位 -40.2850% 比值(甲) 0.1551｜470s
  FAKE123 抽 3,139／訊號 3,139｜年化中位 +4.0037% 回落中位 -43.0118% 比值(甲) 0.0931｜473s
  FAKE124 抽 3,139／訊號 3,139｜年化中位 +6.8959% 回落中位 -42.0972% 比值(甲) 0.1638｜476s
  FAKE125 抽 3,139／訊號 3,139｜年化中位 +13.4657% 回落中位 -37.0341% 比值(甲) 0.3636｜480s
  FAKE126 抽 3,139／訊號 3,138｜年化中位 +4.5242% 回落中位 -39.0426% 比值(甲) 0.1159｜483s
  FAKE127 抽 3,139／訊號 3,139｜年化中位 +7.2250% 回落中位 -42.7243% 比值(甲) 0.1691｜486s
  FAKE128 抽 3,139／訊號 3,138｜年化中位 +4.1789% 回落中位 -43.1906% 比值(甲) 0.0968｜489s
  FAKE129 抽 3,139／訊號 3,139｜年化中位 +7.5557% 回落中位 -40.1633% 比值(甲) 0.1881｜494s
  FAKE130 抽 3,139／訊號 3,138｜年化中位 +6.8548% 回落中位 -40.9438% 比值(甲) 0.1674｜497s
  FAKE131 抽 3,139／訊號 3,139｜年化中位 +5.8548% 回落中位 -40.8913% 比值(甲) 0.1432｜499s
  FAKE132 抽 3,139／訊號 3,139｜年化中位 +7.4841% 回落中位 -41.8622% 比值(甲) 0.1788｜502s
  FAKE133 抽 3,139／訊號 3,139｜年化中位 +3.6934% 回落中位 -42.2492% 比值(甲) 0.0874｜505s
  FAKE134 抽 3,139／訊號 3,138｜年化中位 +4.2707% 回落中位 -45.6356% 比值(甲) 0.0936｜508s
  FAKE135 抽 3,139／訊號 3,139｜年化中位 +4.0560% 回落中位 -42.0550% 比值(甲) 0.0964｜511s
  FAKE136 抽 3,139／訊號 3,137｜年化中位 +5.7266% 回落中位 -40.5977% 比值(甲) 0.1411｜515s
  FAKE137 抽 3,139／訊號 3,139｜年化中位 +4.3343% 回落中位 -41.7605% 比值(甲) 0.1038｜518s
  FAKE138 抽 3,139／訊號 3,137｜年化中位 +4.3255% 回落中位 -42.3274% 比值(甲) 0.1022｜521s
  FAKE139 抽 3,139／訊號 3,139｜年化中位 +6.3202% 回落中位 -42.2486% 比值(甲) 0.1496｜524s
  FAKE140 抽 3,139／訊號 3,139｜年化中位 +4.2972% 回落中位 -45.4304% 比值(甲) 0.0946｜527s
  FAKE141 抽 3,139／訊號 3,139｜年化中位 +7.9262% 回落中位 -38.6555% 比值(甲) 0.2050｜530s
  FAKE142 抽 3,139／訊號 3,139｜年化中位 +5.6521% 回落中位 -40.7665% 比值(甲) 0.1386｜532s
  FAKE143 抽 3,139／訊號 3,139｜年化中位 +4.0798% 回落中位 -41.1663% 比值(甲) 0.0991｜535s
  FAKE144 抽 3,139／訊號 3,139｜年化中位 +4.4921% 回落中位 -39.2276% 比值(甲) 0.1145｜538s
  FAKE145 抽 3,139／訊號 3,139｜年化中位 +0.8949% 回落中位 -42.0270% 比值(甲) 0.0213｜541s
  FAKE146 抽 3,139／訊號 3,139｜年化中位 +4.1334% 回落中位 -43.4874% 比值(甲) 0.0950｜544s
  FAKE147 抽 3,139／訊號 3,139｜年化中位 +11.4194% 回落中位 -41.2405% 比值(甲) 0.2769｜546s
  FAKE148 抽 3,139／訊號 3,139｜年化中位 +4.3107% 回落中位 -43.2593% 比值(甲) 0.0996｜549s
  FAKE149 抽 3,139／訊號 3,139｜年化中位 +2.9901% 回落中位 -41.6507% 比值(甲) 0.0718｜552s
  FAKE150 抽 3,139／訊號 3,137｜年化中位 +1.3194% 回落中位 -44.2145% 比值(甲) 0.0298｜555s
  FAKE151 抽 3,139／訊號 3,139｜年化中位 +0.9690% 回落中位 -42.8461% 比值(甲) 0.0226｜558s
  FAKE152 抽 3,139／訊號 3,139｜年化中位 +6.6698% 回落中位 -42.1601% 比值(甲) 0.1582｜561s
  FAKE153 抽 3,139／訊號 3,139｜年化中位 +9.5622% 回落中位 -40.4337% 比值(甲) 0.2365｜564s
  FAKE154 抽 3,139／訊號 3,138｜年化中位 +8.9991% 回落中位 -40.1986% 比值(甲) 0.2239｜567s
  FAKE155 抽 3,139／訊號 3,138｜年化中位 +5.0017% 回落中位 -40.9586% 比值(甲) 0.1221｜569s
  FAKE156 抽 3,139／訊號 3,139｜年化中位 +2.9250% 回落中位 -42.2238% 比值(甲) 0.0693｜572s
  FAKE157 抽 3,139／訊號 3,138｜年化中位 +4.0254% 回落中位 -44.5388% 比值(甲) 0.0904｜575s
  FAKE158 抽 3,139／訊號 3,139｜年化中位 +5.1583% 回落中位 -42.6059% 比值(甲) 0.1211｜579s
  FAKE159 抽 3,139／訊號 3,138｜年化中位 +2.3421% 回落中位 -41.6576% 比值(甲) 0.0562｜581s
  FAKE160 抽 3,139／訊號 3,138｜年化中位 +7.2729% 回落中位 -40.6955% 比值(甲) 0.1787｜584s
  FAKE161 抽 3,139／訊號 3,139｜年化中位 +8.0337% 回落中位 -37.6970% 比值(甲) 0.2131｜587s
  FAKE162 抽 3,139／訊號 3,138｜年化中位 +1.4902% 回落中位 -48.1905% 比值(甲) 0.0309｜590s
  FAKE163 抽 3,139／訊號 3,138｜年化中位 +0.5355% 回落中位 -44.5669% 比值(甲) 0.0120｜593s
  FAKE164 抽 3,139／訊號 3,138｜年化中位 +8.0898% 回落中位 -42.2619% 比值(甲) 0.1914｜596s
  FAKE165 抽 3,139／訊號 3,139｜年化中位 +4.3736% 回落中位 -42.0124% 比值(甲) 0.1041｜599s
  FAKE166 抽 3,139／訊號 3,139｜年化中位 +5.4238% 回落中位 -37.0585% 比值(甲) 0.1464｜602s
  FAKE167 抽 3,139／訊號 3,139｜年化中位 +3.2407% 回落中位 -40.4178% 比值(甲) 0.0802｜605s
  FAKE168 抽 3,139／訊號 3,138｜年化中位 +4.5416% 回落中位 -39.7546% 比值(甲) 0.1142｜607s
  FAKE169 抽 3,139／訊號 3,138｜年化中位 +4.3731% 回落中位 -41.4268% 比值(甲) 0.1056｜610s
  FAKE170 抽 3,139／訊號 3,138｜年化中位 +6.2907% 回落中位 -40.9282% 比值(甲) 0.1537｜613s
[讀法丙 甲式] 171 次最大 0.3636｜p50 0.1090 p95 0.2235 p99 0.2834｜F09+F17 0.502 分位 1.000 ＞最大；F11+F13 0.455 分位 1.000 ＞最大；F09+F13 0.453 分位 1.000 ＞最大；F06+F11 0.392 分位 1.000 ＞最大；F04+F18 0.391 分位 1.000 ＞最大
完成｜614s
