fake_i,seed_f,cell,seed,cagr,mdd,tr,expo,vol,trades,eq_sha,n_selected,sig_rows
0,103000,FAKE000,102084,-0.006317780651462601,-0.4972558699765589,-0.036440973600779025,0.9184668989547038,0.24446027129883546,96,cf63bebb1eedcbc4,3139,3139
0,103000,FAKE000,102085,0.07608891538007279,-0.4459901755553141,0.5365235114399112,0.9184668989547038,0.24813451138969833,96,663a0027335d81e2,3139,3139
0,103000,FAKE000,102086,0.13588622883306867,-0.41116516076595616,1.109133304602962,0.9183698295211139,0.24084912483909557,96,1ce2d0fbe457e080,3139,3139
0,103000,FAKE000,102087,0.061672997457489,-0.38603726559143303,0.4198146814782824,0.9184668989547038,0.21483399509574566,96,6a65d7861f48af86,3139,3139
0,103000,FAKE000,102088,0.028696553600405572,-0.3737555549466312,0.18023470943115516,0.9184668989547038,0.22255641555829334,96,401cadd3f0e924ea,3139,3139
0,103000,FAKE000,102089,0.02883550252763234,-0.40901377083505097,0.18116874750010536,0.9184668989547038,0.22534320486660966,96,2393a9af10c41bda,3139,3139
0,103000,FAKE000,102090,0.07928953457144927,-0.37480252331570196,0.5634852926995435,0.9182966204588583,0.22767823216131586,96,f34bbc04a11b2c66,3139,3139
0,103000,FAKE000,102091,-0.014305971859993494,-0.4222346378111693,-0.08093392749371486,0.9184668989547038,0.22130160238347452,96,6d3f38da149249cc,3139,3139
0,103000,FAKE000,102092,0.062373056723394216,-0.41326047709191827,0.42530701649311764,0.9179706251275891,0.22787800360481764,96,243b872cc737c9c7,3139,3139
0,103000,FAKE000,102093,0.06420122806846518,-0.4114429905662033,0.4397331286598116,0.9184668989547038,0.21975581100502506,96,77ee77230a2b9a7b,3139,3139
0,103000,FAKE000,102094,0.05671057901536458,-0.393751892071515,0.3813827806586447,0.9179743823850618,0.2217448552924845,96,b5ff50d339c0e7eb,3139,3139
0,103000,FAKE000,102095,0.06575405564809866,-0.4038678206451612,0.4520814078595845,0.9184668989547038,0.2339548715293982,96,7688a4c8b08ce801,3139,3139
0,103000,FAKE000,102096,0.03617173913434257,-0.406927260364357,0.23136250014102866,0.9184167456103957,0.20625584504495187,96,0de06c2d3a549d5c,3139,3139
0,103000,FAKE000,102097,-0.02995160383008111,-0.4599640860661274,-0.16315106332949159,0.9184668989547038,0.2262890058910048,96,70cce7b67dfc32f4,3139,3139
0,103000,FAKE000,102098,0.11555773611974529,-0.47880759793688726,0.8974386152902001,0.9184668989547038,0.23944616483996964,96,7c307d5c121f32f4,3139,3139
0,103000,FAKE000,102099,0.1613820323195001,-0.4136238321461694,1.4019748692548886,0.9178887536923703,0.24040805320203248,96,0cd5d71d1b1d41e3,3139,3139
0,103000,FAKE000,102100,0.037327965956444276,-0.4566295596713386,0.2394322495602037,0.9184668989547038,0.225599742283201,96,84dac902d4799928,3139,3139
0,103000,FAKE000,102101,-0.026008198712930697,-0.44992376829626934,-0.14302774040170319,0.9184668989547038,0.22560488848540414,96,6f66b884014548f2,3139,3139
0,103000,FAKE000,102102,0.068422324083798,-0.4354752489604509,0.4735049069591504,0.9184668989547038,0.23085362156895634,96,fc9b4ec3ef49b9f8,3139,3139
0,103000,FAKE000,102103,0.03112355848375814,-0.4872916540240072,0.19663782600482826,0.9184668989547038,0.22803293101430466,96,d85e16f03a25c039,3139,3139
0,103000,FAKE000,102104,0.06760165569121401,-0.4677194894632903,0.46688804519957494,0.9182018042437052,0.23133511871120013,96,1567a361a26ba4c7,3139,3139
