讀法,鍵,選項,是否◇,型態,買法,事件數,區段數,買到比例,同日比例_全部,同日比例_買到中,狀態,該讀法下可判定格數
"Q2 硬斷點「[型態第一個轉折, 終點] 內」的內容",brk,乙,False,頭肩底,D,3608,38,0.6349778270509978,0.6349778270509978,1.0,可判定,14
"Q2 硬斷點「[型態第一個轉折, 終點] 內」的內容",brk,乙,False,頭肩底,E,3608,38,0.14440133037694014,0.0,0.0,可判定,14
"Q2 硬斷點「[型態第一個轉折, 終點] 內」的內容",brk,乙,False,頭肩底,F,3608,38,0.054046563192904656,0.0,0.0,可判定,14
"Q2 硬斷點「[型態第一個轉折, 終點] 內」的內容",brk,乙,False,箱型,A,12768,38,1.0,1.0,1.0,基準（不判）,14
"Q2 硬斷點「[型態第一個轉折, 終點] 內」的內容",brk,乙,False,箱型,B,12768,38,0.8713189223057645,0.7629229323308271,0.8755955056179775,可判定,14
"Q2 硬斷點「[型態第一個轉折, 終點] 內」的內容",brk,乙,False,箱型,D,12768,38,0.2886121553884712,0.2886121553884712,1.0,可判定,14
"Q2 硬斷點「[型態第一個轉折, 終點] 內」的內容",brk,乙,False,箱型,E,12768,38,0.15053258145363407,0.0,0.0,可判定,14
"Q2 硬斷點「[型態第一個轉折, 終點] 內」的內容",brk,乙,False,箱型,F,12768,38,0.023496240601503758,0.0,0.0,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,excl,True,W 底,A,4897,38,1.0,1.0,1.0,基準（不判）,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,excl,True,W 底,B,4897,38,0.6716356953236675,0.36593832958954464,0.5448464578899361,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,excl,True,W 底,C,4897,38,0.5885235858688993,0.0,0.0,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,excl,True,W 底,D,4897,38,0.7670002042066572,0.7670002042066572,1.0,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,excl,True,W 底,E,4897,38,0.1206861343679804,0.0,0.0,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,excl,True,W 底,F,4897,38,0.0649377169695732,0.0,0.0,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,excl,True,頭肩底,A,3023,38,1.0,1.0,1.0,基準（不判）,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,excl,True,頭肩底,B,3023,38,0.600396956665564,0.31524975190208404,0.525068870523416,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,excl,True,頭肩底,C,3023,38,0.6146212371816077,0.0,0.0,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,excl,True,頭肩底,D,3023,38,0.6321534899106848,0.6321534899106848,1.0,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,excl,True,頭肩底,E,3023,38,0.15415150512735692,0.0,0.0,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,excl,True,頭肩底,F,3023,38,0.057227919285478004,0.0,0.0,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,excl,True,箱型,A,10653,38,1.0,1.0,1.0,基準（不判）,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,excl,True,箱型,B,10653,38,0.8545010795081198,0.7320003754810851,0.8566406679116775,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,excl,True,箱型,D,10653,38,0.2296066835633155,0.2296066835633155,1.0,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,excl,True,箱型,E,10653,38,0.16136299633905943,0.0,0.0,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,excl,True,箱型,F,10653,38,0.020463719140148315,0.0,0.0,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,zero,False,W 底,A,5057,38,0.9667787225627843,0.9667787225627843,1.0,基準（不判）,14
