stock_id,name,period,market,報表日期,出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
3092,鴻碩,2026-08,twse,1150912,1150912,11508,3092,鴻碩,電子零組件業,112556,129323,129230,-12.965211138003294,-12.902576801052387,1073081,1133281,-5.3120099957556866,-
3094,聯傑,2026-08,twse,1150912,1150912,11508,3094,聯傑,半導體業,20698,21836,15896,-5.211577211943579,30.20885757423251,153428,131026,17.097369987636043,-
3130,一零四,2026-08,twse,1150912,1150912,11508,3130,一零四,數位雲端,258885,274714,230215,-5.761992472171058,12.453576005038768,1942767,1792356,8.391803860393805,-
3135,凌航,2026-08,twse,1150912,1150912,11508,3135,凌航,半導體業,1827285,1967120,540959,-7.108615641140347,237.786227791755,15056891,4350127,246.12532001939255,市場價格上漲及需求增加。
3138,耀登,2026-08,twse,1150912,1150912,11508,3138,耀登,通信網路業,140856,139577,153503,0.9163400846844394,-8.23892692650958,1125319,1048389,7.337925140382053,-
3149,正達,2026-08,twse,1150912,1150912,11508,3149,正達,光電業,194052,213946,162698,-9.29860805997775,19.271287907657133,1552407,1372490,13.108802249925319,-
3150,鈺寶-創,2026-08,twse,1150912,1150912,11508,3150,鈺寶-創,半導體業,26012,31745,28577,-18.059536934950387,-8.975749728802883,227527,228361,-0.36521122258178934,-
3164,景岳,2026-08,twse,1150912,1150912,11508,3164,景岳,生技醫療業,30302,27552,26236,9.981126596980255,15.497789297148955,250356,269499,-7.1031803457526745,-
3167,大量,2026-08,twse,1150912,1150912,11508,3167,大量,電機機械,1219982,1146916,482247,6.370649637811313,152.9786603130761,7172325,3050087,135.15148912145784,主係因客戶需求量增加所致
3168,眾福科,2026-08,twse,1150912,1150912,11508,3168,眾福科,光電業,381999,368967,275088,3.532023189065689,38.86429069970337,2640531,2241434,17.805431701312642,-
3189,景碩,2026-08,twse,1150912,1150912,11508,3189,景碩,半導體業,4809631,4548833,3421382,5.7332946714025335,40.57567965225748,32959684,24953219,32.08590042030249,-
3209,全科,2026-08,twse,1150912,1150912,11508,3209,全科,電子通路業,5371648,6601728,4214923,-18.632697378625718,27.44356183968248,46305096,32461401,42.646634382785884,-
3229,晟鈦,2026-08,twse,1150912,1150912,11508,3229,晟鈦,電子零組件業,141220,144608,78279,-2.3428855941579996,80.40598372488151,1041762,638904,63.05454340558206,本月因客戶需求增加，出貨量增加
3231,緯創,2026-08,twse,1150912,1150912,11508,3231,緯創,電腦及週邊設備業,460065063,308219198,172642595,49.26554412746217,166.4840985505344,2510029903,1262144863,98.8701912579111,主係客戶需求增加，較去年同期成長。
3257,虹冠電,2026-08,twse,1150912,1150912,11508,3257,虹冠電,半導體業,60112,62449,100637,-3.7422536790020655,-40.26848972048054,424837,713890,-40.48985137766323,-
3266,昇陽,2026-08,twse,1150912,1150912,11508,3266,昇陽,建材營造,230382,177536,56604,29.766357245854362,307.0065719737121,1432034,780229,83.54021703884372,因營建收入受政策、全部完工法及建案規模不同等影響，故營收波動較大。
3296,勝德,2026-08,twse,1150912,1150912,11508,3296,勝德,電子零組件業,201386,172487,131293,16.75430612162076,53.38669997638869,1195051,1070812,11.602316746543744,"本公司新專案產品陸續出貨及客戶需求上升, 帶動整體業績成長"
3305,昇貿,2026-08,twse,1150912,1150912,11508,3305,昇貿,其他電子業,1387596,1413913,941369,-1.8612884951195725,47.40192209431158,10786137,6680936,61.44649492226838,價格上漲
3308,聯德,2026-08,twse,1150912,1150912,11508,3308,聯德,電子零組件業,576,516,557,11.627906976744185,3.4111310592459607,4173,4401,-5.18064076346285,-
3311,閎暉,2026-08,twse,1150912,1150912,11508,3311,閎暉,通信網路業,421603,234539,206281,79.75816388745582,104.38285639491761,1840990,1592509,15.60311433090802,主係自8月底納入重要子公司FDK株式會社之營收
3312,弘憶股,2026-08,twse,1150912,1150912,11508,3312,弘憶股,電子通路業,2257992,2603514,1670212,-13.271370924066474,35.1919397058577,17078190,14426710,18.37896512787739,-
3321,同泰,2026-08,twse,1150912,1150912,11508,3321,同泰,電子零組件業,234038,259529,200133,-9.822023743011378,16.941234079337242,1626921,1408343,15.520224831592872,-
3338,泰碩,2026-08,twse,1150912,1150912,11508,3338,泰碩,電子零組件業,462010,406479,285196,13.661468366139456,61.997363216875414,2756411,2490669,10.66950285244647,客戶需求增加
3346,麗清,2026-08,twse,1150912,1150912,11508,3346,麗清,汽車工業,778923,606827,710756,28.35997739059073,9.590773767650221,4999490,5730821,-12.761365256391711,-
3356,奇偶,2026-08,twse,1150912,1150912,11508,3356,奇偶,光電業,87797,103530,72781,-15.19656138317396,20.631758288564324,752647,655870,14.755515574732797,-
3376,新日興,2026-08,twse,1150912,1150912,11508,3376,新日興,電子零組件業,830265,811285,922593,2.339498449989831,-10.00744640377718,6625619,7571956,-12.49791995621739,-
3380,明泰,2026-08,twse,1150912,1150912,11508,3380,明泰,通信網路業,2982462,1742978,1787191,71.11300314748665,66.87986902351231,15205563,13786578,10.29251058529535,主係子公司大型專案於本月認列收入，致營收較去年同期增加
3406,玉晶光,2026-08,twse,1150912,1150912,11508,3406,玉晶光,光電業,2719294,2422368,2699823,12.25767513441393,0.7211954265149975,16964508,15174051,11.799466075341384,-
3413,京鼎,2026-08,twse,1150912,1150912,11508,3413,京鼎,半導體業,2249019,2162154,1820458,4.017521416143346,23.54138354194384,16272310,13555009,20.046471381907605,-
3416,融程電,2026-08,twse,1150912,1150912,11508,3416,融程電,電腦及週邊設備業,405653,472718,347747,-14.18710520860217,16.65176119420153,3001602,2361377,27.112358594159254,-
3419,譁裕,2026-08,twse,1150912,1150912,11508,3419,譁裕,通信網路業,169467,180060,147692,-5.883038987004332,14.743520299000624,1247942,1193113,4.595457429430406,-
3432,台端,2026-08,twse,1150912,1150912,11508,3432,台端,電子零組件業,29687,23555,15914,26.032689450222882,86.54643709940933,198988,86468,130.1290650876625,主係因增加新產品出貨所致
3437,榮創,2026-08,twse,1150912,1150912,11508,3437,榮創,光電業,70379,109941,122424,-35.984755459746594,-42.512089132849766,889265,1098219,-19.026624015792844,-
3443,創意,2026-08,twse,1150912,1150912,11508,3443,創意,半導體業,5840094,5769170,2767549,1.2293622826160435,111.0204372171911,36953633,18128582,103.84182833494644,主要因晶圓產品收入增加
3447,展達,2026-08,twse,1150912,1150912,11508,3447,展達,通信網路業,291056,199928,417379,45.580408947221,-30.265777626569616,2169235,2198518,-1.331942699582173,-
3450,聯鈞,2026-08,twse,1150912,1150912,11508,3450,聯鈞,半導體業,1247981,1218533,594962,2.4166764461857,109.75810219812358,7530036,5817280,29.44255734638869,因客戶需求增加，致使營收增加。
