stock_id,period,report,alt,taxonomy,rd_q,rd_ytd,rev_q,rev_ytd
3450,2016Q1,cr,,fr1,32517000,32517000,2046490000,2046490000
3452,2016Q1,cr,,fr1,19031000,19031000,1374090000,1374090000
3454,2016Q1,cr,,fr1,151280000,151280000,1067527000,1067527000
3455,2016Q1,cr,,fr2,37268000,37268000,239680000,239680000
3465,2016Q1,cr,,fr1,1815000,1815000,29911000,29911000
3466,2016Q1,cr,,fr1,19250000,19250000,397370000,397370000
3474,2016Q1,cr,,fr1,109386000,109386000,10813067000,10813067000
3479,2016Q1,cr,,fr1,36988000,36988000,1401743000,1401743000
3481,2016Q1,cr,,fr1,2258969000,2258969000,56417120000,56417120000
3483,2016Q1,cr,,fr1,60418000,60418000,749407000,749407000
3484,2016Q1,cr,,fr1,43680000,43680000,755452000,755452000
3489,2016Q1,cr,,fr1,0,0,143991000,143991000
3490,2016Q1,cr,,fr1,4811000,4811000,291093000,291093000
3491,2016Q1,cr,,fr1,20295000,20295000,352401000,352401000
3492,2016Q1,cr,,fr1,2740000,2740000,288424000,288424000
3494,2016Q1,cr,,fr1,32650000,32650000,463038000,463038000
3498,2016Q1,cr,,fr1,42331000,42331000,706313000,706313000
3499,2016Q1,cr,,fr1,13168000,13168000,108571000,108571000
3501,2016Q1,cr,,fr1,13970000,13970000,1238687000,1238687000
3504,2016Q1,cr,,fr1,142965000,142965000,957034000,957034000
3508,2016Q1,cr,,fr1,24210000,24210000,405140000,405140000
3511,2016Q1,cr,,fr1,10070000,10070000,335832000,335832000
3512,2016Q1,cr,,fr1,2077000,2077000,109910000,109910000
3514,2016Q1,cr,,fr1,58228000,58228000,4882963000,4882963000
3515,2016Q1,cr,,fr1,149409000,149409000,1836166000,1836166000
3516,2016Q1,cr,,fr1,4329000,4329000,158755000,158755000
3518,2016Q1,cr,,fr1,5597000,5597000,203803000,203803000
3519,2016Q1,cr,,fr1,36131000,36131000,5269484000,5269484000
3520,2016Q1,cr,,fr1,0,0,120265000,120265000
3521,2016Q1,ir,,fr1,2898000,2898000,161845000,161845000
3522,2016Q1,cr,,fr1,2612000,2612000,283142000,283142000
3523,2016Q1,cr,,fr1,9840000,9840000,148101000,148101000
3526,2016Q1,cr,,fr1,12915000,12915000,469710000,469710000
3527,2016Q1,cr,,fr1,70164000,70164000,538387000,538387000
3528,2016Q1,ir,,fr1,14232000,14232000,757101000,757101000
3529,2016Q1,cr,,fr1,107254000,107254000,319846000,319846000
3531,2016Q1,cr,,fr1,21120000,21120000,379901000,379901000
3532,2016Q1,cr,,fr1,,,2535917000,2535917000
3533,2016Q1,cr,,fr1,220153000,220153000,1865631000,1865631000
3535,2016Q1,cr,,fr1,33865000,33865000,232759000,232759000
3536,2016Q1,cr,,fr1,3781000,3781000,235032000,235032000
3537,2016Q1,cr,,fr1,,,634569000,634569000
3540,2016Q1,cr,,fr1,29836000,29836000,771608000,771608000
3541,2016Q1,cr,,fr1,37824000,37824000,365698000,365698000
3545,2016Q1,cr,,fr1,346987000,346987000,2308567000,2308567000
3546,2016Q1,cr,,fr1,54326000,54326000,161430000,161430000
3548,2016Q1,cr,,fr1,41219000,41219000,1091874000,1091874000
3550,2016Q1,cr,,fr1,15373000,15373000,761012000,761012000
3551,2016Q1,cr,,fr1,3158000,3158000,308758000,308758000
3552,2016Q1,cr,,fr1,132655000,132655000,2921599000,2921599000
3553,2016Q1,cr,,fr1,39143000,39143000,479400000,479400000
3555,2016Q1,cr,,fr1,329000,329000,14635000,14635000
3556,2016Q1,cr,,fr1,58474000,58474000,283402000,283402000
3557,2016Q1,cr,,fr1,2535000,2535000,118336000,118336000
3558,2016Q1,cr,,fr1,102380000,102380000,1688990000,1688990000
3559,2016Q1,ir,,fr1,14076000,14076000,342093000,342093000
3561,2016Q1,cr,,fr1,19671000,19671000,3149822000,3149822000
3562,2016Q1,ir,,fr1,1425000,1425000,67535000,67535000
3563,2016Q1,cr,,fr1,21255000,21255000,146551000,146551000
3564,2016Q1,cr,,fr1,31473000,31473000,293355000,293355000
3567,2016Q1,ir,,fr1,3895000,3895000,84700000,84700000
3570,2016Q1,cr,,fr1,3889000,3889000,211323000,211323000
3573,2016Q1,cr,,fr1,125525000,125525000,854179000,854179000
3576,2016Q1,cr,,fr1,94208000,94208000,5903908000,5903908000
3577,2016Q1,cr,,fr1,33858000,33858000,167923000,167923000
3579,2016Q1,cr,,fr1,39065000,39065000,5343923000,5343923000
3580,2016Q1,cr,,fr1,11107000,11107000,125959000,125959000
3581,2016Q1,cr,,fr1,14787000,14787000,212923000,212923000
3583,2016Q1,cr,,fr1,52817000,52817000,922063000,922063000
3584,2016Q1,cr,,fr1,16356000,16356000,118456000,118456000
3587,2016Q1,cr,,fr1,3657000,3657000,311923000,311923000
3588,2016Q1,cr,,fr1,43146000,43146000,272830000,272830000
3591,2016Q1,cr,,fr1,23478000,23478000,762144000,762144000
3593,2016Q1,cr,,fr1,0,0,169096000,169096000
3594,2016Q1,cr,,fr1,42843000,42843000,385014000,385014000
3596,2016Q1,cr,,fr1,222826000,222826000,5730419000,5730419000
3598,2016Q1,cr,,fr1,214321000,214321000,1738640000,1738640000
3605,2016Q1,cr,,fr1,68487000,68487000,1165793000,1165793000
3607,2016Q1,cr,,fr1,5414000,5414000,1225669000,1225669000
3609,2016Q1,cr,,fr1,10555000,10555000,168863000,168863000
3611,2016Q1,cr,,fr1,29175000,29175000,697971000,697971000
3615,2016Q1,cr,,fr1,6311000,6311000,169875000,169875000
3617,2016Q1,cr,,fr1,61576000,61576000,1440311000,1440311000
3622,2016Q1,cr,,fr1,14098000,14098000,434444000,434444000
3623,2016Q1,ir,,fr1,9188000,9188000,230488000,230488000
3624,2016Q1,cr,,fr1,15828000,15828000,401563000,401563000
3625,2016Q1,cr,,fr1,2255000,2255000,185442000,185442000
3627,2016Q1,ir,,fr1,17596000,17596000,199493000,199493000
3628,2016Q1,cr,,fr1,32785000,32785000,482921000,482921000
3629,2016Q1,ir,,fr1,1883000,1883000,41114000,41114000
3630,2016Q1,cr,,fr1,37481000,37481000,198735000,198735000
3631,2016Q1,cr,,fr1,93000,93000,101265000,101265000
3632,2016Q1,cr,,fr1,16285000,16285000,198143000,198143000
3642,2016Q1,cr,,fr1,4210000,4210000,104206000,104206000
3645,2016Q1,cr,,fr1,21206000,21206000,309491000,309491000
3646,2016Q1,cr,,fr1,2655000,2655000,141521000,141521000
3652,2016Q1,cr,,fr1,37484000,37484000,448679000,448679000
3653,2016Q1,cr,,fr1,42788000,42788000,806217000,806217000
3658,2016Q1,cr,,fr1,209643000,209643000,986221000,986221000
3661,2016Q1,cr,,fr1,113019000,113019000,949373000,949373000
3662,2016Q1,cr,,fr1,45307000,45307000,339821000,339821000
3663,2016Q1,cr,,fr1,7393000,7393000,598043000,598043000
3664,2016Q1,cr,,fr1,75037000,75037000,206459000,206459000
3665,2016Q1,cr,,fr1,51501000,51501000,2048704000,2048704000
3666,2016Q1,cr,,fr1,6634000,6634000,341262000,341262000
3669,2016Q1,cr,,fr1,50400000,50400000,379988000,379988000
3672,2016Q1,cr,,fr1,15842000,15842000,194138000,194138000
3673,2016Q1,cr,,fr1,219453000,219453000,21239117000,21239117000
3675,2016Q1,cr,,fr1,6264000,6264000,254109000,254109000
3679,2016Q1,cr,,fr1,20882000,20882000,905093000,905093000
3680,2016Q1,cr,,fr1,22242000,22242000,499493000,499493000
3682,2016Q1,cr,,fr1,,,3348954000,3348954000
3684,2016Q1,cr,,fr1,10800000,10800000,135286000,135286000
3685,2016Q1,cr,,fr1,8083000,8083000,84185000,84185000
3686,2016Q1,ir,,fr1,4521000,4521000,452192000,452192000
3687,2016Q1,cr,,fr1,6913000,6913000,233566000,233566000
3689,2016Q1,cr,,fr1,65915000,65915000,1107174000,1107174000
3691,2016Q1,cr,,fr1,45551000,45551000,4555779000,4555779000
3693,2016Q1,cr,,fr1,42166000,42166000,565972000,565972000
3694,2016Q1,cr,,fr1,80407000,80407000,1465735000,1465735000
3698,2016Q1,cr,,fr1,139445000,139445000,3390327000,3390327000
3701,2016Q1,cr,,fr1,,,3040842000,3040842000
3702,2016Q1,cr,,fr1,,,121532749000,121532749000
3703,2016Q1,cr,,fr1,,,5305668000,5305668000
3704,2016Q1,cr,,fr1,460965000,460965000,6007497000,6007497000
3705,2016Q1,cr,,fr1,96149000,96149000,1440871000,1440871000
3706,2016Q1,cr,,fr1,570767000,570767000,9141065000,9141065000
3707,2016Q1,cr,,fr1,33883000,33883000,1028532000,1028532000
4102,2016Q1,ir,,fr1,5588000,5588000,60857000,60857000
4103,2016Q1,cr,,fr1,31567000,31567000,1069228000,1069228000
4104,2016Q1,cr,,fr1,,,1490072000,1490072000
4105,2016Q1,cr,,fr1,79915000,79915000,912604000,912604000
4106,2016Q1,cr,,fr1,22428000,22428000,508572000,508572000
4107,2016Q1,cr,,fr1,14922000,14922000,350543000,350543000
4108,2016Q1,cr,,fr1,47265000,47265000,2813000,2813000
4109,2016Q1,cr,,fr1,4823000,4823000,193126000,193126000
4111,2016Q1,cr,,fr1,4516000,4516000,225618000,225618000
4113,2016Q1,ir,,fr1,,,141288000,141288000
4114,2016Q1,cr,,fr1,30340000,30340000,485146000,485146000
4116,2016Q1,cr,,fr1,15396000,15396000,217059000,217059000
4119,2016Q1,cr,,fr1,10863000,10863000,645479000,645479000
4120,2016Q1,cr,,fr1,76625000,76625000,1295009000,1295009000
4121,2016Q1,cr,,fr1,10908000,10908000,792220000,792220000
4123,2016Q1,cr,,fr1,74813000,74813000,3259732000,3259732000
4126,2016Q1,cr,,fr1,9128000,9128000,452010000,452010000
4127,2016Q1,cr,,fr1,549000,549000,207500000,207500000
4128,2016Q1,cr,,fr1,32337000,32337000,370140000,370140000
4129,2016Q1,cr,,fr1,37688000,37688000,351593000,351593000
4130,2016Q1,cr,,fr1,17696000,17696000,99395000,99395000
4131,2016Q1,ir,,fr1,2578000,2578000,4260000,4260000
4133,2016Q1,cr,,fr1,11392000,11392000,117808000,117808000
4137,2016Q1,cr,,fr1,,,1102806000,1102806000
4138,2016Q1,cr,,fr1,,,311595000,311595000
4139,2016Q1,cr,,fr1,,,208605000,208605000
4141,2016Q1,cr,,fr1,101169000,101169000,2232843000,2232843000
4142,2016Q1,cr,,fr1,21214000,21214000,45070000,45070000
4144,2016Q1,cr,,fr1,9478000,9478000,712073000,712073000
4147,2016Q1,cr,,fr1,54664000,54664000,208000,208000
4148,2016Q1,cr,,fr1,1415000,1415000,504514000,504514000
4152,2016Q1,cr,,fr1,142876000,142876000,9503000,9503000
4153,2016Q1,cr,,fr1,19508000,19508000,247126000,247126000
4154,2016Q1,cr,,fr1,,,143346000,143346000
4157,2016Q1,cr,,fr1,69050000,69050000,17181000,17181000
4160,2016Q1,cr,,fr1,3189000,3189000,75774000,75774000
4161,2016Q1,cr,,fr1,15856000,15856000,106030000,106030000
4162,2016Q1,cr,,fr1,20690000,20690000,1586000,1586000
4163,2016Q1,cr,,fr1,37183000,37183000,490491000,490491000
4164,2016Q1,cr,,fr1,,,360596000,360596000
4167,2016Q1,ir,,fr1,62459000,62459000,293879000,293879000
4168,2016Q1,cr,,fr1,14568000,14568000,109000,109000
4171,2016Q1,cr,,fr1,8562000,8562000,40221000,40221000
4173,2016Q1,cr,,fr1,,,312611000,312611000
4174,2016Q1,cr,,fr1,199312000,199312000,,
4175,2016Q1,cr,,fr1,,,983106000,983106000
4180,2016Q1,cr,,fr1,202493000,202493000,183152000,183152000
