r,arm,seed,cagr,mdd,vol,first,end,trades,eq_sha,expo,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,dd_單日暴跌型,dd_延續下跌型,dd_混合型,ddlog_單日暴跌型,ddlog_延續下跌型,ddlog_混合型,n_stop,stop_frac_pos,held_mean,turnover_yr,cost_total,cost_drag_yr,dist0_med,dist0_p10,dist0_p90,trig_bar_med,trig_bar_p10,trig_bar_p90,stop_ret_mean,stop_ret_med,stop_ret_p10,stop_ret_p90,stop_h120_mean,stop_h120_med,stop_h120_better_frac,rep_ret_mean,rep_ret_med,cont_ret_mean,cont_ret_med,rep_better_frac,rep_pairs,rebuy20_n,rebuy20_ret_mean,rebuy20_ret_med,cash_mean,cash_med,nx_n,nx_pending_end,nxw_med,nxw_p90,nxw_sameday_frac,nxsz_med,normal_n,sl_block_days,nx_pool_n,nx_pool_empty
71,cand1,1071,0.42428776004004387,-0.25830383657140177,0.25058230632519235,526,2859,757,82795bf8ff3f3b1e,0.5840330642632199,0.2546381806276097,0.13509807018417286,0.08299564783997604,0.5667845511965823,0.7474724015348202,-0.13711006655056024,0.8533306744078266,0.21453648516520962,1.0497465155956696,0.6767597096353601,1,0,1,1,0,1,757,1.0,5.670125378296585,6.68415794124661,2.0779456450290454,0.03910232395629267,0.11847560141429903,0.052954426016155104,0.1980240810820076,15.0,5.0,32.0,0.057306059908188024,-0.022222204195466055,-0.11548927994182867,0.29129305860062277,0.19496750609695618,0.02106971204999164,0.5204755614266843,,,,,,0,37,0.0663113000804591,-0.026548704916835364,0.41596693573678006,0.33136642131094807,0,0,,,,,757,0,0,0
72,cand1,1072,0.404900313027446,-0.24165127960262756,0.2487574642953601,526,2859,764,e78893e2e3a92545,0.5847479949180151,0.25817556119288465,0.1709361767396398,0.17990437418923033,0.5725322181456116,0.6417427503846853,-0.135147540466101,0.8714426577418926,0.21288132226276346,0.9206135400500493,0.463832384806216,1,0,1,1,0,1,764,1.0,5.658452226545612,6.994542180908594,2.1922997174152417,0.04091807175831531,0.11684561675126026,0.05185937343428385,0.19650555727207927,15.0,4.299999999999997,32.0,0.05419001460886718,-0.02726993756283247,-0.11639132460281258,0.28879557796753313,0.19515710850478785,0.008216981316213956,0.5104712041884817,,,,,,0,41,0.07859538058222432,-0.022784766447618843,0.4152520050819849,0.31913311800772376,0,0,,,,,764,0,0,0
73,cand1,1073,0.43668539342851354,-0.27007437183511396,0.25109653921777403,526,2859,759,67c5df7a896a4107,0.5879580155669543,0.2459852739193613,0.16183034836693766,0.17990437418923055,0.5920460872040281,0.7031246153211075,-0.15682034750650986,0.8321686491688878,0.18406525726071843,1.1235500388517123,0.7005698778959699,1,0,1,1,0,1,759,1.0,5.708171206225681,6.671214679308978,2.205541976032181,0.03902660587395753,0.11560947238798003,0.05316498675413634,0.19396450524939965,15.0,5.0,32.0,0.05985299758473819,-0.022222286941578018,-0.11520917652445044,0.2952288260217023,0.21208320912788012,0.018005531118475693,0.5164690382081687,,,,,,0,40,0.07696874425192998,-0.02776711003124238,0.4120419844330457,0.3115347260703325,0,0,,,,,759,0,0,0
74,cand1,1074,0.4425406945601975,-0.26422328221829416,0.2512687458887859,526,2859,753,17136d9ef5151a70,0.588272604000753,0.24615429911264552,0.13331955095902792,0.17990437418923033,0.5009682242985889,0.8796588839530706,-0.14446107216422166,0.9221009912235845,0.20619365940911538,1.1214147783024533,0.6070106472424133,1,0,1,1,0,1,753,1.0,5.703847816688284,6.5881810382126975,2.2842031258143423,0.03854085907354425,0.11674679092353335,0.05143255780863278,0.19808435173030056,16.0,5.0,32.0,0.0594826508167565,-0.022156584539702484,-0.11802348054255367,0.293434801723539,0.18691905971656284,0.016478618356312147,0.5139442231075697,,,,,,0,33,0.07743850063691786,-0.010038756317290565,0.411727395999247,0.3162005293614443,0,0,,,,,753,0,0,0
75,cand1,1075,0.37148468411629043,-0.26928241414622933,0.24952699620280597,526,2859,764,6237f07584c2c99e,0.5824680765396205,0.28409910665401705,0.16087564679716815,0.08299564783997693,0.46333679764613445,0.6222825828449192,-0.16069008573189847,0.8462752218337917,0.24132083510665625,0.8301413070997941,0.46259962125014664,1,0,0,1,0,0,764,1.0,5.6705577172503245,7.056445868911671,1.8608600361561345,0.041280208333133325,0.11736718320117451,0.051265805737215356,0.19806928406822732,15.0,5.0,32.0,0.05222041327517377,-0.023668208058714946,-0.11639132460281258,0.2753085889814922,0.1908363603947957,0.008216981316213956,0.5117801047120419,,,,,,0,39,0.06971162381576028,-0.010038756317290565,0.4175319234603795,0.3295029362859324,0,0,,,,,764,0,0,0
76,cand1,1076,0.37407111833227824,-0.3570153365876539,0.24612678897823537,526,2859,764,90524253e3609232,0.5841815171526007,0.24950387431081755,0.1326736553045118,0.07328481674837062,0.4718486088641771,0.4285250890751928,-0.12552135421536825,0.9158735050514337,0.2106190362035527,0.9804436283829028,0.5657599660680783,0,0,1,0,0,1,764,1.0,5.6658019887591875,6.906051058647677,1.703531479627825,0.04040039869308892,0.11684561675126026,0.051265805737215356,0.19790393366148112,15.0,5.0,32.0,0.0512024621308701,-0.023668208058714946,-0.12117155965375465,0.28351543383291117,0.18225342873219594,0.008216981316213956,0.5130890052356021,,,,,,0,31,0.05080163718221432,-0.010038756317290565,0.41581848284739936,0.3271696401974106,0,0,,,,,764,0,0,0
77,cand1,1077,0.38442432815863636,-0.2734532976161212,0.24465084527390962,526,2859,764,bdce3f5d04a5f89e,0.5838091632921072,0.25268987441532476,0.13624215347421642,0.08678324713142027,0.4918977596844165,0.6005317877664604,-0.13734387056332487,0.8872525510335263,0.17797205153338025,0.8293017359820665,0.6639794176438358,1,0,0,1,0,0,764,1.0,5.663207955036749,6.904507285069293,1.8118191003533177,0.040391367617655397,0.11655475942805166,0.051544142560044325,0.19806928406822732,15.0,5.0,32.0,0.05271389729649032,-0.02726993756283247,-0.11876723230649737,0.290398718551279,0.17783978278812684,0.0045244609453234386,0.5091623036649214,,,,,,0,33,0.06447342144348564,-0.010038756317290565,0.4161908367078928,0.3256390065357339,0,0,,,,,764,0,0,0
78,cand1,1078,0.4062866642495795,-0.2595299798302,0.24996718679687635,526,2859,765,d4d9431fd5fea85b,0.5860852126869462,0.2789151868967008,0.13207902189714993,0.17990437418923033,0.43825634815451386,0.7744671761783004,-0.1336329659681037,0.9009681712414861,0.1852022872586625,0.9481379483661831,0.5079244406549959,1,0,1,1,0,1,765,1.0,5.676178123648941,6.910888532940103,2.140768640797533,0.04042869791769954,0.11927083355533918,0.051779727938659814,0.20175901432091697,15.0,5.0,32.0,0.05268382887172601,-0.024096340854584453,-0.11842353423393438,0.28408862902728815,0.19132687126571307,0.008287334637243404,0.5189542483660131,,,,,,0,35,0.061986465321803255,-0.0289855151456494,0.41391478731305387,0.31758912589115873,0,0,,,,,765,0,0,0
79,cand1,1079,0.3969087815841492,-0.25706176497669764,0.25432972001561327,526,2859,760,afcc5f9ee6457bd1,0.58113727016781,0.2666517061920619,0.1608680723491871,0.08299564783997648,0.5533520085513235,0.688789647412009,-0.13388738933941724,0.8245486024315014,0.18315948029641738,0.8109117954635969,0.6592898518856021,1,0,0,1,0,0,760,1.0,5.637267617812365,6.901507821976387,1.9946405360402566,0.04037382075856187,0.11822901776761191,0.05155989987652922,0.19970049028241596,15.0,5.0,32.0,0.05531464260293526,-0.022816343128099603,-0.1166529533398067,0.29015645728748546,0.2104346605161795,0.009864490037634899,0.5131578947368421,,,,,,0,45,0.07543721949840859,-0.010038756317290565,0.41886272983219,0.3217508509039125,0,0,,,,,760,0,0,0
80,cand1,1080,0.4080355318221651,-0.2755127815544082,0.25143090525513084,526,2859,765,094ce32fadfc7008,0.5832113943432129,0.30166451964277874,0.16519455613669165,0.08299564783997648,0.5233881641974791,0.7275879769348563,-0.1239924886957634,0.8695509747496528,0.22169227354439314,0.8841810759959512,0.5521341547429226,1,0,0,1,0,0,765,1.0,5.658452226545612,6.895113316042798,2.138180311589723,0.04033641289885041,0.11957502974153378,0.05154676877945848,0.20177932272689775,15.0,5.0,32.0,0.054468968330078596,-0.02391295879956168,-0.11842353423393438,0.28835541048664853,0.2069782440013471,0.01851857147770697,0.5254901960784314,,,,,,0,35,0.0935181480548299,0.012000000989068837,0.41678860565678705,0.33118542597499606,0,0,,,,,765,0,0,0
81,cand1,1081,0.4044648749077573,-0.26452939515409096,0.2511659585958775,526,2859,763,5b56a255a6679af7,0.5834947990609715,0.25520663423046974,0.17363702643828538,0.17990437418923055,0.5039563306049903,0.698479058312119,-0.1313514049751816,0.8915955637547828,0.19581455171199247,0.8361326947390411,0.5416705493232681,1,0,1,1,0,1,763,1.0,5.636835278858626,6.990860884651422,2.1968665147271786,0.04089653617521085,0.11491667618123347,0.05158709513114586,0.1948607598398536,15.0,4.0,32.0,0.05375992271789815,-0.023423457317868213,-0.11849587976372851,0.2840886110721192,0.20674719519438997,0.016478618356312147,0.5255570117955439,,,,,,0,41,0.07277462261602531,-0.026548704916835364,0.41650520093902854,0.31945051275732406,0,0,,,,,763,0,0,0
82,cand1,1082,0.37496315656721,-0.25940119162775954,0.24863951897832415,526,2859,766,73c1617e95c159d5,0.5824359935906608,0.20629403631517418,0.18390099856861286,0.08907228422078872,0.60447155885175,0.5743693932879155,-0.11952132454681075,0.819730980284997,0.17129486810701344,0.826818807167162,0.5004752150914697,1,0,1,1,0,1,766,1.0,5.650237786424557,7.080236928224658,1.917680628795377,0.041419386030114275,0.11609539701723309,0.05154939499887262,0.20230168272467502,15.0,4.0,32.0,0.05188993578721023,-0.02654868636836505,-0.11871037315993316,0.2854746855759379,0.19169268427395958,0.006177081035231735,0.5143603133159269,,,,,,0,43,0.08400993023570885,-0.010038756317290565,0.41756400640933933,0.3271694827623003,0,0,,,,,766,0,0,0
83,cand1,1083,0.3685472567653163,-0.31848065907136613,0.25019007769786583,526,2859,769,3614018b3db82d16,0.5833605631027984,0.20905666543919432,0.15797233874648975,0.0867832471314205,0.5001768457765934,0.44577918886441226,-0.139191765943797,0.9094021421173086,0.23721228404311545,0.9003560601934428,0.516311766877636,1,0,0,0,0,1,769,1.0,5.668396022481626,7.049208233149025,1.7390149316980446,0.04123786816392176,0.11694444257898717,0.05151033737850961,0.19985182077137792,15.0,5.0,32.0,0.05300527765550195,-0.027156549520766737,-0.11827884317434616,0.2901968341647844,0.18517307804731814,0.011888997576380067,0.517555266579974,,,,,,0,40,0.04194161322024603,-0.026972969458056995,0.41663943689720156,0.3252414379752564,0,0,,,,,769,0,0,0
84,cand1,1084,0.35572077181521133,-0.2950955103069817,0.24794407412442976,526,2859,766,a6bc3615725d3b2f,0.5809948314001118,0.2623745155790611,0.1351033617478612,0.08678324713142072,0.4857040699943802,0.3446460680209804,-0.14248074394962584,0.9109169708883367,0.19508657562880272,0.8554504234924487,0.5651420934785276,1,0,0,1,0,0,766,1.0,5.652831820146996,6.972429213682605,1.5868975865636903,0.04078871090004321,0.11713958417308012,0.05180331710533581,0.20270428581168348,15.0,5.0,32.0,0.04866631268590387,-0.02654868636836505,-0.11871037315993316,0.2838020448964764,0.17714800551735319,0.015816956128512416,0.52088772845953,,,,,,0,35,0.08826364570308838,0.012000000989068837,0.4190051685998883,0.3285830381921849,0,0,,,,,766,0,0,0
