r,eq_sha,部位,dn_觸發,dn_成交,dn_到出場都成交不了,up_觸發,up_成交,up_到出場都成交不了,dn_現金不足_近似
144,e5fd38624d5af069beef088004bf776b772972f6a1579966ef8be08e713ef54c,138,80,80,0,76,76,0,69
145,679b97140302ad1a5410c4b457ab27b1b4c4e6d33284bbbbf315a3a34691b20e,138,80,80,0,80,80,0,64
146,c0d84f53a6240b3a257ef11215611d61f84b1ced1912d422e36a9c9b9efe7310,138,85,85,0,75,75,0,74
147,09c7a373b2a2ac24ba73ac82f0365201833a8a073ece004ea5e572d2cf40c6de,138,80,80,0,77,77,0,66
148,97e4da8e03d2e14508bee24e5201038054c5720b3c4cbf838dfe8191148a5d54,138,80,80,0,80,80,0,60
149,9b9c12cff9817bc085a312fd606a216d5e9da20d7196064c933552b4f162dc95,138,83,83,0,72,72,0,75
150,7b2cc78c8eb04c4cfcc8365c180127b0a1e62bb9ed9d22951bc23caf4eb093a0,138,79,79,0,70,70,0,64
151,7b2688dd2715360cef9e1510a0f7df34e5ef2c38f0fb2e7b9867e043e220baa0,138,86,86,0,75,75,0,71
152,56ecbca99dbef25705267de260140ba762046a27b945eab0fb386d0f35e30af4,138,92,92,0,70,70,0,70
153,4e83dc457ac832f25231df6f7c392e90805675e69b6dbd0463cba69ac39ecd33,138,80,80,0,73,73,0,62
154,6b7955c8adb7325ae53f2ef13b66891e11575184354d7d74114a3872fb114794,138,79,79,0,75,75,0,64
155,6acff8f8c01f6393a01dda96f34fbf0c0f2eb918bf478cf3227df5108a376333,138,84,84,0,74,74,0,69
156,19df123e406d046cb7656a861901241f77e34f9e6c2aacf8a69a58c2350c0764,138,80,80,0,76,76,0,56
157,52f3b3982c4be0daee331d5aa334f1b50cb33c40429e133bc3ea2bd43fd9dc6d,138,83,83,0,85,85,0,70
158,aa8cee428cc0dce9df4637a7a38a2d00b3a5575b52c1140f1f930598ee3a4a68,138,86,86,0,72,72,0,74
159,7b24e45de4c5a45349f5d35689d7b5ac6cf06487deaa92fc9a1eeed055bd003d,138,84,84,0,69,69,0,64
160,e92cc019d179e4ed0cd5c6c1548f1cfcb695dc6c8b955d999075027d4f792220,138,77,77,0,79,79,0,69
161,4fdda6ffe08d6e0e3d083664f80ac957d25ec68e288a430c8199d51aefabbb88,138,83,83,0,78,78,0,66
162,fa666ff6986b3eb903a7283294eebed6ec6a410eddff956f7beb3e7acb587021,138,82,82,0,71,71,0,59
163,fc14c401273a5007b2b4145d3f248428515e7c2adc5e1e2e60f9377c1776d884,138,81,81,0,77,77,0,69
164,aa7a7350c900e12737631386564f1f7e2533cd4d52f34fd46cac9d9cfefafc56,138,83,83,0,73,73,0,64
165,a19cab447c246ed8c31435bf64906ecbd4683c985a844e55527459f3a3e4a6cb,138,85,85,0,77,77,0,60
166,d2c0dce252ec3acb5ab26a7a2897942b183180054fd0f4e183c79eed04b2270c,138,86,86,0,73,73,0,74
167,be0069b6210bae72148a640c4e78d3c2978a54c91a4b2192cde853dee6227009,138,74,74,0,74,74,0,60
168,b584a6e705e8492d039ba55586bac394ebb9c8d98e78230c3aa98aab1bd02df6,138,81,81,0,78,78,0,61
169,bce3ce65a250a315cbfeb15af01be263888e2a390dda270836be41847253eb96,138,74,74,0,72,72,0,61
170,307c90b89486a97910d7a245ed1118b9935b30425a300ded0ffdfb0a86374c3d,138,87,87,0,70,70,0,77
171,37ccdb7172454a4a5fc4661e1077b1f27da4aacc593dabf4082488eced2a59bc,138,79,79,0,74,74,0,58
172,a790961896a35ab58d7e9c03272ad85994372cbe503e45e1b01001f4c88e260c,138,92,92,0,66,66,0,82
173,01a4b6b9a4d9ecb6e3735553176a34da04c534c35a13f778747543e7fe5c77f6,138,80,80,0,72,72,0,65
174,866958d19a1363ad9323b8e4a4dd46094e0cd46a73d69ce46621717a5c96fd1b,138,83,83,0,73,73,0,58
175,5594c980d5ff9ad194dff2f520e82fc283d9ce0b6372dd790a67374ee631cc93,138,82,82,0,72,72,0,68
176,5f13880df17985664831d2c2bd65588e48f4944cc49d8d848a12820263d307cb,138,81,81,0,74,74,0,65
177,eb1311a48a0bb21a0d9df4af90748299c8f22125451d3e5c455d8aafb0ec8f69,138,80,80,0,68,68,0,69
178,84e81533dbb2c1288875af1e7c356ddb1a037736c1b0dc02183cc38e19b92567,138,87,87,0,69,69,0,74
179,0e3d998895c6bf693967c5adf35ff7e26d8aab08347b883b0cfb5db6fe8536f1,137,79,79,0,76,76,0,67
180,dacceab78a6c1149c082f6d74d9ccf2ffdb0e0a33299c585e0b6b49ceaa44e42,138,82,82,0,78,78,0,69
181,e248322d2f6da630222d1eeae55d9d54b865e7cea5923599af6ef9a2595791a8,138,78,78,0,77,77,0,61
182,f823a8d85a2bd10999d669b2604f0820ecc8db1ddc33accb099e1b27d46b0960,138,93,93,0,69,69,0,79
183,47fe670e645291e762154bc831d03e0892fa6f51911b7cab2fa1d9faa1a9e8ac,138,84,84,0,73,73,0,61
184,236710c3ac5c57debe93a462a6dbc19ca3ac331c2c9bc2357ff2fbb5aae7416e,138,80,80,0,82,82,0,70
185,34d94d3e317759b173dc7f77364ff8aec48beca1686649f91227d894795c2524,138,80,80,0,73,73,0,67
186,8754e1a0c634c52ac78ffaa7818f35a015659fe785fe2266325fc56da7cea738,138,83,83,0,76,76,0,63
187,f087821fba04b1dfb3937e83982d623a0b216c3515f633123eab5afd9a050458,138,79,79,0,79,79,0,60
188,cebbb2d14fa2d20d3dd450b503c826a22085391de806bc99ab0b0e69d1243ea2,138,81,81,0,79,79,0,62
189,dfc9d2d3ea28d1d32dae040ae205a800f96cdf8ad244b31c854125276bf49f92,138,84,84,0,85,85,0,69
