date,stocks_traded,all_traded,collapse
2016-06-23,1573,1638,False
2016-06-24,1578,1645,False
2016-06-27,1569,1634,False
2016-06-28,1573,1638,False
2016-06-29,1581,1646,False
2016-06-30,1580,1644,False
2016-07-01,1578,1644,False
2016-07-04,1584,1647,False
2016-07-05,1573,1639,False
2016-07-06,1580,1646,False
2016-07-07,1578,1646,False
2016-07-11,1574,1641,False
2016-07-12,1583,1652,False
2016-07-13,1579,1647,False
2016-07-14,1580,1651,False
2016-07-15,1580,1650,False
2016-07-18,1579,1648,False
2016-07-19,1577,1646,False
2016-07-20,1580,1648,False
2016-07-21,1581,1653,False
2016-07-22,1575,1641,False
2016-07-25,1575,1645,False
2016-07-26,1578,1648,False
2016-07-27,1577,1647,False
2016-07-28,1584,1653,False
2016-07-29,1577,1646,False
2016-08-01,1576,1646,False
2016-08-02,1574,1641,False
2016-08-03,1581,1647,False
2016-08-04,1579,1648,False
2016-08-05,1578,1646,False
2016-08-08,1586,1659,False
2016-08-09,1580,1651,False
2016-08-10,1577,1648,False
2016-08-11,1579,1650,False
2016-08-12,1580,1652,False
2016-08-15,1579,1652,False
2016-08-16,1578,1647,False
2016-08-17,1582,1654,False
2016-08-18,1582,1655,False
2016-08-19,1579,1648,False
2016-08-22,1582,1649,False
2016-08-23,1570,1642,False
2016-08-24,1576,1646,False
2016-08-25,1582,1654,False
2016-08-26,1580,1653,False
2016-08-29,1575,1646,False
2016-08-30,1573,1644,False
2016-08-31,1579,1648,False
2016-09-01,1574,1646,False
2016-09-02,1575,1646,False
2016-09-05,1571,1644,False
2016-09-06,1574,1648,False
2016-09-07,1585,1657,False
2016-09-08,1586,1658,False
2016-09-09,1574,1643,False
2016-09-10,1565,1632,False
2016-09-12,1586,1658,False
2016-09-13,1580,1653,False
2016-09-14,1572,1641,False
2016-09-19,1572,1644,False
2016-09-20,1572,1646,False
2016-09-21,1577,1648,False
2016-09-22,1575,1647,False
2016-09-23,1573,1643,False
2016-09-26,1573,1643,False
2016-09-29,1577,1648,False
2016-09-30,1581,1652,False
2016-10-03,1576,1647,False
2016-10-04,1577,1649,False
2016-10-05,1577,1648,False
2016-10-06,1574,1646,False
2016-10-07,1576,1656,False
2016-10-11,1583,1660,False
2016-10-12,1578,1657,False
2016-10-13,1572,1651,False
2016-10-14,1581,1656,False
2016-10-17,1573,1652,False
2016-10-18,1584,1663,False
2016-10-19,1589,1664,False
2016-10-20,1589,1663,False
2016-10-21,1591,1668,False
2016-10-24,1575,1653,False
