stock_id,date,market,prev_close,open,close,gap_open,ret_close
5236,2022-06-30,tpex,103.0,93.8,89.5,-0.08932038834951461,-0.1310679611650486
5236,2023-07-04,tpex,107.5,102.0,100.5,-0.051162790697674376,-0.06511627906976747
5236,2024-06-28,tpex,160.5,156.5,153.0,-0.024922118380062308,-0.04672897196261683
5236,2025-07-03,tpex,137.0,127.5,126.5,-0.06934306569343063,-0.07664233576642332
5236,2026-06-03,tpex,181.0,172.5,169.0,-0.046961325966850875,-0.06629834254143652
5306,2018-07-17,tpex,138.0,128.0,130.0,-0.07246376811594202,-0.05797101449275366
5306,2019-07-23,tpex,105.5,101.5,102.5,-0.03791469194312791,-0.028436018957345932
5306,2020-07-23,tpex,165.5,161.0,161.5,-0.027190332326283984,-0.024169184290030232
5306,2021-07-29,tpex,239.0,236.5,238.5,-0.010460251046025104,-0.0020920502092049986
5306,2021-12-09,tpex,201.0,199.0,199.5,-0.00995024875621886,-0.007462686567164201
6163,2026-09-09,tpex,40.65,40.5,40.35,-0.0036900369003689537,-0.007380073800737907
6426,2018-09-05,tpex,51.9,51.0,50.1,-0.01734104046242768,-0.034682080924855474
6426,2019-09-06,tpex,132.0,130.5,119.5,-0.011363636363636354,-0.09469696969696972
6426,2019-11-22,tpex,147.5,145.0,142.5,-0.016949152542372836,-0.03389830508474578
6426,2020-09-07,tpex,126.0,124.5,123.0,-0.011904761904761862,-0.023809523809523836
6438,2018-07-04,tpex,65.3,61.5,60.2,-0.05819295558958648,-0.07810107197549765
6438,2019-07-04,tpex,50.1,47.7,47.85,-0.0479041916167664,-0.04491017964071853
6438,2019-12-24,tpex,82.3,82.6,80.5,0.0036452004860267895,-0.021871202916160404
6438,2020-07-06,tpex,70.1,71.0,71.1,0.012838801711840375,0.014265335235378096
6446,2020-07-17,tpex,132.0,130.5,121.0,-0.011363636363636354,-0.08333333333333337
6446,2022-09-26,tpex,580.0,570.0,568.0,-0.017241379310344862,-0.020689655172413834
6472,2018-07-06,tpex,105.0,107.0,105.0,0.01904761904761898,0.0
6472,2018-07-16,tpex,134.5,133.0,132.0,-0.01115241635687736,-0.018587360594795488
6472,2019-07-31,tpex,193.5,149.5,161.0,-0.227390180878553,-0.16795865633074936
6472,2020-01-15,tpex,149.0,148.0,146.5,-0.006711409395973145,-0.016778523489932917
6472,2020-07-06,tpex,178.5,176.0,173.5,-0.014005602240896309,-0.02801120448179273
6472,2020-11-09,tpex,233.5,187.5,185.5,-0.19700214132762317,-0.20556745182012848
6472,2021-09-07,tpex,303.0,248.5,226.0,-0.17986798679867988,-0.2541254125412541
6472,2022-07-07,tpex,246.0,247.0,238.0,0.004065040650406582,-0.03252032520325199
6472,2022-08-30,tpex,346.5,320.5,345.0,-0.07503607503607501,-0.0043290043290042934
6472,2023-07-06,tpex,845.0,853.0,802.0,0.00946745562130169,-0.05088757396449706
6472,2023-08-10,tpex,939.0,732.0,716.0,-0.2204472843450479,-0.2374866879659212
6584,2026-09-08,tpex,619.0,618.0,602.0,-0.001615508885298822,-0.02746365105008075
6589,2020-04-22,tpex,35.4,34.8,34.75,-0.016949152542372947,-0.01836158192090387
6589,2021-04-13,tpex,160.0,142.0,148.0,-0.11250000000000004,-0.07499999999999996
6590,2026-09-08,tpex,67.0,58.6,58.9,-0.12537313432835817,-0.12089552238805967
6603,2026-09-09,tpex,24.95,25.0,24.95,0.002004008016032177,0.0
6971,2026-09-09,tpex,26.65,25.0,25.0,-0.06191369606003749,-0.06191369606003749
7738,2026-09-07,tpex,175.0,166.0,168.0,-0.05142857142857138,-0.040000000000000036
8096,2026-09-09,tpex,101.0,99.0,99.9,-0.01980198019801982,-0.01089108910891079
8099,2026-09-07,tpex,61.2,59.2,58.1,-0.0326797385620915,-0.05065359477124187
8462,2018-07-10,tpex,195.5,167.0,169.0,-0.1457800511508951,-0.13554987212276215
8476,2018-01-09,tpex,39.1,39.1,38.4,0.0,-0.017902813299232823
8476,2018-08-20,tpex,19.25,18.55,18.3,-0.036363636363636376,-0.04935064935064937
8476,2021-11-10,tpex,68.0,67.0,65.5,-0.014705882352941124,-0.03676470588235292
8476,2022-12-22,tpex,55.1,55.0,54.7,-0.001814882032667886,-0.007259528130671433
8476,2023-07-03,tpex,70.7,66.6,68.0,-0.057991513437058106,-0.038189533239038176
