stock_id,roc_year,month,high,low,avg_price,transactions,amount,volume,turnover,asof,days,n_markets,avg_close_ours,avg_close_trunc_ours,high_ours,high_date_ours,low_ours,low_date_ours,volume_ours,amount_ours,tx_ours,avg_price_ours,status,high_ok,low_ok,avg_price_ok,volume_ok,amount_ok,transactions_ok,qty_note
1110,115,4,16.1,14.35,15.18,2809,65058797,4283422,0.74,20260909,20,1,15.22,15.21,16.1,2026-04-16,14.35,2026-04-07,4283422.0,65058797.0,2809.0,15.18,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1110,115,5,15.4,13.9,14.39,2301,59268118,4116927,0.71,20260909,20,1,14.5,14.5,15.4,2026-05-04,13.9,2026-05-28,4116927.0,59268118.0,2301.0,14.39,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1110,115,6,17.25,14.25,15.54,3658,121998388,7845776,1.37,20260909,21,1,15.45,15.44,17.25,2026-06-04,14.25,2026-06-02,7845776.0,121998388.0,3658.0,15.54,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1110,115,7,16.3,15.4,15.9,2966,105030851,6605254,1.15,20260909,22,1,15.91,15.9,16.3,2026-07-06,15.4,2026-07-01,6605254.0,105030851.0,2966.0,15.9,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1110,115,8,16.6,15.6,16.0,2488,79012077,4936138,0.86,20260909,21,1,16.03,16.02,16.6,2026-08-13,15.6,2026-08-06,4936138.0,79012077.0,2488.0,16.0,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1201,115,1,14.65,14.2,14.43,8182,120469064,8344262,1.64,20260909,21,1,14.46,14.46,14.65,2026-01-28,14.2,2026-01-07,8344262.0,120469064.0,8182.0,14.43,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1201,115,2,14.75,14.3,14.51,3917,59266068,4083386,0.8,20260909,12,1,14.49,14.48,14.75,2026-02-24,14.3,2026-02-09,4083386.0,59266068.0,3917.0,14.51,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1201,115,3,14.6,13.25,13.85,14814,134599045,9714781,1.91,20260909,22,1,13.87,13.87,14.6,2026-03-02,13.25,2026-03-30,9714781.0,134599045.0,14814.0,13.85,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1201,115,4,13.65,12.5,13.14,11395,127505118,9701075,1.91,20260909,20,1,13.17,13.17,13.65,2026-04-08,12.5,2026-04-30,9701075.0,127505118.0,11395.0,13.14,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1201,115,5,12.55,11.9,12.15,8917,118826824,9775951,1.93,20260909,20,1,12.16,12.16,12.55,2026-05-04,11.9,2026-05-25,9775951.0,118826824.0,8917.0,12.15,比對,1.0,1.0,1.0,1.0,1.0,1.0,
