cell,r,seed,x_new_n,x_add_trig,x_add_n,x_add_short,x_add_blocked_days,x_add_n_in_window
2-B ⓐ 收盤 ≥ 進場價 +15%,38,99038,137,77,17,60,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,39,99039,136,73,18,55,0,18
2-B ⓐ 收盤 ≥ 進場價 +15%,40,99040,136,66,15,51,0,15
2-B ⓐ 收盤 ≥ 進場價 +15%,41,99041,136,80,21,59,0,21
2-B ⓐ 收盤 ≥ 進場價 +15%,42,99042,138,75,12,63,0,12
2-B ⓐ 收盤 ≥ 進場價 +15%,43,99043,137,72,17,55,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,44,99044,138,79,15,64,0,15
2-B ⓐ 收盤 ≥ 進場價 +15%,45,99045,138,66,16,50,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,46,99046,136,75,19,56,0,19
2-B ⓐ 收盤 ≥ 進場價 +15%,47,99047,136,68,19,49,0,19
2-B ⓐ 收盤 ≥ 進場價 +15%,48,99048,136,77,21,56,0,21
2-B ⓐ 收盤 ≥ 進場價 +15%,49,99049,136,74,16,58,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,50,99050,138,67,14,53,0,14
2-B ⓐ 收盤 ≥ 進場價 +15%,51,99051,136,64,16,48,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,52,99052,138,73,13,60,0,13
2-B ⓐ 收盤 ≥ 進場價 +15%,53,99053,138,76,19,57,0,19
2-B ⓐ 收盤 ≥ 進場價 +15%,54,99054,138,71,15,56,0,15
2-B ⓐ 收盤 ≥ 進場價 +15%,55,99055,137,74,19,55,0,19
2-B ⓐ 收盤 ≥ 進場價 +15%,56,99056,137,78,17,61,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,57,99057,138,76,17,59,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,58,99058,136,72,17,55,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,59,99059,136,72,19,53,0,19
2-B ⓐ 收盤 ≥ 進場價 +15%,60,99060,136,75,16,59,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,61,99061,137,81,17,64,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,62,99062,137,64,18,46,0,18
2-B ⓐ 收盤 ≥ 進場價 +15%,63,99063,138,78,16,62,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,64,99064,138,79,17,62,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,65,99065,137,72,18,54,0,18
2-B ⓐ 收盤 ≥ 進場價 +15%,66,99066,138,72,14,58,0,14
2-B ⓐ 收盤 ≥ 進場價 +15%,67,99067,138,72,18,54,0,18
2-B ⓐ 收盤 ≥ 進場價 +15%,68,99068,137,70,16,54,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,69,99069,138,81,18,63,0,18
2-B ⓐ 收盤 ≥ 進場價 +15%,70,99070,137,72,18,54,0,18
2-B ⓐ 收盤 ≥ 進場價 +15%,71,99071,137,82,18,64,0,18
2-B ⓐ 收盤 ≥ 進場價 +15%,72,99072,137,75,18,57,0,18
2-B ⓐ 收盤 ≥ 進場價 +15%,73,99073,137,75,17,58,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,74,99074,138,76,14,62,0,14
2-B ⓐ 收盤 ≥ 進場價 +15%,75,99075,138,75,15,60,0,15
2-B ⓐ 收盤 ≥ 進場價 +15%,76,99076,137,77,20,57,0,20
2-B ⓐ 收盤 ≥ 進場價 +15%,77,99077,137,83,17,66,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,78,99078,137,67,18,49,0,18
2-B ⓐ 收盤 ≥ 進場價 +15%,79,99079,137,73,17,56,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,80,99080,137,72,16,56,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,81,99081,137,81,15,66,0,15
2-B ⓐ 收盤 ≥ 進場價 +15%,82,99082,137,76,16,60,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,83,99083,137,66,12,54,0,12
2-B ⓐ 收盤 ≥ 進場價 +15%,84,99084,138,77,13,64,0,13
2-B ⓐ 收盤 ≥ 進場價 +15%,85,99085,136,67,16,51,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,86,99086,138,76,12,64,0,12
2-B ⓐ 收盤 ≥ 進場價 +15%,87,99087,137,73,14,59,0,14
2-B ⓐ 收盤 ≥ 進場價 +15%,88,99088,138,76,14,62,0,14
2-B ⓐ 收盤 ≥ 進場價 +15%,89,99089,138,70,12,58,0,12
2-B ⓐ 收盤 ≥ 進場價 +15%,90,99090,137,71,19,52,0,19
2-B ⓐ 收盤 ≥ 進場價 +15%,91,99091,138,75,13,62,0,13
2-B ⓐ 收盤 ≥ 進場價 +15%,92,99092,138,78,17,61,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,93,99093,137,75,17,58,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,94,99094,138,72,18,54,0,18
2-B ⓐ 收盤 ≥ 進場價 +15%,95,99095,137,74,15,59,0,15
2-B ⓐ 收盤 ≥ 進場價 +15%,96,99096,137,70,13,57,0,13
2-B ⓐ 收盤 ≥ 進場價 +15%,97,99097,138,83,15,68,0,15
2-B ⓐ 收盤 ≥ 進場價 +15%,98,99098,137,74,19,55,0,19
2-B ⓐ 收盤 ≥ 進場價 +15%,99,99099,137,74,16,58,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,100,99100,137,76,12,64,0,12
2-B ⓐ 收盤 ≥ 進場價 +15%,101,99101,137,74,16,58,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,102,99102,138,69,17,52,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,103,99103,138,74,18,56,0,18
2-B ⓐ 收盤 ≥ 進場價 +15%,104,99104,138,72,18,54,0,18
2-B ⓐ 收盤 ≥ 進場價 +15%,105,99105,137,78,17,61,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,106,99106,137,66,16,50,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,107,99107,137,72,20,52,0,20
2-B ⓐ 收盤 ≥ 進場價 +15%,108,99108,137,77,22,55,0,22
2-B ⓐ 收盤 ≥ 進場價 +15%,109,99109,137,66,18,48,0,18
2-B ⓐ 收盤 ≥ 進場價 +15%,110,99110,138,73,16,57,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,111,99111,137,73,16,57,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,112,99112,138,72,16,56,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,113,99113,137,78,18,60,0,18
2-B ⓐ 收盤 ≥ 進場價 +15%,114,99114,137,80,18,62,0,18
2-B ⓐ 收盤 ≥ 進場價 +15%,115,99115,138,80,21,59,0,21
2-B ⓐ 收盤 ≥ 進場價 +15%,116,99116,136,80,19,61,0,19
2-B ⓐ 收盤 ≥ 進場價 +15%,117,99117,137,70,17,53,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,118,99118,137,80,17,63,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,119,99119,136,68,15,53,0,15
2-B ⓐ 收盤 ≥ 進場價 +15%,120,99120,136,76,18,58,0,18
2-B ⓐ 收盤 ≥ 進場價 +15%,121,99121,137,75,14,61,0,14
2-B ⓐ 收盤 ≥ 進場價 +15%,122,99122,138,78,13,65,0,13
2-B ⓐ 收盤 ≥ 進場價 +15%,123,99123,138,71,16,55,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,124,99124,137,74,15,59,0,15
2-B ⓐ 收盤 ≥ 進場價 +15%,125,99125,137,74,16,58,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,126,99126,137,72,17,55,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,127,99127,136,73,21,52,0,21
2-B ⓐ 收盤 ≥ 進場價 +15%,128,99128,137,68,15,53,0,15
2-B ⓐ 收盤 ≥ 進場價 +15%,129,99129,137,77,10,67,0,10
2-B ⓐ 收盤 ≥ 進場價 +15%,130,99130,137,77,22,55,0,22
2-B ⓐ 收盤 ≥ 進場價 +15%,131,99131,137,66,14,52,0,14
2-B ⓐ 收盤 ≥ 進場價 +15%,132,99132,137,70,12,58,0,12
2-B ⓐ 收盤 ≥ 進場價 +15%,133,99133,138,75,15,60,0,15
2-B ⓐ 收盤 ≥ 進場價 +15%,134,99134,138,73,14,59,0,14
2-B ⓐ 收盤 ≥ 進場價 +15%,135,99135,138,68,15,53,0,15
2-B ⓐ 收盤 ≥ 進場價 +15%,136,99136,138,57,13,44,0,13
2-B ⓐ 收盤 ≥ 進場價 +15%,137,99137,138,78,17,61,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,138,99138,136,70,19,51,0,19
2-B ⓐ 收盤 ≥ 進場價 +15%,139,99139,137,64,14,50,0,14
2-B ⓐ 收盤 ≥ 進場價 +15%,140,99140,137,79,16,63,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,141,99141,137,72,12,60,0,12
2-B ⓐ 收盤 ≥ 進場價 +15%,142,99142,138,75,21,54,0,21
2-B ⓐ 收盤 ≥ 進場價 +15%,143,99143,137,76,20,56,0,20
2-B ⓐ 收盤 ≥ 進場價 +15%,144,99144,137,72,13,59,0,13
2-B ⓐ 收盤 ≥ 進場價 +15%,145,99145,138,80,15,65,0,15
2-B ⓐ 收盤 ≥ 進場價 +15%,146,99146,137,77,16,61,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,147,99147,137,77,13,64,0,13
2-B ⓐ 收盤 ≥ 進場價 +15%,148,99148,137,79,18,61,0,18
2-B ⓐ 收盤 ≥ 進場價 +15%,149,99149,137,72,18,54,0,18
2-B ⓐ 收盤 ≥ 進場價 +15%,150,99150,137,70,16,54,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,151,99151,136,83,17,66,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,152,99152,137,73,15,58,0,15
2-B ⓐ 收盤 ≥ 進場價 +15%,153,99153,137,70,15,55,0,15
2-B ⓐ 收盤 ≥ 進場價 +15%,154,99154,137,74,16,58,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,155,99155,137,77,14,63,0,14
2-B ⓐ 收盤 ≥ 進場價 +15%,156,99156,138,77,16,61,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,157,99157,137,75,18,57,0,18
2-B ⓐ 收盤 ≥ 進場價 +15%,158,99158,138,70,13,57,0,13
2-B ⓐ 收盤 ≥ 進場價 +15%,159,99159,138,73,18,55,0,18
2-B ⓐ 收盤 ≥ 進場價 +15%,160,99160,137,76,20,56,0,20
2-B ⓐ 收盤 ≥ 進場價 +15%,161,99161,137,76,21,55,0,21
2-B ⓐ 收盤 ≥ 進場價 +15%,162,99162,138,73,11,62,0,11
2-B ⓐ 收盤 ≥ 進場價 +15%,163,99163,137,67,14,53,0,14
2-B ⓐ 收盤 ≥ 進場價 +15%,164,99164,137,74,14,60,0,14
2-B ⓐ 收盤 ≥ 進場價 +15%,165,99165,138,76,16,60,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,166,99166,137,71,16,55,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,167,99167,138,74,16,58,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,168,99168,137,72,15,57,0,15
2-B ⓐ 收盤 ≥ 進場價 +15%,169,99169,136,71,16,55,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,170,99170,138,75,14,61,0,14
2-B ⓐ 收盤 ≥ 進場價 +15%,171,99171,138,74,19,55,0,19
2-B ⓐ 收盤 ≥ 進場價 +15%,172,99172,138,66,15,51,0,15
2-B ⓐ 收盤 ≥ 進場價 +15%,173,99173,137,74,16,58,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,174,99174,137,76,19,57,0,19
2-B ⓐ 收盤 ≥ 進場價 +15%,175,99175,138,72,15,57,0,15
2-B ⓐ 收盤 ≥ 進場價 +15%,176,99176,136,75,15,60,0,15
2-B ⓐ 收盤 ≥ 進場價 +15%,177,99177,138,68,11,57,0,11
2-B ⓐ 收盤 ≥ 進場價 +15%,178,99178,138,73,17,56,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,179,99179,137,76,13,63,0,13
2-B ⓐ 收盤 ≥ 進場價 +15%,180,99180,138,78,16,62,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,181,99181,138,77,12,65,0,12
2-B ⓐ 收盤 ≥ 進場價 +15%,182,99182,137,75,18,57,0,18
2-B ⓐ 收盤 ≥ 進場價 +15%,183,99183,138,73,17,56,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,184,99184,138,82,17,65,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,185,99185,137,77,16,61,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,186,99186,138,74,14,60,0,14
2-B ⓐ 收盤 ≥ 進場價 +15%,187,99187,137,76,17,59,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,188,99188,137,75,24,51,0,24
2-B ⓐ 收盤 ≥ 進場價 +15%,189,99189,137,81,16,65,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,190,99190,137,80,15,65,0,15
2-B ⓐ 收盤 ≥ 進場價 +15%,191,99191,138,80,17,63,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,192,99192,137,75,17,58,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,193,99193,136,77,18,59,0,18
2-B ⓐ 收盤 ≥ 進場價 +15%,194,99194,138,78,14,64,0,14
2-B ⓐ 收盤 ≥ 進場價 +15%,195,99195,137,78,14,64,0,14
2-B ⓐ 收盤 ≥ 進場價 +15%,196,99196,137,70,16,54,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,197,99197,136,72,18,54,0,18
2-B ⓐ 收盤 ≥ 進場價 +15%,198,99198,138,73,13,60,0,13
2-B ⓐ 收盤 ≥ 進場價 +15%,199,99199,137,72,20,52,0,20
2-B ⓑ 貼近 120 日高點三分位（P8）,0,99000,138,76,27,49,0,27
2-B ⓑ 貼近 120 日高點三分位（P8）,1,99001,136,76,22,54,0,22
2-B ⓑ 貼近 120 日高點三分位（P8）,2,99002,136,72,21,51,0,21
2-B ⓑ 貼近 120 日高點三分位（P8）,3,99003,135,78,27,51,0,27
2-B ⓑ 貼近 120 日高點三分位（P8）,4,99004,135,84,21,63,0,21
2-B ⓑ 貼近 120 日高點三分位（P8）,5,99005,135,84,28,56,0,28
2-B ⓑ 貼近 120 日高點三分位（P8）,6,99006,137,76,19,57,0,19
2-B ⓑ 貼近 120 日高點三分位（P8）,7,99007,137,74,24,50,0,24
2-B ⓑ 貼近 120 日高點三分位（P8）,8,99008,137,83,24,59,0,24
2-B ⓑ 貼近 120 日高點三分位（P8）,9,99009,136,78,20,58,0,20
2-B ⓑ 貼近 120 日高點三分位（P8）,10,99010,137,78,20,58,0,20
2-B ⓑ 貼近 120 日高點三分位（P8）,11,99011,136,74,23,51,0,23
2-B ⓑ 貼近 120 日高點三分位（P8）,12,99012,137,80,25,55,0,25
2-B ⓑ 貼近 120 日高點三分位（P8）,13,99013,136,82,22,60,0,22
2-B ⓑ 貼近 120 日高點三分位（P8）,14,99014,138,76,14,62,0,14
2-B ⓑ 貼近 120 日高點三分位（P8）,15,99015,138,78,24,54,0,24
2-B ⓑ 貼近 120 日高點三分位（P8）,16,99016,135,80,23,57,0,23
2-B ⓑ 貼近 120 日高點三分位（P8）,17,99017,138,69,20,49,0,20
2-B ⓑ 貼近 120 日高點三分位（P8）,18,99018,135,87,33,54,0,33
2-B ⓑ 貼近 120 日高點三分位（P8）,19,99019,135,76,20,56,0,20
2-B ⓑ 貼近 120 日高點三分位（P8）,20,99020,136,79,22,57,0,22
2-B ⓑ 貼近 120 日高點三分位（P8）,21,99021,137,79,17,62,0,17
2-B ⓑ 貼近 120 日高點三分位（P8）,22,99022,137,80,19,61,0,19
2-B ⓑ 貼近 120 日高點三分位（P8）,23,99023,136,81,26,55,0,26
2-B ⓑ 貼近 120 日高點三分位（P8）,24,99024,136,78,22,56,0,22
2-B ⓑ 貼近 120 日高點三分位（P8）,25,99025,137,71,19,52,0,19
2-B ⓑ 貼近 120 日高點三分位（P8）,26,99026,136,82,24,58,0,24
2-B ⓑ 貼近 120 日高點三分位（P8）,27,99027,138,84,20,64,0,20
2-B ⓑ 貼近 120 日高點三分位（P8）,28,99028,137,82,22,60,0,22
2-B ⓑ 貼近 120 日高點三分位（P8）,29,99029,137,82,22,60,0,22
2-B ⓑ 貼近 120 日高點三分位（P8）,30,99030,135,75,21,54,0,21
2-B ⓑ 貼近 120 日高點三分位（P8）,31,99031,136,76,20,56,0,20
2-B ⓑ 貼近 120 日高點三分位（P8）,32,99032,137,78,28,50,0,28
2-B ⓑ 貼近 120 日高點三分位（P8）,33,99033,136,77,18,59,0,18
2-B ⓑ 貼近 120 日高點三分位（P8）,34,99034,135,80,21,59,0,21
2-B ⓑ 貼近 120 日高點三分位（P8）,35,99035,137,83,22,61,0,22
2-B ⓑ 貼近 120 日高點三分位（P8）,36,99036,137,81,19,62,0,19
2-B ⓑ 貼近 120 日高點三分位（P8）,37,99037,137,85,28,57,0,28
2-B ⓑ 貼近 120 日高點三分位（P8）,38,99038,135,79,21,58,0,21
2-B ⓑ 貼近 120 日高點三分位（P8）,39,99039,137,83,21,62,0,21
2-B ⓑ 貼近 120 日高點三分位（P8）,40,99040,137,80,26,54,0,26
2-B ⓑ 貼近 120 日高點三分位（P8）,41,99041,137,79,23,56,0,23
2-B ⓑ 貼近 120 日高點三分位（P8）,42,99042,135,80,21,59,0,21
2-B ⓑ 貼近 120 日高點三分位（P8）,43,99043,136,80,25,55,0,25
2-B ⓑ 貼近 120 日高點三分位（P8）,44,99044,136,79,23,56,0,23
2-B ⓑ 貼近 120 日高點三分位（P8）,45,99045,136,86,25,61,0,25
2-B ⓑ 貼近 120 日高點三分位（P8）,46,99046,137,75,17,58,0,17
2-B ⓑ 貼近 120 日高點三分位（P8）,47,99047,137,85,26,59,0,26
2-B ⓑ 貼近 120 日高點三分位（P8）,48,99048,136,73,22,51,0,22
2-B ⓑ 貼近 120 日高點三分位（P8）,49,99049,137,82,24,58,0,24
2-B ⓑ 貼近 120 日高點三分位（P8）,50,99050,137,73,23,50,0,23
2-B ⓑ 貼近 120 日高點三分位（P8）,51,99051,136,71,24,47,0,24
2-B ⓑ 貼近 120 日高點三分位（P8）,52,99052,135,79,23,56,0,23
2-B ⓑ 貼近 120 日高點三分位（P8）,53,99053,135,77,26,51,0,26
2-B ⓑ 貼近 120 日高點三分位（P8）,54,99054,135,80,25,55,0,25
2-B ⓑ 貼近 120 日高點三分位（P8）,55,99055,136,83,28,55,0,28
2-B ⓑ 貼近 120 日高點三分位（P8）,56,99056,137,86,18,68,0,18
2-B ⓑ 貼近 120 日高點三分位（P8）,57,99057,138,85,23,62,0,23
2-B ⓑ 貼近 120 日高點三分位（P8）,58,99058,137,84,18,66,0,18
2-B ⓑ 貼近 120 日高點三分位（P8）,59,99059,137,84,31,53,0,31
2-B ⓑ 貼近 120 日高點三分位（P8）,60,99060,135,79,28,51,0,28
2-B ⓑ 貼近 120 日高點三分位（P8）,61,99061,137,79,23,56,0,23
2-B ⓑ 貼近 120 日高點三分位（P8）,62,99062,136,81,20,61,0,20
2-B ⓑ 貼近 120 日高點三分位（P8）,63,99063,135,78,26,52,0,26
2-B ⓑ 貼近 120 日高點三分位（P8）,64,99064,138,81,24,57,0,24
2-B ⓑ 貼近 120 日高點三分位（P8）,65,99065,137,78,18,60,0,18
2-B ⓑ 貼近 120 日高點三分位（P8）,66,99066,137,88,27,61,0,27
2-B ⓑ 貼近 120 日高點三分位（P8）,67,99067,136,75,21,54,0,21
2-B ⓑ 貼近 120 日高點三分位（P8）,68,99068,137,82,18,64,0,18
2-B ⓑ 貼近 120 日高點三分位（P8）,69,99069,137,82,21,61,0,21
2-B ⓑ 貼近 120 日高點三分位（P8）,70,99070,136,84,24,60,0,24
2-B ⓑ 貼近 120 日高點三分位（P8）,71,99071,138,84,19,65,0,19
2-B ⓑ 貼近 120 日高點三分位（P8）,72,99072,134,78,25,53,0,25
2-B ⓑ 貼近 120 日高點三分位（P8）,73,99073,135,76,28,48,0,28
2-B ⓑ 貼近 120 日高點三分位（P8）,74,99074,136,82,22,60,0,22
2-B ⓑ 貼近 120 日高點三分位（P8）,75,99075,136,77,22,55,0,22
2-B ⓑ 貼近 120 日高點三分位（P8）,76,99076,135,78,27,51,0,27
2-B ⓑ 貼近 120 日高點三分位（P8）,77,99077,135,79,24,55,0,24
2-B ⓑ 貼近 120 日高點三分位（P8）,78,99078,136,83,23,60,0,23
2-B ⓑ 貼近 120 日高點三分位（P8）,79,99079,136,75,27,48,0,27
2-B ⓑ 貼近 120 日高點三分位（P8）,80,99080,137,79,19,60,0,19
2-B ⓑ 貼近 120 日高點三分位（P8）,81,99081,137,78,17,61,0,17
2-B ⓑ 貼近 120 日高點三分位（P8）,82,99082,135,84,24,60,0,24
2-B ⓑ 貼近 120 日高點三分位（P8）,83,99083,135,79,29,50,0,29
2-B ⓑ 貼近 120 日高點三分位（P8）,84,99084,138,79,23,56,0,23
2-B ⓑ 貼近 120 日高點三分位（P8）,85,99085,136,74,20,54,0,20
2-B ⓑ 貼近 120 日高點三分位（P8）,86,99086,136,78,19,59,0,19
2-B ⓑ 貼近 120 日高點三分位（P8）,87,99087,136,79,27,52,0,27
2-B ⓑ 貼近 120 日高點三分位（P8）,88,99088,136,82,23,59,0,23
2-B ⓑ 貼近 120 日高點三分位（P8）,89,99089,135,78,26,52,0,26
2-B ⓑ 貼近 120 日高點三分位（P8）,90,99090,137,80,26,54,0,26
2-B ⓑ 貼近 120 日高點三分位（P8）,91,99091,136,87,29,58,0,29
2-B ⓑ 貼近 120 日高點三分位（P8）,92,99092,135,83,27,56,0,27
2-B ⓑ 貼近 120 日高點三分位（P8）,93,99093,137,76,26,50,0,26
2-B ⓑ 貼近 120 日高點三分位（P8）,94,99094,136,84,26,58,0,26
2-B ⓑ 貼近 120 日高點三分位（P8）,95,99095,137,76,21,55,0,21
2-B ⓑ 貼近 120 日高點三分位（P8）,96,99096,136,80,27,53,0,27
2-B ⓑ 貼近 120 日高點三分位（P8）,97,99097,138,87,24,63,0,24
2-B ⓑ 貼近 120 日高點三分位（P8）,98,99098,135,78,27,51,0,27
2-B ⓑ 貼近 120 日高點三分位（P8）,99,99099,137,81,26,55,0,26
2-B ⓑ 貼近 120 日高點三分位（P8）,100,99100,136,78,23,55,0,23
2-B ⓑ 貼近 120 日高點三分位（P8）,101,99101,138,78,23,55,0,23
2-B ⓑ 貼近 120 日高點三分位（P8）,102,99102,136,85,22,63,0,22
2-B ⓑ 貼近 120 日高點三分位（P8）,103,99103,137,76,28,48,0,28
2-B ⓑ 貼近 120 日高點三分位（P8）,104,99104,137,83,21,62,0,21
2-B ⓑ 貼近 120 日高點三分位（P8）,105,99105,136,78,21,57,0,21
2-B ⓑ 貼近 120 日高點三分位（P8）,106,99106,136,79,27,52,0,27
2-B ⓑ 貼近 120 日高點三分位（P8）,107,99107,137,76,17,59,0,17
2-B ⓑ 貼近 120 日高點三分位（P8）,108,99108,137,74,24,50,0,24
2-B ⓑ 貼近 120 日高點三分位（P8）,109,99109,136,77,23,54,0,23
2-B ⓑ 貼近 120 日高點三分位（P8）,110,99110,138,88,26,62,0,26
2-B ⓑ 貼近 120 日高點三分位（P8）,111,99111,136,82,24,58,0,24
2-B ⓑ 貼近 120 日高點三分位（P8）,112,99112,135,74,24,50,0,24
2-B ⓑ 貼近 120 日高點三分位（P8）,113,99113,136,79,19,60,0,19
2-B ⓑ 貼近 120 日高點三分位（P8）,114,99114,137,79,26,53,0,26
2-B ⓑ 貼近 120 日高點三分位（P8）,115,99115,138,89,27,62,0,27
2-B ⓑ 貼近 120 日高點三分位（P8）,116,99116,135,80,27,53,0,27
2-B ⓑ 貼近 120 日高點三分位（P8）,117,99117,136,78,26,52,0,26
2-B ⓑ 貼近 120 日高點三分位（P8）,118,99118,137,71,20,51,0,20
2-B ⓑ 貼近 120 日高點三分位（P8）,119,99119,137,76,26,50,0,26
2-B ⓑ 貼近 120 日高點三分位（P8）,120,99120,136,88,29,59,0,29
2-B ⓑ 貼近 120 日高點三分位（P8）,121,99121,136,79,21,58,0,21
2-B ⓑ 貼近 120 日高點三分位（P8）,122,99122,136,86,25,61,0,25
