win,cost,S,C,T,tr_mean,tr_med,tr_p10,tr_p90,tr_prev_med,cagr_med,cagr_p10,cagr_p90,mdd_med,mdd_p10,mdd_p90,expo_med,slot_med,trades_med,seeds
主格窗,成本0.585%,S0,C1,T0,-0.16272885427224723,-0.17424354428033917,-0.354166950659668,0.030592216022892083,-0.17424354428033917,-0.10380279980637669,-0.22141300193756092,0.017398393912953235,-0.36819007506148566,-0.433388799028938,-0.30193725782107195,0.9953271028037384,0.9953271028037384,8.0,200
主格窗,成本0.585%,S0,C1,T1,-0.23298340087608543,-0.26607656743837105,-0.4015400220113057,-0.03376389845687105,-0.2591656265984994,-0.16228851288760454,-0.2546365744639168,-0.019469454450087256,-0.41981691881538385,-0.480054771671831,-0.3344787622694113,0.9789719626168224,0.9122657580919932,144.0,200
主格窗,成本0.585%,S1,C0,T0,0.531775248295606,0.531775248295606,0.531775248295606,0.531775248295606,0.531775248295606,0.2764716795296376,0.2764716795296376,0.2764716795296376,-0.4897895239112752,-0.4897895239112753,-0.4897895239112752,0.9953271028037384,0.9953271028037384,4.0,200
主格窗,成本0.585%,S1,C0,T1,-0.13824975179715107,-0.13824976502399267,-0.13824976718678533,-0.13824968257690318,-0.13296415849535653,-0.08164543985099931,-0.08164544117036802,-0.0816453895557909,-0.19507000567063126,-0.19507000567063373,-0.19507000567059327,0.3525798359164295,0.3989956188716359,2025.0,200
主格窗,成本0.585%,S1,C1,T0,0.265887624147803,0.265887624147803,0.265887624147803,0.265887624147803,0.265887624147803,0.1444953920313372,0.1444953920313372,0.1444953920313372,-0.36741073193740553,-0.36741073193740553,-0.36741073193740553,0.605304612411243,0.4976635514018692,4.0,200
主格窗,成本0.585%,S1,C1,T1,-0.27958932291508304,-0.2952280527561196,-0.39892899415606137,-0.13816006697348615,-0.28277229341944343,-0.18150044229406254,-0.2527771996282102,-0.08159072272481846,-0.3843461599544722,-0.46502921760951593,-0.3107212372804169,0.8745606308962086,0.8871002592912706,138.0,200
全窗,成本0,S0,C0,T0,5.232426253450257,5.232426253450283,5.232426253450211,5.232426253450301,5.1552793392542675,0.2138709099845313,0.21387090998452973,0.2138709099845315,-0.3419515401086391,-0.3419515401086407,-0.34195154010863804,0.9995676610462603,0.9991356957649092,371.0,200
全窗,成本0,S0,C0,T1,1.2420462660359812,1.242015952560398,1.2376270762336246,1.2464948068953687,1.2380884943895412,0.08928298073771723,0.08905691939954585,0.08951326907650681,-0.30854174776617793,-0.3095367779640942,-0.307485755057233,0.6378973200828414,0.62503563969692,11790.0,200
全窗,成本0,S0,C1,T0,4.616745767299314,3.329380601928362,1.2603736726272858,8.460488357953738,3.268714899018887,0.16790986541144082,0.09022425401254001,0.26873574693734426,-0.4220971507068656,-0.5098656028325419,-0.33658185023074655,0.9995676610462603,0.9991356957649092,8.0,200
全窗,成本0,S0,C1,T1,2.1421320140089675,1.783009284026981,0.5384396819605917,4.111661464824367,1.7745741233830532,0.11451092367259152,0.04668514197957483,0.18864740413638484,-0.4470615199183897,-0.5275801040247169,-0.39219207692858987,0.9110832105171413,0.9122657580919932,144.0,200
全窗,成本0,S1,C0,T0,9.171982652974968,9.171982652974968,9.171982652974966,9.17198265297497,9.06313284155353,0.2785198303954477,0.2785198303954477,0.2785198303954477,-0.4886555876648914,-0.4886555876648914,-0.48865558766489137,0.9995676610462603,0.9991356957649092,8.0,200
全窗,成本0,S1,C0,T1,1.7047341645989271,1.7047714158158176,1.700511331746217,1.708846849920431,1.7038842554774376,0.11114972991039329,0.1109642244772057,0.11132695042718355,-0.19195572839460723,-0.19195572839461003,-0.1919557283945738,0.4082320265398331,0.3989956188716359,2025.0,200
全窗,成本0,S1,C1,T0,9.171982652974968,9.171982652974968,9.171982652974966,9.17198265297497,9.06313284155353,0.2785198303954477,0.2785198303954477,0.2785198303954477,-0.4886555876648914,-0.4886555876648914,-0.48865558766489137,0.9995676610462603,0.9991356957649092,8.0,200
全窗,成本0,S1,C1,T1,11.753662335030402,10.391921681195877,5.306332620275309,19.993553072655345,10.27001737118771,0.29394938236827595,0.21538759461517004,0.3805093833250784,-0.4108723380980442,-0.46683326111328205,-0.36484419950371777,0.8711205717029644,0.8871002592912706,138.0,200
全窗,成本0.585%,S0,C0,T0,5.226502932740793,5.2265029327408214,5.226502932740745,5.226502932740838,5.14942933925426,0.21374865807719878,0.21374865807719723,0.21374865807719923,-0.3419515401086391,-0.3419515401086407,-0.34195154010863804,0.9995676610462603,0.9991356957649092,371.0,200
全窗,成本0.585%,S0,C0,T1,1.0933327461546927,1.0933154339809417,1.0890870782199225,1.0977100319644983,1.0896484623896021,0.08139357601524466,0.08116199468366594,0.08163381937881242,-0.31460206065682483,-0.3155476710141066,-0.3135961505820331,0.6389288204822718,0.624929611598583,11788.0,200
全窗,成本0.585%,S0,C1,T0,4.610818873520514,3.3234473536085867,1.2544259860727858,8.454554654713593,3.2628648990188873,0.16774020026301517,0.08992003553588039,0.26865143045093365,-0.4220971507068656,-0.5098656028325419,-0.33658185023074655,0.9995676610462603,0.9991356957649092,8.0,200
全窗,成本0.585%,S0,C1,T1,1.8408837274644363,1.5130818254707579,0.3824210450210461,3.6214847859329753,1.505466144510503,0.1025317484801539,0.034896597902251414,0.17602259501913614,-0.45557550852679035,-0.5432895829860815,-0.4018814761738884,0.9113705144833549,0.9122657580919932,144.0,200
全窗,成本0.585%,S1,C0,T0,9.16606937532507,9.166069375325069,9.166069375325069,9.16606937532507,9.05728284155353,0.2784410834946913,0.2784410834946913,0.2784410834946913,-0.4886555876648914,-0.4886555876648914,-0.48865558766489137,0.9995676610462603,0.9991356957649092,8.0,200
全窗,成本0.585%,S1,C0,T1,1.5944952811466424,1.59462921475744,1.5900416964267239,1.5984287230006784,1.593778180870186,0.1062674047992388,0.10606005831937551,0.10643888674869428,-0.19507000567063126,-0.19507000567063373,-0.19507000567059327,0.4086607943313818,0.3989956188716359,2025.0,200
全窗,成本0.585%,S1,C1,T0,9.16606937532507,9.166069375325069,9.166069375325069,9.16606937532507,9.05728284155353,0.2784410834946913,0.2784410834946913,0.2784410834946913,-0.4886555876648914,-0.4886555876648914,-0.48865558766489137,0.9995676610462603,0.9991356957649092,8.0,200
全窗,成本0.585%,S1,C1,T1,10.721624085824924,9.439161911168174,4.785625917637471,18.292071231974276,9.327453029606506,0.2820350701063953,0.20434354723573306,0.36820505943804477,-0.41432426935458594,-0.47524809022050024,-0.37023358981058885,0.8713977071219294,0.8871002592912706,138.0,200
