seed,tr,win_mdd,peak_pos,trough_pos,深度,peak_date,trough_date
102080,-0.2605935650580481,-0.3743072415636028,839,923,-0.40738720843220233,2018-06-12,2018-10-11
102081,-0.2199817049995152,-0.3488718415251499,2318,2498,-0.34887184152514983,2024-07-05,2025-04-09
102082,-0.3122580488087662,-0.38388407776832867,839,935,-0.40048015169002127,2018-06-12,2018-10-29
102083,-0.22175898558380935,-0.3587070752770608,1212,1270,-0.36727411555567013,2019-12-17,2020-03-19
102084,-0.2158134731857505,-0.38025366397806215,1223,1270,-0.43039965203641206,2020-01-02,2020-03-19
102085,-0.2681923203129475,-0.3535498061929167,860,1270,-0.4368875248208258,2018-07-12,2020-03-19
102086,-0.4963107946463826,-0.5098072147553366,2074,2498,-0.5098072147553367,2023-07-06,2025-04-09
102087,-0.23615924761234786,-0.42110028394955173,2326,2498,-0.4211002839495518,2024-07-17,2025-04-09
102088,-0.21269791091673762,-0.3449110728584164,839,923,-0.43390311786653424,2018-06-12,2018-10-11
102089,-0.16608860421409122,-0.35288599647134233,839,934,-0.35589505856086545,2018-06-12,2018-10-26
102090,-0.3983877491846617,-0.48086571442711684,2290,2498,-0.4808657144271168,2024-05-27,2025-04-09
102091,-0.29700823202742077,-0.32392815206817377,839,934,-0.3964510684572422,2018-06-12,2018-10-26
102092,-0.14014809725247113,-0.27287884157758546,1711,1907,-0.3406790207362804,2021-12-30,2022-10-21
102093,-0.32678094565931526,-0.39740243579986834,1235,1270,-0.40064368321576593,2020-01-20,2020-03-19
102094,-0.2892110455963661,-0.2892110455963662,641,923,-0.37361097449901004,2017-08-21,2018-10-11
102095,-0.2511094147533576,-0.37782419995614097,2321,2498,-0.3778241999561409,2024-07-10,2025-04-09
102096,-0.2684189054088859,-0.3421648947842999,839,923,-0.3586889745796632,2018-06-12,2018-10-11
102097,-0.20328098827247487,-0.2550172495722425,839,936,-0.408183364188237,2018-06-12,2018-10-30
102098,-0.3813236926166874,-0.40062827048571337,1609,2498,-0.4524993395175254,2021-08-05,2025-04-09
102099,-0.4038001988986586,-0.4660030745968295,2326,2498,-0.46600307459682955,2024-07-17,2025-04-09
102100,-0.2698427416452617,-0.41678390671770604,839,923,-0.4213395033730487,2018-06-12,2018-10-11
102101,-0.3291982427115311,-0.4568189032231242,2326,2498,-0.45681890322312413,2024-07-17,2025-04-09
102102,-0.23588707953524424,-0.37514891256590777,1235,1270,-0.38416415714583263,2020-01-20,2020-03-19
102103,-0.09206679507409499,-0.31505105399588207,1235,1270,-0.34408707415095685,2020-01-20,2020-03-19
102104,-0.4691957785891241,-0.4691957785891241,2071,2498,-0.4691957785891241,2023-07-03,2025-04-09
102105,-0.30515888861165674,-0.3691679712231962,839,936,-0.42120719453940836,2018-06-12,2018-10-30
102106,-0.35051387912209464,-0.4564756404815525,2318,2498,-0.45647564048155254,2024-07-05,2025-04-09
102107,-0.31890067028508584,-0.48042052447502137,2326,2498,-0.48042052447502137,2024-07-17,2025-04-09
102108,-0.12699157065934785,-0.367432194062042,1532,1910,-0.3762981180312778,2021-04-16,2022-10-26
102109,-0.1708058872613264,-0.393900501944363,839,936,-0.42440809876452823,2018-06-12,2018-10-30
102110,-0.27137974220510197,-0.41648890600881905,860,1270,-0.44794154508804584,2018-07-12,2020-03-19
102111,-0.26466109073313215,-0.4508243748385997,2326,2498,-0.4508243748385997,2024-07-17,2025-04-09
102112,-0.2675780992177056,-0.2975293466543112,1710,1901,-0.32856067188661264,2021-12-29,2022-10-13
102113,-0.3282579747337542,-0.35603078910655206,839,934,-0.3733439386216628,2018-06-12,2018-10-26
102114,-0.3650285827503533,-0.4401154906510097,1710,2498,-0.47586785823804145,2021-12-29,2025-04-09
102115,-0.3125150336205944,-0.3619732022748751,839,935,-0.4098711400954833,2018-06-12,2018-10-29
102116,-0.13599061461387052,-0.3773544481785648,1223,1270,-0.3778020965898754,2020-01-02,2020-03-19
102117,-0.28263250189139044,-0.39403053811944294,2320,2498,-0.3940305381194429,2024-07-09,2025-04-09
102118,-0.23670849178360276,-0.39863614003358894,2326,2498,-0.39863614003358894,2024-07-17,2025-04-09
102119,-0.3733241298678429,-0.4084590271890466,2326,2498,-0.4084590271890466,2024-07-17,2025-04-09
102120,-0.16880928976046372,-0.31676420267995353,861,934,-0.3786457986936662,2018-07-13,2018-10-26
102121,-0.23287986931218918,-0.3611305848465595,836,1270,-0.3950551042446434,2018-06-07,2020-03-19
102122,-0.2622541321740465,-0.38161382518298376,836,936,-0.41623292200004813,2018-06-07,2018-10-30
102123,-0.4484365930952784,-0.4804158166279061,1868,2498,-0.5287736840759131,2022-08-25,2025-04-09
102124,-0.17728693906928916,-0.3655608979957787,860,935,-0.36941780103197486,2018-07-12,2018-10-29
102125,-0.28210397431115886,-0.3549912484771649,1235,1270,-0.3973075404948889,2020-01-20,2020-03-19
102126,-0.30766712339690583,-0.3853728622967927,1235,1270,-0.411321591689365,2020-01-20,2020-03-19
102127,-0.29576133908469626,-0.37025793858884964,2318,2498,-0.3702579385888497,2024-07-05,2025-04-09
102128,-0.35608694216801906,-0.3670010784789277,2073,2498,-0.3670010784789277,2023-07-05,2025-04-09
102129,-0.25084464404201956,-0.38480824214061576,860,935,-0.40756265181846574,2018-07-12,2018-10-29
102130,-0.2470424638355303,-0.2914314778499213,839,936,-0.4575745879094727,2018-06-12,2018-10-30
102131,-0.3506955627868563,-0.3725862468840866,1747,2498,-0.3754769012781425,2022-03-03,2025-04-09
102132,-0.2509821332867851,-0.29507777825756965,838,936,-0.4035017286457482,2018-06-11,2018-10-30
102133,-0.30799584576149075,-0.39221815123088655,839,936,-0.41157219129365585,2018-06-12,2018-10-30
102134,-0.1547648084145734,-0.4479514639008176,2326,2498,-0.44795146390081764,2024-07-17,2025-04-09
102135,-0.358764016052875,-0.36252870072599935,2073,2498,-0.3625287007259993,2023-07-05,2025-04-09
102136,-0.35940536901004905,-0.4193868231224052,1711,2498,-0.4856180083417363,2021-12-30,2025-04-09
102137,-0.18035598684597498,-0.41159132779346497,2326,2498,-0.41159132779346497,2024-07-17,2025-04-09
102138,-0.2180463669141165,-0.4086918920796408,2326,2498,-0.40869189207964085,2024-07-17,2025-04-09
102139,-0.3727284913163197,-0.46052775527646683,2315,2498,-0.46052775527646683,2024-07-02,2025-04-09
102140,-0.3790358184479824,-0.37903581844798245,2071,2498,-0.3790358184479824,2023-07-03,2025-04-09
102141,-0.2282099400278017,-0.42955468067450003,839,936,-0.45517531737825645,2018-06-12,2018-10-30
102142,-0.30916278567105016,-0.3446048037684399,1235,1270,-0.3747368664084616,2020-01-20,2020-03-19
102143,-0.21710843434357707,-0.3956507028318884,2326,2498,-0.3956507028318884,2024-07-17,2025-04-09
102144,-0.1695614681814861,-0.3360264483489492,1235,1270,-0.37001445080624185,2020-01-20,2020-03-19
102145,-0.34915342815550043,-0.4139326197957816,838,936,-0.45270451702235937,2018-06-11,2018-10-30
102146,-0.23623660589808737,-0.35272039887411194,2309,2498,-0.3527203988741119,2024-06-24,2025-04-09
102147,-0.09989233028360134,-0.3117992481758523,839,936,-0.41171397103110097,2018-06-12,2018-10-30
102148,-0.2753912504164999,-0.40479054329844394,2326,2498,-0.404790543298444,2024-07-17,2025-04-09
102149,-0.3322710745398526,-0.4751792271074401,2326,2498,-0.4751792271074401,2024-07-17,2025-04-09
102150,0.046659024763086476,-0.2865122582698405,839,935,-0.4133935085478635,2018-06-12,2018-10-29
102151,-0.37025612697792765,-0.45078660724256364,2326,2498,-0.4507866072425637,2024-07-17,2025-04-09
102152,-0.25145752356853823,-0.45636564937892043,2326,2498,-0.45636564937892043,2024-07-17,2025-04-09
102153,-0.4138483351470905,-0.4351574006814331,2079,2498,-0.43515740068143305,2023-07-13,2025-04-09
102154,-0.175304770070434,-0.2829891058024392,852,936,-0.39613978853150145,2018-07-02,2018-10-30
102155,-0.44446973712503923,-0.46693478352694723,2073,2498,-0.4669347835269473,2023-07-05,2025-04-09
102156,-0.3695983162463047,-0.43188467328210994,1710,2498,-0.4917858822639567,2021-12-29,2025-04-09
102157,-0.46004352642514923,-0.4600435264251492,2071,2498,-0.46004352642514923,2023-07-03,2025-04-09
102158,-0.30353178822111393,-0.401136296840878,839,935,-0.457076150338638,2018-06-12,2018-10-29
102159,-0.2532090980938998,-0.4165053087862517,2318,2498,-0.4165053087862517,2024-07-05,2025-04-09
102160,-0.13805938731717737,-0.29836935018945426,839,1270,-0.49158119924716703,2018-06-12,2020-03-19
102161,-0.2865079463460807,-0.3833596829429829,2263,2498,-0.38335968294298284,2024-04-17,2025-04-09
102162,-0.37111621358703895,-0.48117583771733335,2315,2498,-0.4811758377173334,2024-07-02,2025-04-09
102163,-0.14822374650215253,-0.3506343348135224,799,936,-0.38902368352265715,2018-04-16,2018-10-30
102164,-0.228413458950683,-0.35644669909303106,1710,1907,-0.40853257258043774,2021-12-29,2022-10-21
102165,-0.29190035133656667,-0.3861689458279376,2326,2498,-0.3861689458279376,2024-07-17,2025-04-09
102166,-0.309579837508545,-0.47766491386389176,2326,2498,-0.47766491386389176,2024-07-17,2025-04-09
102167,-0.09503791091589109,-0.3174866711766249,839,936,-0.4162391601569312,2018-06-12,2018-10-30
102168,-0.13817125360196492,-0.32016367579735255,839,936,-0.4307150224072068,2018-06-12,2018-10-30
102169,-0.08675162187653718,-0.3671829670086913,1235,1270,-0.41002122004648645,2020-01-20,2020-03-19
102170,-0.21484958873508664,-0.4163565345784482,2326,2498,-0.41635653457844823,2024-07-17,2025-04-09
102171,-0.3482856591772815,-0.4092215377711186,2318,2498,-0.4092215377711186,2024-07-05,2025-04-09
102172,-0.18698390518716546,-0.3151493551812822,1235,1270,-0.33993309026070384,2020-01-20,2020-03-19
102173,-0.3525800780954964,-0.36066999361783336,839,1270,-0.4244789655396781,2018-06-12,2020-03-19
102174,-0.24512145089342652,-0.27511538993222484,1174,1270,-0.3563575281822349,2019-10-24,2020-03-19
102175,-0.23543249520155562,-0.2881653014116271,860,936,-0.38524937486459954,2018-07-12,2018-10-30
102176,-0.27164027584568906,-0.3739117020134653,1235,1270,-0.42546755940968717,2020-01-20,2020-03-19
102177,-0.12290246233294155,-0.3796341866405268,2326,2498,-0.37963418664052684,2024-07-17,2025-04-09
102178,-0.35540484535732175,-0.3554048453573217,839,1270,-0.4279724585750888,2018-06-12,2020-03-19
102179,-0.2872924900877848,-0.45049450147666414,2326,2498,-0.45049450147666414,2024-07-17,2025-04-09
102180,-0.404442229820278,-0.4179383260196242,2079,2498,-0.4179383260196242,2023-07-13,2025-04-09
102181,-0.48049479594063127,-0.4977989631958157,1742,2498,-0.5220444686286387,2022-02-23,2025-04-09
102182,-0.3299135051028518,-0.3299135051028518,1696,2498,-0.4553442078169174,2021-12-09,2025-04-09
102183,-0.4279162353606021,-0.43317304238230064,2072,2498,-0.4331730423823007,2023-07-04,2025-04-09
102184,-0.12134060770146393,-0.3445588379519105,839,935,-0.41189495763048645,2018-06-12,2018-10-29
102185,-0.3845348491236025,-0.4132975651775234,641,934,-0.46269659384251316,2017-08-21,2018-10-26
102186,-0.2099636942901172,-0.38101309418493934,839,923,-0.3863573222590784,2018-06-12,2018-10-11
102187,-0.30792767353591977,-0.30792767353591977,1235,1270,-0.3729666047302056,2020-01-20,2020-03-19
102188,-0.3279406792147648,-0.37046280095287604,1695,2498,-0.4431668964076336,2021-12-08,2025-04-09
102189,-0.3682450490629211,-0.36824504906292116,1223,1270,-0.4118540874303369,2020-01-02,2020-03-19
102190,-0.1198039717627769,-0.32415701010072073,799,934,-0.40365623670482664,2018-04-16,2018-10-26
102191,-0.4364065270038019,-0.43640652700380184,1701,2498,-0.5349152440893011,2021-12-16,2025-04-09
102192,-0.3130770686636173,-0.3788310049218998,2326,2498,-0.3788310049218998,2024-07-17,2025-04-09
102193,-0.4070633894159186,-0.41333662377515773,2326,2498,-0.4133366237751578,2024-07-17,2025-04-09
102194,-0.3666956649884936,-0.43472618379476125,852,934,-0.45512447954831203,2018-07-02,2018-10-26
102195,-0.2750900789185684,-0.31103163325202765,1235,1270,-0.40037120678382,2020-01-20,2020-03-19
102196,-0.29225500652309566,-0.4006334807317789,2318,2498,-0.40063348073177885,2024-07-05,2025-04-09
102197,-0.4162272951879118,-0.42806594916134977,2079,2498,-0.42806594916134977,2023-07-13,2025-04-09
102198,-0.18408876330986945,-0.38678601403383045,2264,2498,-0.3867860140338304,2024-04-18,2025-04-09
102199,-0.16536806093485112,-0.2459928055059341,1174,1270,-0.4434742780950176,2019-10-24,2020-03-19
